date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,AK,314,9341,None,39,36,None,None,None,None,147,9,36,9655,9655,9655,0,0,200,5,205
20200417,AK,309,9141,None,None,36,None,None,None,None,128,9,36,9450,9450,9450,0,1,706,9,715
20200416,AK,300,8435,None,None,35,None,None,None,None,110,9,35,8735,8735,8735,0,1,64,7,71
20200415,AK,293,8371,None,None,34,None,None,None,None,106,9,34,8664,8664,8664,0,2,308,8,316
20200414,AK,285,8063,None,None,32,None,None,None,None,98,9,32,8348,8348,8348,1,0,510,8,518
20200413,AK,277,7553,None,None,32,None,None,None,None,85,8,32,7830,7830,7830,0,1,-213,5,-208
20200412,AK,272,7766,None,None,31,None,None,None,None,66,8,31,8038,8038,8038,0,0,291,15,306
20200411,AK,257,7475,None,None,31,None,None,None,None,63,8,31,7732,7732,7732,1,3,289,11,300
20200410,AK,246,7186,None,None,28,None,None,None,None,55,7,28,7432,7432,7432,0,1,198,11,209
20200409,AK,235,6988,None,None,27,None,None,None,None,49,7,27,7223,7223,7223,0,0,146,9,155
20200408,AK,226,6842,None,None,27,None,None,None,None,32,7,27,7068,7068,7068,1,4,142,13,155
20200407,AK,213,6700,None,None,23,None,None,None,None,29,6,23,6913,6913,6913,0,0,8,22,30
20200406,AK,191,6692,None,None,23,None,None,None,None,None,6,23,6883,6883,6883,0,3,593,6,599
20200405,AK,185,6099,None,None,20,None,None,None,None,None,6,20,6284,6284,6284,1,4,230,14,244
20200404,AK,171,5869,None,None,16,None,None,None,None,None,5,16,6040,6040,6040,2,1,10,14,24
20200403,AK,157,5859,None,None,15,None,None,None,None,None,3,15,6016,6016,6016,0,6,980,14,994
20200402,AK,143,4879,None,None,9,None,None,None,None,None,3,9,5022,5022,5022,0,0,409,10,419
20200401,AK,133,4470,None,None,9,None,None,None,None,None,3,9,4603,4603,4603,0,2,876,14,890
20200331,AK,119,3594,None,None,7,None,None,None,None,None,3,7,3713,3713,3713,0,0,54,5,59
20200330,AK,114,3540,None,None,7,None,None,None,None,None,3,7,3654,3654,3654,1,1,308,12,320
20200329,AK,102,3232,None,None,6,None,None,None,None,None,2,6,3334,3334,3334,0,1,396,17,413
20200328,AK,85,2836,None,None,5,None,None,None,None,None,2,5,2921,2921,2921,1,2,517,16,533
20200327,AK,69,2319,13,None,3,None,None,None,None,None,1,3,2401,2388,2388,0,0,518,10,528
20200326,AK,59,1801,None,None,3,None,None,None,None,None,1,3,1860,1860,1860,0,2,152,17,169
20200325,AK,42,1649,None,None,1,None,None,None,None,None,1,1,1691,1691,1691,1,1,663,6,669
20200324,AK,36,986,None,None,0,,,,,,,0,1022,1022,1022,0,0,40,14,54
20200323,AK,22,946,None,None,0,,,,,,,0,968,968,968,0,0,0,0,0
20200322,AK,22,946,None,None,0,,,,,,,0,968,968,968,0,0,188,8,196
20200321,AK,14,758,None,None,0,,,,,,,0,772,772,772,0,0,72,2,74
20200320,AK,12,686,,,,,,,,,,,698,698,698,0,0,254,6,260
20200319,AK,6,432,,,,,,,,,,,438,438,438,0,0,26,0,26
20200318,AK,6,406,,,,,,,,,,,412,412,412,0,0,72,3,75
20200317,AK,3,334,,,,,,,,,,,337,337,337,0,0,191,2,193
20200316,AK,1,143,,,,,,,,,,,144,144,144,0,0,0,0,0
20200315,AK,1,143,,,,,,,,,,,144,144,144,0,0,0,0,0
20200314,AK,1,143,,,,,,,,,,,144,144,144,0,0,84,0,84
20200313,AK,1,59,,,,,,,,,,,60,60,60,0,0,13,1,14
20200312,AK,0,46,14,,,,,,,,,,60,46,46,0,0,0,0,0
20200311,AK,0,46,14,,,,,,,,,,60,46,46,0,0,23,0,23
20200310,AK,0,23,9,,,,,,,,,,32,23,23,0,0,0,0,0
20200309,AK,0,23,9,,,,,,,,,,32,23,23,0,0,9,0,9
20200308,AK,0,14,6,,,,,,,,,,20,14,14,0,0,2,0,2
20200307,AK,0,12,2,,,,,,,,,,14,12,12,0,0,4,0,4
20200306,AK,0,8,1,,,,,,,,,,9,8,8,None,None,None,None,None
