date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,AL,4655,37883,None,None,620,None,247,None,148,None,146,620,42538,42538,42538,2,26,4565,125,4690
20200417,AL,4530,33318,None,None,594,None,247,None,148,None,144,594,37848,37848,37848,11,41,1272,185,1457
20200416,AL,4345,32046,None,None,553,None,227,None,137,None,133,553,36391,36391,36391,12,28,2082,232,2314
20200415,AL,4113,29964,None,None,525,None,219,None,134,None,121,525,34077,34077,34077,11,32,723,237,960
20200414,AL,3876,29241,None,None,493,None,210,None,132,None,110,493,33117,33117,33117,11,36,3793,142,3935
20200413,AL,3734,25448,None,None,457,None,189,None,119,None,99,457,29182,29182,29182,6,20,7390,209,7599
20200412,AL,3525,18058,None,None,437,None,189,None,119,None,93,437,21583,21583,21583,2,35,0,334,334
20200411,AL,3191,18058,None,None,402,None,None,None,None,None,91,402,21249,21249,21249,11,34,0,223,223
20200410,AL,2968,18058,None,None,368,None,None,None,None,None,80,368,21026,21026,21026,6,35,0,199,199
20200409,AL,2769,18058,None,None,333,None,None,None,None,None,74,333,20827,20827,20827,8,19,1305,400,1705
20200408,AL,2369,16753,None,None,314,None,None,None,None,None,66,314,19122,19122,19122,10,43,3956,250,4206
20200407,AL,2119,12797,None,None,271,None,None,None,None,None,56,271,14916,14916,14916,6,31,0,151,151
20200406,AL,1968,12797,None,None,240,None,None,None,None,None,50,240,14765,14765,14765,5,9,1515,172,1687
20200405,AL,1796,11282,None,None,231,None,None,None,None,None,45,231,13078,13078,13078,2,19,2009,216,2225
20200404,AL,1580,9273,None,None,212,None,None,None,None,None,43,212,10853,10853,10853,8,212,1086,148,1234
20200403,AL,1432,8187,None,None,None,None,None,None,None,None,35,None,9619,9619,9619,3,0,684,199,883
20200402,AL,1233,7503,None,None,None,None,None,None,None,None,32,None,8736,8736,8736,6,0,806,156,962
20200401,AL,1077,6697,None,None,None,None,None,None,None,None,26,None,7774,7774,7774,13,0,399,96,495
20200331,AL,981,6298,None,None,None,None,None,None,None,None,13,None,7279,7279,7279,7,0,604,122,726
20200330,AL,859,5694,None,None,None,None,None,None,None,None,6,None,6553,6553,6553,2,0,1510,53,1563
20200329,AL,806,4184,None,None,None,None,None,None,None,None,4,None,4990,4990,4990,1,0,0,110,110
20200328,AL,696,4184,None,None,None,None,None,None,None,None,3,None,4880,4880,4880,0,0,0,109,109
20200327,AL,587,4184,None,None,None,None,None,None,None,None,3,None,4771,4771,4771,2,0,591,81,672
20200326,AL,506,3593,None,None,None,None,None,None,None,None,1,None,4099,4099,4099,1,0,1064,223,1287
20200325,AL,283,2529,None,None,None,None,None,None,None,None,0,None,2812,2812,2812,0,0,423,68,491
20200324,AL,215,2106,None,None,None,None,None,None,None,None,0,None,2321,2321,2321,0,0,441,48,489
20200323,AL,167,1665,None,None,None,None,None,None,None,None,0,None,1832,1832,1832,0,0,201,29,230
20200322,AL,138,1464,None,None,None,None,None,None,None,None,0,None,1602,1602,1602,0,0,1436,14,1450
20200321,AL,124,28,None,None,None,None,None,None,None,None,0,None,152,152,152,0,0,0,43,43
20200320,AL,81,28,None,None,None,None,None,None,None,None,0,None,109,109,109,0,0,0,13,13
20200319,AL,68,28,None,None,None,None,None,None,None,None,0,None,96,96,96,0,0,0,22,22
20200318,AL,46,28,None,None,None,None,None,None,None,None,0,None,74,74,74,0,0,0,10,10
20200317,AL,36,28,None,None,None,None,None,None,None,None,0,None,64,64,64,0,0,0,8,8
20200316,AL,28,28,40,None,None,None,None,None,None,None,0,None,96,56,56,0,0,0,16,16
20200315,AL,12,28,46,None,None,None,None,None,None,None,0,None,86,40,40,0,0,6,6,12
20200314,AL,6,22,46,,,,,,,,,,74,28,28,0,0,11,5,16
20200313,AL,1,11,,,,,,,,,,,12,12,12,0,0,1,1,2
20200312,AL,0,10,,,,,,,,,,,10,10,10,0,0,0,0,0
20200311,AL,0,10,,,,,,,,,,,10,10,10,0,0,10,0,10
20200310,AL,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0
20200309,AL,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
20200308,AL,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
20200307,AL,0,,,,,,,,,,,,0,0,0,None,None,None,None,None
