date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,AR,1781,22428,None,88,291,None,None,25,57,721,40,291,24209,24209,24209,2,0,26,42,68
20200418,AR,1739,22402,None,86,291,None,None,22,57,703,38,291,24141,24141,24141,1,291,603,44,647
20200417,AR,1695,21799,None,83,None,None,None,21,None,593,37,None,23494,23494,23494,0,0,744,75,819
20200416,AR,1620,21055,None,85,None,None,None,21,None,548,37,None,22675,22675,22675,4,0,790,51,841
20200415,AR,1569,20265,None,83,130,None,43,26,39,489,33,130,21834,21834,21834,3,0,614,89,703
20200414,AR,1480,19651,None,81,130,None,43,29,39,427,30,130,21131,21131,21131,0,0,257,70,327
20200413,AR,1410,19394,None,74,130,None,43,28,39,391,30,130,20804,20804,20804,3,0,952,130,1082
20200412,AR,1280,18442,None,74,130,None,43,30,39,367,27,130,19722,19722,19722,3,0,1090,54,1144
20200411,AR,1226,17352,None,86,130,None,43,33,39,340,24,130,18578,18578,18578,1,0,1403,55,1458
20200410,AR,1171,15949,None,86,130,None,43,33,39,312,23,130,17120,17120,17120,2,0,2117,52,2169
20200409,AR,1119,13832,None,73,130,None,43,31,39,288,21,130,14951,14951,14951,3,0,302,119,421
20200408,AR,1000,13530,None,76,130,None,43,30,39,208,18,130,14530,14530,14530,2,-18,838,54,892
20200407,AR,946,12692,None,74,148,None,None,26,43,142,16,148,13638,13638,13638,0,11,722,71,793
20200406,AR,875,11970,None,74,137,None,None,22,39,102,16,137,12845,12845,12845,0,7,1558,45,1603
20200405,AR,830,10412,None,67,130,None,None,27,39,97,16,130,11242,11242,11242,2,24,785,87,872
20200404,AR,743,9627,None,72,106,None,None,23,39,79,14,106,10370,10370,10370,2,1,632,39,671
20200403,AR,704,8995,None,71,105,None,None,26,39,60,12,105,9699,9699,9699,0,5,1115,61,1176
20200402,AR,643,7880,None,66,100,None,None,23,32,47,12,100,8523,8523,8523,2,10,526,59,585
20200401,AR,584,7354,None,56,90,None,None,25,32,42,10,90,7938,7938,7938,2,90,1395,61,1456
20200331,AR,523,5959,None,64,None,None,None,23,None,35,8,None,6482,6482,6482,1,0,697,50,747
20200330,AR,473,5262,None,62,None,None,None,21,None,29,7,None,5735,5735,5735,1,0,2235,47,2282
20200329,AR,426,3027,None,43,None,None,None,16,None,28,6,None,3453,3453,3453,1,0,89,22,111
20200328,AR,404,2938,None,48,None,None,None,17,None,24,5,None,3342,3342,3342,2,0,1393,23,1416
20200327,AR,381,1545,None,48,None,None,None,17,None,19,3,None,1926,1926,1926,0,0,41,46,87
20200326,AR,335,1504,None,41,None,None,None,13,None,13,3,None,1839,1839,1839,1,0,67,55,122
20200325,AR,280,1437,None,22,None,None,None,4,None,11,2,None,1717,1717,1717,2,0,490,62,552
20200324,AR,218,947,None,22,None,None,None,None,None,None,0,None,1165,1165,1165,0,0,41,44,85
20200323,AR,174,906,None,13,None,None,None,None,None,None,0,None,1080,1080,1080,0,0,195,9,204
20200322,AR,165,711,119,13,None,None,None,None,None,None,0,None,995,876,876,0,0,144,47,191
20200321,AR,118,567,154,,,,,,,,,,839,685,685,0,0,216,22,238
20200320,AR,96,351,203,,,,,,,,,,650,447,447,0,0,41,50,91
20200319,AR,46,310,113,,,,,,,,,,469,356,356,0,0,74,13,87
20200318,AR,33,236,50,,,,,,,,,,319,269,269,0,0,39,11,50
20200317,AR,22,197,41,,,,,,,,,,260,219,219,0,0,65,0,65
20200316,AR,22,132,14,,,,,,,,,,168,154,154,0,0,29,6,35
20200315,AR,16,103,30,,,,,,,,,,149,119,119,0,0,38,4,42
20200314,AR,12,65,26,,,,,,,,,,103,77,77,0,0,35,3,38
20200313,AR,9,30,22,,,,,,,,,,61,39,39,0,0,6,3,9
20200312,AR,6,24,20,,,,,,,,,,50,30,30,0,0,12,6,18
20200311,AR,0,12,14,,,,,,,,,,26,12,12,0,0,0,0,0
20200310,AR,0,12,3,,,,,,,,,,15,12,12,0,0,0,0,0
20200309,AR,0,12,0,,,,,,,,,,12,12,12,0,0,6,0,6
20200308,AR,0,6,0,,,,,,,,,,6,6,6,0,0,0,0,0
20200307,AR,0,6,0,,,,,,,,,,6,6,6,0,0,0,0,0
20200306,AR,0,6,0,,,,,,,,,,6,6,6,None,None,None,None,None
