date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,AS,0,3,17,,,,,,,,,,20,3,3,0,0,0,0,0
20200417,AS,0,3,17,,,,,,,,,,20,3,3,0,0,0,0,0
20200416,AS,0,3,17,,,,,,,,,,20,3,3,0,0,0,0,0
20200415,AS,0,3,17,,,,,,,,,,20,3,3,0,0,0,0,0
20200414,AS,0,3,17,,,,,,,,,,20,3,3,0,0,0,0,0
20200413,AS,0,3,,,,,,,,,,,3,3,3,0,0,0,0,0
20200412,AS,0,3,2,,,,,,,,,,5,3,3,0,0,0,0,0
20200411,AS,0,3,2,,,,,,,,,,5,3,3,0,0,0,0,0
20200410,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200409,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200408,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200407,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200406,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200405,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200404,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200403,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200402,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200401,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,0,0,0
20200331,AS,0,3,2,None,None,None,None,None,None,None,0,None,5,3,3,0,0,3,0,3
20200330,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200329,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200328,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200327,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200326,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200325,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200324,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200323,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200322,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200321,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200320,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200319,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200318,AS,None,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200317,AS,,,,,,,,,,,,,,,,0,0,0,0,0
20200316,AS,,,,,,,,,,,,,,,,None,None,None,None,None
