date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,CA,35396,429931,None,4984,None,1551,None,None,None,None,1354,None,465327,465327,465327,86,0,163092,2135,165227
20200421,CA,33261,266839,None,4886,None,1502,None,None,None,None,1268,None,300100,300100,300100,60,0,7317,2283,9600
20200420,CA,30978,259522,None,4674,None,1480,None,None,None,None,1208,None,290500,290500,290500,42,0,8955,645,9600
20200419,CA,30333,250567,7200,4731,None,1457,None,None,None,None,1166,None,288100,280900,280900,94,0,19864,1370,21234
20200418,CA,28963,230703,7200,4936,None,1490,None,None,None,None,1072,None,266866,259666,259666,87,0,6617,1435,8052
20200417,CA,27528,224086,7200,4892,None,1484,None,None,None,None,985,None,258814,251614,251614,95,0,3868,1346,5214
20200416,CA,26182,220218,13200,5031,None,1568,None,None,None,None,890,None,259600,246400,246400,69,0,28156,1758,29914
20200415,CA,24424,192062,13200,5163,None,1175,None,None,None,None,821,None,229686,216486,216486,63,0,13192,1086,14278
20200414,CA,23338,178870,13200,5163,None,1552,None,None,None,None,758,None,215408,202208,202208,71,0,10336,990,11326
20200413,CA,22348,168534,13200,3015,None,1178,None,None,None,None,687,None,204082,190882,190882,36,0,0,554,554
20200412,CA,21794,168534,13200,5234,None,1539,None,None,None,None,651,None,203528,190328,190328,42,0,15930,2322,18252
20200411,CA,19472,152604,13200,5236,None,1591,None,None,None,None,609,None,185276,172076,172076,68,0,7213,0,7213
20200410,CA,19472,145391,13900,2897,None,1145,None,None,None,None,541,None,178763,164863,164863,49,0,200,1163,1363
20200409,CA,18309,145191,14100,2825,None,1132,None,None,None,None,492,None,177600,163500,163500,50,0,17884,1352,19236
20200408,CA,16957,127307,14600,2714,None,1154,None,None,None,None,442,None,158864,144264,144264,68,0,11943,1092,13035
20200407,CA,15865,115364,14100,2611,None,1108,None,None,None,None,374,None,145329,131229,131229,31,0,12269,1529,13798
20200406,CA,14336,103095,15000,2509,None,1085,None,None,None,None,343,None,132431,117431,117431,24,0,0,898,898
20200405,CA,13438,103095,15000,2398,None,1040,None,None,None,None,319,None,131533,116533,116533,43,0,1421,1412,2833
20200404,CA,12026,101674,13000,2300,None,1008,None,None,None,None,276,None,126700,113700,113700,39,0,77075,1325,78400
20200403,CA,10701,24599,59500,2188,None,901,None,None,None,None,237,None,94800,35300,35300,34,0,790,1510,2300
20200402,CA,9191,23809,59500,1922,None,816,None,None,None,None,203,None,92500,33000,33000,32,0,2037,1036,3073
20200401,CA,8155,21772,57400,1855,None,774,None,None,None,None,171,None,87327,29927,29927,18,0,0,673,673
20200331,CA,7482,21772,57400,1617,None,657,None,None,None,None,153,None,86654,29254,29254,20,0,1223,1035,2258
20200330,CA,6447,20549,64400,1432,None,597,None,None,None,None,133,None,91396,26996,26996,10,0,0,739,739
20200329,CA,5708,20549,64400,1034,None,410,None,None,None,None,123,None,90657,26257,26257,22,0,0,1065,1065
20200328,CA,4643,20549,64400,1034,None,410,None,None,None,None,101,None,89592,25192,25192,23,0,3169,764,3933
20200327,CA,3879,17380,57400,746,None,200,None,None,None,None,78,None,78659,21259,21259,13,0,0,873,873
20200326,CA,3006,17380,57400,None,None,None,None,None,None,None,65,None,77786,20386,20386,12,0,1459,651,2110
20200325,CA,2355,15921,48600,None,None,None,None,None,None,None,53,None,66876,18276,18276,13,0,2469,253,2722
20200324,CA,2102,13452,12100,None,None,None,None,None,None,None,40,None,27654,15554,15554,13,0,885,369,1254
20200323,CA,1733,12567,12100,None,None,None,None,None,None,None,27,None,26400,14300,14300,0,0,1263,197,1460
20200322,CA,1536,11304,None,None,None,None,None,None,None,None,27,None,12840,12840,12840,3,0,55,257,312
20200321,CA,1279,11249,None,None,None,None,None,None,None,None,24,None,12528,12528,12528,4,0,825,216,1041
20200320,CA,1063,10424,None,None,None,None,None,None,None,None,20,None,11487,11487,11487,2,0,1637,139,1776
20200319,CA,924,8787,None,None,None,None,None,None,None,None,18,None,9711,9711,9711,5,0,806,313,1119
20200318,CA,611,7981,None,None,None,None,None,None,None,None,13,None,8592,8592,8592,2,0,0,128,128
20200317,CA,483,7981,None,None,None,None,None,None,None,None,11,None,8464,8464,8464,5,0,0,148,148
20200316,CA,335,7981,None,None,None,None,None,None,None,None,6,None,8316,8316,8316,1,0,7065,42,7107
20200315,CA,293,916,None,None,None,None,None,None,None,None,5,None,1209,1209,1209,0,0,0,41,41
20200314,CA,252,916,None,None,None,None,None,None,None,None,5,None,1168,1168,1168,1,0,0,50,50
20200313,CA,202,916,None,None,None,None,None,None,None,None,4,None,1118,1118,1118,0,0,0,0,0
20200312,CA,202,916,None,None,None,None,None,None,None,None,4,None,1118,1118,1118,4,0,0,45,45
20200311,CA,157,916,,,,,,,,,,,1073,1073,1073,0,0,226,24,250
20200310,CA,133,690,,,,,,,,,,,823,823,823,0,0,0,19,19
20200309,CA,114,690,,,,,,,,,,,804,804,804,0,0,228,26,254
20200308,CA,88,462,,,,,,,,,,,550,550,550,0,0,0,19,19
20200307,CA,69,462,,,,,,,,,,,531,531,531,0,0,0,9,9
20200306,CA,60,462,,,,,,,,,,,522,522,522,0,0,0,7,7
20200305,CA,53,462,,,,,,,,,,,515,515,515,0,0,0,0,0
20200304,CA,53,462,,,,,,,,,,,515,515,515,None,None,None,None,None
