date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,CO,9047,34260,None,843,1755,None,None,None,None,None,391,1755,43307,43307,43307,17,62,1105,372,1477
20200417,CO,8675,33155,None,858,1693,None,None,None,None,None,374,1693,41830,41830,41830,17,57,902,395,1297
20200416,CO,8280,32253,None,859,1636,None,None,None,None,None,357,1636,40533,40533,40533,28,80,614,339,953
20200415,CO,7941,31639,None,878,1556,None,None,None,None,None,329,1556,39580,39580,39580,21,63,588,250,838
20200414,CO,7691,31051,None,888,1493,None,None,None,None,None,308,1493,38742,38742,38742,4,21,1201,7,1208
20200413,CO,7684,29850,None,842,1472,None,None,None,None,None,304,1472,37534,37534,37534,30,96,1870,791,2661
20200412,CO,6893,27980,None,822,1376,None,None,None,None,None,274,1376,34873,34873,34873,24,64,1837,383,2220
20200411,CO,6510,26143,None,841,1312,None,None,None,None,None,250,1312,32653,32653,32653,0,0,0,0,0
20200410,CO,6510,26143,None,842,1312,None,None,None,None,None,250,1312,32653,32653,32653,57,150,2599,855,3454
20200409,CO,5655,23544,None,848,1162,None,None,None,None,None,193,1162,29199,29199,29199,14,83,879,226,1105
20200408,CO,5429,22665,None,833,1079,None,None,None,None,None,179,1079,28094,28094,28094,29,85,962,257,1219
20200407,CO,5172,21703,None,786,994,None,None,None,None,None,150,994,26875,26875,26875,10,70,880,222,1102
20200406,CO,4950,20823,None,786,924,None,None,None,None,None,140,924,25773,25773,25773,14,49,1488,385,1873
20200405,CO,4565,19335,None,783,875,None,None,None,None,None,126,875,23900,23900,23900,15,52,1437,392,1829
20200404,CO,4173,17898,None,777,823,None,None,None,None,None,111,823,22071,22071,22071,14,113,1215,445,1660
20200403,CO,3728,16683,None,739,710,None,None,None,None,None,97,710,20411,20411,20411,17,90,1380,386,1766
20200402,CO,3342,15303,None,698,620,None,None,None,None,None,80,620,18645,18645,18645,11,111,1420,376,1796
20200401,CO,2966,13883,None,574,509,None,None,None,None,None,69,509,16849,16849,16849,18,95,1146,339,1485
20200331,CO,2627,12737,None,503,414,None,None,None,None,None,51,414,15364,15364,15364,0,0,0,0,0
20200330,CO,2627,12737,None,358,414,None,None,None,None,None,51,414,15364,15364,15364,7,140,1522,566,2088
20200329,CO,2061,11215,None,332,274,None,None,None,None,None,44,274,13276,13276,13276,13,35,1273,327,1600
20200328,CO,1734,9942,None,307,239,None,None,None,None,None,31,239,11676,11676,11676,7,55,1250,304,1554
20200327,CO,1430,8692,None,278,184,None,None,None,None,None,24,184,10122,10122,10122,5,36,1714,344,2058
20200326,CO,1086,6978,None,230,148,None,None,None,None,None,19,148,8064,8064,8064,8,64,189,174,363
20200325,CO,912,6789,None,152,84,None,None,None,None,None,11,84,7701,7701,7701,4,12,1285,192,1477
20200324,CO,720,5504,None,116,72,None,None,None,None,None,7,72,6224,6224,6224,1,14,659,129,788
20200323,CO,591,4845,None,74,58,None,None,None,None,None,6,58,5436,5436,5436,1,9,770,116,886
20200322,CO,475,4075,None,56,49,None,None,None,None,None,5,49,4550,4550,4550,1,5,758,112,870
20200321,CO,363,3317,None,None,44,None,None,None,None,None,4,44,3680,3680,3680,1,44,642,86,728
20200320,CO,277,2675,None,None,None,None,None,None,None,None,3,None,2952,2952,2952,1,0,563,61,624
20200319,CO,216,2112,None,None,None,None,None,None,None,None,2,None,2328,2328,2328,0,0,495,33,528
20200318,CO,183,1617,None,None,None,None,None,None,None,None,2,None,1800,1800,1800,1,0,561,23,584
20200317,CO,160,1056,None,None,None,None,None,None,None,None,1,None,1216,1216,1216,0,0,429,29,458
20200316,CO,131,627,None,None,None,None,None,None,None,None,1,None,758,758,758,0,0,0,0,0
20200315,CO,131,627,None,None,None,None,None,None,None,None,1,None,758,758,758,0,0,17,30,47
20200314,CO,101,610,None,None,None,None,None,None,None,None,1,None,711,711,711,1,0,86,29,115
20200313,CO,72,524,,,,,,,,,,,596,596,596,0,0,226,27,253
20200312,CO,45,298,,,,,,,,,,,343,343,343,0,0,47,17,64
20200311,CO,28,251,,,,,,,,,,,279,279,279,0,0,109,16,125
20200310,CO,12,142,1,,,,,,,,,,155,154,154,0,0,9,3,12
20200309,CO,9,133,,,,,,,,,,,142,142,142,0,0,29,1,30
20200308,CO,8,104,,,,,,,,,,,112,112,112,0,0,49,0,49
20200307,CO,8,55,69,,,,,,,,,,132,63,63,0,0,9,6,15
20200306,CO,2,46,30,,,,,,,,,,78,48,48,0,0,27,2,29
20200305,CO,0,19,21,,,,,,,,,,40,19,19,None,None,None,None,None
