date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,DE,2323,11694,None,224,None,None,None,None,None,423,61,None,14017,14017,14017,0,0,0,0,0
20200417,DE,2323,11694,None,224,None,None,None,None,None,423,61,None,14017,14017,14017,9,0,419,248,667
20200416,DE,2075,11275,None,209,None,None,None,None,None,378,52,None,13350,13350,13350,6,0,187,61,248
20200415,DE,2014,11088,None,208,None,None,None,None,None,354,46,None,13102,13102,13102,5,0,545,253,798
20200414,DE,1761,10543,None,204,None,None,None,None,None,277,41,None,12304,12304,12304,6,0,348,136,484
20200413,DE,1625,10195,None,201,None,None,None,None,None,213,35,None,11820,11820,11820,2,0,571,146,717
20200412,DE,1479,9624,None,190,None,None,None,None,None,191,33,None,11103,11103,11103,0,0,0,0,0
20200411,DE,1479,9624,None,190,None,None,None,None,None,191,33,None,11103,11103,11103,10,0,-791,153,-638
20200410,DE,1326,10415,None,181,None,None,None,None,None,177,23,None,11741,11741,11741,0,0,1732,119,1851
20200409,DE,1207,8683,None,201,None,None,None,None,None,173,23,None,9890,9890,9890,7,0,1055,279,1334
20200408,DE,928,7628,None,147,None,None,None,None,None,144,16,None,8556,8556,8556,0,0,0,0,0
20200407,DE,928,7628,None,147,None,None,None,None,None,144,16,None,8556,8556,8556,2,0,1307,255,1562
20200406,DE,673,6321,None,101,None,None,None,None,None,71,14,None,6994,6994,6994,0,0,0,0,0
20200405,DE,673,6321,None,101,None,None,None,None,None,71,14,None,6994,6994,6994,0,0,447,80,527
20200404,DE,593,5874,None,95,None,None,None,None,None,71,14,None,6467,6467,6467,0,0,879,143,1022
20200403,DE,450,4995,None,63,None,None,None,None,None,71,14,None,5445,5445,5445,2,0,429,57,486
20200402,DE,393,4566,None,56,None,None,None,None,None,49,12,None,4959,4959,4959,1,0,551,25,576
20200401,DE,368,4015,None,51,None,None,None,None,None,49,11,None,4383,4383,4383,1,0,319,49,368
20200331,DE,319,3696,None,57,None,None,None,None,None,22,10,None,4015,4015,4015,4,0,1480,55,1535
20200330,DE,264,2216,None,45,None,None,None,None,None,9,6,None,2480,2480,2480,0,0,2180,32,2212
20200329,DE,232,36,None,33,None,None,None,None,None,9,6,None,268,268,268,3,0,0,18,18
20200328,DE,214,36,None,31,None,None,None,None,None,9,3,None,250,250,250,1,0,0,51,51
20200327,DE,163,36,None,15,None,None,None,None,None,9,2,None,199,199,199,1,0,0,33,33
20200326,DE,130,36,None,13,None,None,None,None,None,4,1,None,166,166,166,1,0,0,15,15
20200325,DE,115,36,None,11,None,None,None,None,None,None,0,None,151,151,151,0,0,0,24,24
20200324,DE,91,36,None,None,None,None,None,None,None,None,0,None,127,127,127,0,0,0,23,23
20200323,DE,68,36,None,None,None,None,None,None,None,None,0,None,104,104,104,0,0,0,12,12
20200322,DE,56,36,None,None,None,None,None,None,None,None,0,None,92,92,92,0,0,0,11,11
20200321,DE,45,36,None,None,None,None,None,None,None,None,0,None,81,81,81,0,0,0,7,7
20200320,DE,38,36,None,None,None,None,None,None,None,None,0,None,74,74,74,0,0,0,8,8
20200319,DE,30,36,None,None,None,None,None,None,None,None,0,None,66,66,66,0,0,0,5,5
20200318,DE,25,36,,,,,,,,,,,61,61,61,0,0,0,9,9
20200317,DE,16,36,,,,,,,,,,,52,52,52,0,0,0,8,8
20200316,DE,8,36,32,,,,,,,,,,76,44,44,0,0,0,2,2
20200315,DE,6,36,32,,,,,,,,,,74,42,42,0,0,0,0,0
20200314,DE,6,36,32,,,,,,,,,,74,42,42,0,0,6,2,8
20200313,DE,4,30,10,,,,,,,,,,44,34,34,0,0,7,0,7
20200312,DE,4,23,14,,,,,,,,,,41,27,27,0,0,6,3,9
20200311,DE,1,17,2,,,,,,,,,,20,18,18,0,0,0,1,1
20200310,DE,0,17,3,,,,,,,,,,20,17,17,0,0,2,0,2
20200309,DE,0,15,3,,,,,,,,,,18,15,15,0,0,5,0,5
20200308,DE,0,10,0,,,,,,,,,,10,10,10,0,0,0,0,0
20200307,DE,0,10,0,,,,,,,,,,10,10,10,0,0,0,0,0
20200306,DE,0,10,0,,,,,,,,,,10,10,10,None,None,None,None,None
