date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,FL,25269,221258,0,None,3842,None,None,None,None,None,754,3842,246527,246527,246527,55,177,10540,1150,11690
20200417,FL,24119,210718,1285,None,3665,None,None,None,None,None,699,3665,236122,234837,234837,53,205,14367,1222,15589
20200416,FL,22897,196351,1325,None,3460,None,None,None,None,None,646,3460,220573,219248,219248,37,116,5353,386,5739
20200415,FL,22511,190998,1335,None,3344,None,None,None,None,None,609,3344,214844,213509,213509,72,284,9185,1144,10329
20200414,FL,21367,181813,1275,None,3060,None,None,None,None,None,537,3060,204455,203180,203180,54,227,6207,766,6973
20200413,FL,20601,175606,1789,None,2833,None,None,None,None,None,483,2833,197996,196207,196207,18,61,12208,1246,13454
20200412,FL,19355,163398,1297,None,2772,None,None,None,None,None,465,2772,184050,182753,182753,27,111,8959,861,9820
20200411,FL,18494,154439,1418,None,2661,None,None,None,None,None,438,2661,174351,172933,172933,48,174,9140,963,10103
20200410,FL,17531,145299,1411,None,2487,None,None,None,None,None,390,2487,164241,162830,162830,36,219,9114,1167,10281
20200409,FL,16364,136185,1395,None,2268,None,None,None,None,None,354,2268,153944,152549,152549,45,206,8506,909,9415
20200408,FL,15455,127679,1324,None,2062,None,None,None,None,None,309,2062,144458,143134,143134,13,63,4264,708,4972
20200407,FL,14747,123415,1407,None,1999,None,None,None,None,None,296,1999,139569,138162,138162,60,317,13465,1423,14888
20200406,FL,13324,109950,1142,None,1682,None,None,None,None,None,236,1682,124416,123274,123274,18,110,8697,1173,9870
20200405,FL,12151,101253,1129,None,1572,None,None,None,None,None,218,1572,114533,113404,113404,27,110,10297,1040,11337
20200404,FL,11111,90956,1281,None,1462,None,None,None,None,None,191,1462,103348,102067,102067,28,175,8819,1526,10345
20200403,FL,9585,82137,1225,None,1287,None,None,None,None,None,163,1287,92947,91722,91722,35,164,12851,1575,14426
20200402,FL,8010,69286,1285,None,1123,None,None,None,None,None,128,1123,78581,77296,77296,41,174,9757,1055,10812
20200401,FL,6955,59529,1235,None,949,None,None,None,None,None,87,949,67719,66484,66484,10,126,5244,617,5861
20200331,FL,6338,54285,1163,None,823,None,None,None,None,None,77,823,61786,60623,60623,14,171,6060,865,6925
20200330,FL,5473,48225,None,None,652,None,None,None,None,None,63,652,53698,53698,53698,7,58,9155,1227,10382
20200329,FL,4246,39070,None,None,594,None,None,None,None,None,56,594,43316,43316,43316,2,68,3704,483,4187
20200328,FL,3763,35366,None,None,526,None,None,None,None,None,54,526,39129,39129,39129,20,70,7180,998,8178
20200327,FL,2765,28186,1517,None,456,None,None,None,None,None,34,456,32468,30951,30951,6,50,4445,410,4855
20200326,FL,2355,23741,1443,None,406,None,None,None,None,None,28,406,27539,26096,26096,6,90,8367,673,9040
20200325,FL,1682,15374,1233,None,316,None,None,None,None,None,22,316,18289,17056,17056,4,57,2247,270,2517
20200324,FL,1412,13127,1008,None,259,None,None,None,None,None,18,259,15547,14539,14539,4,42,2064,241,2305
20200323,FL,1171,11063,860,None,217,None,None,None,None,None,14,217,13094,12234,12234,1,32,3073,341,3414
20200322,FL,830,7990,963,None,185,None,None,None,None,None,13,185,9783,8820,8820,1,27,1411,172,1583
20200321,FL,658,6579,1002,None,158,None,None,None,None,None,12,158,8239,7237,7237,2,158,4709,138,4847
20200320,FL,520,1870,1026,None,None,None,None,None,None,None,10,None,3416,2390,2390,2,0,337,130,467
20200319,FL,390,1533,1019,None,None,None,None,None,None,None,8,None,2942,1923,1923,1,0,308,76,384
20200318,FL,314,1225,954,None,None,None,None,None,None,None,7,None,2493,1539,1539,1,0,285,128,413
20200317,FL,186,940,872,None,None,None,None,None,None,None,6,None,1998,1126,1126,2,0,256,45,301
20200316,FL,141,684,514,None,None,None,None,None,None,None,4,None,1339,825,825,0,0,6,25,31
20200315,FL,116,678,454,None,None,None,None,None,None,None,4,None,1248,794,794,1,0,200,39,239
20200314,FL,77,478,221,None,None,None,None,None,None,None,3,None,776,555,555,1,0,0,27,27
20200313,FL,50,478,221,None,None,None,None,None,None,None,2,None,749,528,528,0,0,177,18,195
20200312,FL,32,301,147,None,None,None,None,None,None,None,2,None,480,333,333,0,0,0,4,4
20200311,FL,28,301,147,None,None,None,None,None,None,None,2,None,476,329,329,2,0,79,9,88
20200310,FL,19,222,155,,,,,,,,,,396,241,241,0,0,82,1,83
20200309,FL,18,140,115,,,,,,,,,,273,158,158,0,0,22,1,23
20200308,FL,17,118,108,,,,,,,,,,243,135,135,0,0,18,3,21
20200307,FL,14,100,88,,,,,,,,,,202,114,114,0,0,45,5,50
20200306,FL,9,55,51,,,,,,,,,,115,64,64,0,0,24,0,24
20200305,FL,9,31,69,,,,,,,,,,109,40,40,0,0,7,7,14
20200304,FL,2,24,16,,,,,,,,,,42,26,26,None,None,None,None,None
