date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,GA,17669,56539,None,None,3420,None,None,None,None,None,673,3420,74208,74208,74208,23,96,2049,475,2524
20200417,GA,17194,54490,None,None,3324,None,None,None,None,None,650,3324,71684,71684,71684,63,216,2220,1525,3745
20200416,GA,15669,52270,None,None,3108,None,None,None,None,None,587,3108,67939,67939,67939,35,186,3167,682,3849
20200415,GA,14987,49103,None,None,2922,None,None,None,None,None,552,2922,64090,64090,64090,51,153,1531,764,2295
20200414,GA,14223,47572,None,None,2769,None,None,None,None,None,501,2769,61795,61795,61795,37,180,3866,908,4774
20200413,GA,13315,43706,None,None,2589,None,None,None,None,None,464,2589,57021,57021,57021,31,84,1705,863,2568
20200412,GA,12452,42001,None,None,2505,None,None,None,None,None,433,2505,54453,54453,54453,5,26,2445,293,2738
20200411,GA,12159,39556,None,None,2479,None,None,None,None,None,428,2479,51715,51715,51715,12,128,4892,676,5568
20200410,GA,11483,34664,None,None,2351,None,None,None,None,None,416,2351,46147,46147,46147,37,192,4145,917,5062
20200409,GA,10566,30519,None,None,2159,None,None,None,None,None,379,2159,41085,41085,41085,17,166,1633,665,2298
20200408,GA,9901,28886,None,None,1993,None,None,None,None,None,362,1993,38787,38787,38787,33,219,3991,1083,5074
20200407,GA,8818,24895,None,None,1774,None,None,None,None,None,329,1774,33713,33713,33713,100,442,935,1504,2439
20200406,GA,7314,23960,None,None,1332,None,None,None,None,None,229,1332,31274,31274,31274,18,49,2775,667,3442
20200405,GA,6647,21185,None,None,1283,None,None,None,None,None,211,1283,27832,27832,27832,10,44,1051,487,1538
20200404,GA,6160,20134,None,None,1239,None,None,None,None,None,201,1239,26294,26294,26294,17,81,700,329,1029
20200403,GA,5831,19434,None,None,1158,None,None,None,None,None,184,1158,25265,25265,25265,21,102,1825,483,2308
20200402,GA,5348,17609,None,None,1056,None,None,None,None,None,163,1056,22957,22957,22957,24,104,1921,710,2631
20200401,GA,4638,15688,None,None,952,None,None,None,None,None,139,952,20326,20326,20326,28,119,3436,709,4145
20200331,GA,3929,12252,None,None,833,None,None,None,None,None,111,833,16181,16181,16181,24,126,2337,1120,3457
20200330,GA,2809,9915,None,None,707,None,None,None,None,None,87,707,12724,12724,12724,7,41,2,158,160
20200329,GA,2651,9913,None,None,666,None,None,None,None,None,80,666,12564,12564,12564,11,49,1228,285,1513
20200328,GA,2366,8685,None,None,617,None,None,None,None,None,69,617,11051,11051,11051,5,51,821,365,1186
20200327,GA,2001,7864,None,None,566,None,None,None,None,None,64,566,9865,9865,9865,16,93,463,476,939
20200326,GA,1525,7401,None,None,473,None,None,None,None,None,48,473,8926,8926,8926,8,79,2469,278,2747
20200325,GA,1247,4932,None,None,394,None,None,None,None,None,40,394,6179,6179,6179,8,394,474,221,695
20200324,GA,1026,4458,None,None,None,None,None,None,None,None,32,None,5484,5484,5484,7,0,161,254,415
20200323,GA,772,4297,None,None,None,None,None,None,None,None,25,None,5069,5069,5069,2,0,877,172,1049
20200322,GA,600,3420,None,None,None,None,None,None,None,None,23,None,4020,4020,4020,9,0,863,93,956
20200321,GA,507,2557,None,None,None,None,None,None,None,None,14,None,3064,3064,3064,1,0,591,87,678
20200320,GA,420,1966,None,None,None,None,None,None,None,None,13,None,2386,2386,2386,3,0,422,133,555
20200319,GA,287,1544,None,None,None,None,None,None,None,None,10,None,1831,1831,1831,9,0,233,90,323
20200318,GA,197,1311,None,None,None,None,None,None,None,None,1,None,1508,1508,1508,0,0,1311,51,1362
20200317,GA,146,None,None,None,None,None,None,None,None,None,1,None,146,146,146,0,0,0,25,25
20200316,GA,121,None,None,None,None,None,None,None,None,None,1,None,121,121,121,0,0,0,22,22
20200315,GA,99,None,None,None,None,None,None,None,None,None,1,None,99,99,99,0,0,0,33,33
20200314,GA,66,None,None,None,None,None,None,None,None,None,1,None,66,66,66,0,0,0,24,24
20200313,GA,42,None,None,None,None,None,None,None,None,None,1,None,42,42,42,1,0,0,11,11
20200312,GA,31,,,,,,,,,,,,31,31,31,0,0,0,9,9
20200311,GA,22,,,,,,,,,,,,22,22,22,0,0,0,5,5
20200310,GA,17,,,,,,,,,,,,17,17,17,0,0,0,5,5
20200309,GA,12,,,,,,,,,,,,12,12,12,0,0,0,5,5
20200308,GA,7,,,,,,,,,,,,7,7,7,0,0,0,1,1
20200307,GA,6,,,,,,,,,,,,6,6,6,0,0,0,4,4
20200306,GA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200305,GA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200304,GA,2,,,,,,,,,,,,2,2,2,None,None,None,None,None
