date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,GU,136,943,None,6,None,2,None,None,None,112,5,None,1079,1079,1079,0,0,0,0,0
20200418,GU,136,943,None,6,None,2,None,None,None,110,5,None,1079,1079,1079,0,0,3,0,3
20200417,GU,136,940,None,6,None,2,None,None,None,97,5,None,1076,1076,1076,0,0,70,1,71
20200416,GU,135,870,None,9,None,None,None,None,None,86,5,None,1005,1005,1005,0,0,27,0,27
20200415,GU,135,843,None,9,None,2,None,2,None,73,5,None,978,978,978,0,0,32,0,32
20200414,GU,135,811,None,13,None,2,None,2,None,66,5,None,946,946,946,0,0,41,0,41
20200413,GU,135,770,None,12,None,2,None,2,None,58,5,None,905,905,905,0,0,77,2,79
20200412,GU,133,693,None,13,None,2,None,2,None,58,5,None,826,826,826,0,0,0,0,0
20200411,GU,133,693,None,14,None,2,None,2,None,58,5,None,826,826,826,1,0,31,3,34
20200410,GU,130,662,None,14,None,2,None,2,None,41,4,None,792,792,792,0,0,69,2,71
20200409,GU,128,593,None,14,None,2,None,2,None,33,4,None,721,721,721,0,0,31,3,34
20200408,GU,125,562,None,21,None,2,None,2,None,31,4,None,687,687,687,0,0,33,4,37
20200407,GU,121,529,None,21,None,2,None,2,None,27,4,None,650,650,650,0,0,24,8,32
20200406,GU,113,505,None,21,None,2,None,None,None,25,4,None,618,618,618,0,0,12,1,13
20200405,GU,112,493,None,21,None,2,None,None,None,23,4,None,605,605,605,0,0,21,19,40
20200404,GU,93,472,None,20,None,2,None,None,None,20,4,None,565,565,565,0,0,13,9,22
20200403,GU,84,459,None,19,None,2,None,None,None,14,4,None,543,543,543,1,0,17,2,19
20200402,GU,82,442,None,19,None,2,None,None,None,12,3,None,524,524,524,0,0,36,5,41
20200401,GU,77,406,None,19,None,2,None,None,None,9,3,None,483,483,483,1,0,35,8,43
20200331,GU,69,371,None,19,None,2,None,None,None,7,2,None,440,440,440,1,0,19,11,30
20200330,GU,58,352,None,19,None,2,None,None,None,7,1,None,410,410,410,0,0,18,2,20
20200329,GU,56,334,None,15,None,None,None,None,None,7,1,None,390,390,390,0,0,35,1,36
20200328,GU,55,299,None,15,None,None,None,None,None,7,1,None,354,354,354,0,0,0,4,4
20200327,GU,51,299,None,13,None,None,None,None,None,None,1,None,350,350,350,0,0,36,6,42
20200326,GU,45,263,None,11,None,None,None,None,None,None,1,None,308,308,308,0,0,30,8,38
20200325,GU,37,233,None,10,None,None,None,None,None,None,1,None,270,270,270,0,0,32,5,37
20200324,GU,32,201,None,5,None,None,None,None,None,None,1,None,233,233,233,0,0,40,3,43
20200323,GU,29,161,None,None,None,None,None,None,None,None,1,None,190,190,190,0,0,35,2,37
20200322,GU,27,126,None,None,None,None,None,None,None,None,1,None,153,153,153,1,0,18,12,30
20200321,GU,15,108,,,,,,,,,,,123,123,123,0,0,22,1,23
20200320,GU,14,86,,,,,,,,,,,100,100,100,0,0,17,2,19
20200319,GU,12,69,,,,,,,,,,,81,81,81,0,0,12,4,16
20200318,GU,8,57,,,,,,,,,,,65,65,65,0,0,16,3,19
20200317,GU,5,41,,,,,,,,,,,46,46,46,0,0,18,2,20
20200316,GU,3,23,,,,,,,,,,,26,26,26,None,None,None,None,None
