date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,HI,574,22896,None,None,51,None,None,None,None,410,9,51,23470,23470,23470,0,3,1106,21,1127
20200418,HI,553,21790,None,None,48,None,None,None,None,390,9,48,22343,22343,22343,0,3,474,12,486
20200417,HI,541,21316,None,None,45,None,None,None,None,374,9,45,21857,21857,21857,0,0,1146,11,1157
20200416,HI,530,20170,None,None,45,None,None,None,None,359,9,45,20700,20700,20700,0,0,884,13,897
20200415,HI,517,19286,None,None,45,None,None,None,None,333,9,45,19803,19803,19803,0,1,370,13,383
20200414,HI,504,18916,None,None,44,None,None,None,None,315,9,44,19420,19420,19420,0,0,571,5,576
20200413,HI,499,18345,None,None,44,None,6,None,2,310,9,44,18844,18844,18844,1,0,863,13,876
20200412,HI,486,17482,None,None,44,None,6,None,2,300,8,44,17968,17968,17968,0,1,416,21,437
20200411,HI,465,17066,None,None,43,None,6,None,2,284,8,43,17531,17531,17531,2,1,1359,23,1382
20200410,HI,442,15707,None,None,42,None,6,None,2,251,6,42,16149,16149,16149,1,0,391,7,398
20200409,HI,435,15316,None,None,42,None,6,None,None,113,5,42,15751,15751,15751,0,0,577,25,602
20200408,HI,410,14739,None,None,42,None,6,None,None,113,5,42,15149,15149,15149,0,16,1584,23,1607
20200407,HI,387,13155,None,None,26,None,6,None,None,89,5,26,13542,13542,13542,1,5,0,16,16
20200406,HI,371,13155,None,None,21,None,6,None,None,85,4,21,13526,13526,13526,0,2,551,20,571
20200405,HI,351,12604,None,None,19,None,6,None,None,82,4,19,12955,12955,12955,1,1,645,32,677
20200404,HI,319,11959,None,None,18,None,6,None,None,78,3,18,12278,12278,12278,1,3,1753,34,1787
20200403,HI,285,10206,None,None,15,None,6,None,None,72,2,15,10491,10491,10491,1,0,0,27,27
20200402,HI,258,10206,None,None,15,None,6,None,None,69,1,15,10464,10464,10464,0,2,1485,50,1535
20200401,HI,208,8721,None,None,13,None,6,None,None,58,1,13,8929,8929,8929,1,1,250,4,254
20200331,HI,204,8471,None,None,12,None,6,None,None,49,,12,8675,8675,8675,0,0,646,29,675
20200330,HI,175,7825,None,None,12,,,,,,,12,8000,8000,8000,0,0,976,24,1000
20200329,HI,151,6849,None,None,12,,,,,,,12,7000,7000,7000,0,4,2492,31,2523
20200328,HI,120,4357,None,None,8,,,,,,,8,4477,4477,4477,0,1,0,14,14
20200327,HI,106,4357,None,None,7,,,,,,,7,4463,4463,4463,0,2,0,11,11
20200326,HI,95,4357,None,None,5,,,,,,,5,4452,4452,4452,0,-1,0,5,5
20200325,HI,90,4357,None,None,6,,,,,,,6,4447,4447,4447,0,2,768,13,781
20200324,HI,77,3589,None,None,4,,,,,,,4,3666,3666,3666,0,4,634,21,655
20200323,HI,56,2955,,,,,,,,,,,3011,3011,3011,0,0,2692,8,2700
20200322,HI,48,263,,,,,,,,,,,311,311,311,0,0,139,11,150
20200321,HI,37,124,,,,,,,,,,,161,161,161,0,0,0,11,11
20200320,HI,26,124,,,,,,,,,,,150,150,150,0,0,31,10,41
20200319,HI,16,93,,,,,,,,,,,109,109,109,0,0,0,2,2
20200318,HI,14,93,,,,,,,,,,,107,107,107,0,0,93,4,97
20200317,HI,10,,,,,,,,,,,,10,10,10,0,0,0,3,3
20200316,HI,7,,,,,,,,,,,,7,7,7,0,0,0,5,5
20200315,HI,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200314,HI,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200313,HI,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200312,HI,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200311,HI,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200310,HI,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200309,HI,2,,,,,,,,,,,,2,2,2,0,0,0,1,1
20200308,HI,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200307,HI,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
