date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,IA,2902,21648,None,198,None,86,None,54,None,1171,75,None,24550,24550,24550,1,0,1214,389,1603
20200418,IA,2513,20434,None,193,None,84,None,51,None,1095,74,None,22947,22947,22947,10,0,974,181,1155
20200417,IA,2332,19460,None,183,None,88,None,52,None,1007,64,None,21792,21792,21792,4,0,926,191,1117
20200416,IA,2141,18534,None,175,None,84,None,48,None,987,60,None,20675,20675,20675,7,0,660,146,806
20200415,IA,1995,17874,None,171,None,78,None,43,None,908,53,None,19869,19869,19869,4,0,888,96,984
20200414,IA,1899,16986,None,163,None,73,None,41,None,741,49,None,18885,18885,18885,6,0,0,189,189
20200413,IA,1710,16986,None,142,None,70,None,41,None,741,43,None,18696,18696,18696,2,0,981,123,1104
20200412,IA,1587,16005,None,129,None,55,None,30,None,674,41,None,17592,17592,17592,7,0,383,77,460
20200411,IA,1510,15622,None,118,None,55,None,30,None,585,34,None,17132,17132,17132,3,0,1057,122,1179
20200410,IA,1388,14565,None,125,None,55,None,30,None,506,31,None,15953,15953,15953,2,0,862,118,980
20200409,IA,1270,13703,None,122,None,None,None,None,None,476,29,None,14973,14973,14973,2,0,882,125,1007
20200408,IA,1145,12821,None,122,193,None,None,None,None,431,27,193,13966,13966,13966,1,0,1151,97,1248
20200407,IA,1048,11670,None,104,193,None,None,None,None,341,26,193,12718,12718,12718,1,14,1017,102,1119
20200406,IA,946,10653,None,99,179,None,None,None,None,284,25,179,11599,11599,11599,3,14,680,78,758
20200405,IA,868,9973,None,91,165,None,None,None,None,188,22,165,10841,10841,10841,8,12,519,82,601
20200404,IA,786,9454,None,85,153,None,None,None,None,188,14,153,10240,10240,10240,3,15,700,87,787
20200403,IA,699,8754,None,80,138,None,None,None,None,188,11,138,9453,9453,9453,0,18,700,85,785
20200402,IA,614,8054,None,74,120,None,None,None,None,46,11,120,8668,8668,8668,2,21,750,65,815
20200401,IA,549,7304,None,63,99,None,None,None,None,118,9,99,7853,7853,7853,2,5,416,52,468
20200331,IA,497,6888,None,61,94,None,None,None,None,33,7,94,7385,7385,7385,1,20,726,73,799
20200330,IA,424,6162,None,51,74,None,None,None,None,23,6,74,6586,6586,6586,2,6,1149,88,1237
20200329,IA,336,5013,None,51,68,None,None,None,None,17,4,68,5349,5349,5349,1,7,638,38,676
20200328,IA,298,4375,None,46,61,None,None,None,None,15,3,61,4673,4673,4673,0,11,635,63,698
20200327,IA,235,3740,None,32,50,None,None,None,None,18,3,50,3975,3975,3975,2,4,1162,56,1218
20200326,IA,179,2578,None,31,46,None,None,None,None,15,1,46,2757,2757,2757,0,10,0,34,34
20200325,IA,145,2578,None,23,36,None,None,None,None,None,1,36,2723,2723,2723,1,9,263,21,284
20200324,IA,124,2315,None,None,27,,,,,,,27,2439,2439,2439,0,27,272,19,291
20200323,IA,105,2043,,,,,,,,,,,2148,2148,2148,0,0,828,15,843
20200322,IA,90,1215,,,,,,,,,,,1305,1305,1305,0,0,166,22,188
20200321,IA,68,1049,,,,,,,,,,,1117,1117,1117,0,0,407,23,430
20200320,IA,45,642,,,,,,,,,,,687,687,687,0,0,559,7,566
20200319,IA,38,83,,,,,,,,,,,121,121,121,0,0,0,9,9
20200318,IA,29,83,,,,,,,,,,,112,112,112,0,0,0,6,6
20200317,IA,23,83,,,,,,,,,,,106,106,106,0,0,0,1,1
20200316,IA,22,83,,,,,,,,,,,105,105,105,0,0,0,4,4
20200315,IA,18,83,,,,,,,,,,,101,101,101,0,0,0,1,1
20200314,IA,17,83,,,,,,,,,,,100,100,100,0,0,0,1,1
20200313,IA,16,83,29,,,,,,,,,,128,99,99,0,0,16,2,18
20200312,IA,14,67,24,,,,,,,,,,105,81,81,0,0,21,1,22
20200311,IA,13,46,27,,,,,,,,,,86,59,59,0,0,14,5,19
20200310,IA,8,32,11,,,,,,,,,,51,40,40,0,0,6,5,11
20200309,IA,3,26,8,,,,,,,,,,37,29,29,0,0,11,3,14
20200308,IA,0,15,2,,,,,,,,,,17,15,15,0,0,0,0,0
20200307,IA,0,15,2,,,,,,,,,,17,15,15,0,0,0,0,0
20200306,IA,0,15,2,,,,,,,,,,17,15,15,None,None,None,None,None
