date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,ID,1655,14954,None,None,151,None,53,None,None,453,43,151,16609,16609,16609,2,3,380,46,426
20200417,ID,1609,14574,None,None,148,None,51,None,None,390,41,148,16183,16183,16183,0,5,330,22,352
20200416,ID,1587,14244,None,None,143,None,46,None,None,None,41,143,15831,15831,15831,2,2,310,123,433
20200415,ID,1464,13934,None,None,141,None,43,None,None,None,39,141,15398,15398,15398,6,6,273,11,284
20200414,ID,1453,13661,None,None,135,None,38,None,None,None,33,135,15114,15114,15114,6,3,206,27,233
20200413,ID,1426,13455,None,None,132,None,38,None,None,None,27,132,14881,14881,14881,0,1,554,19,573
20200412,ID,1407,12901,None,None,131,None,38,None,None,None,27,131,14308,14308,14308,2,3,533,11,544
20200411,ID,1396,12368,None,None,128,None,35,None,None,None,25,128,13764,13764,13764,1,1,627,43,670
20200410,ID,1353,11741,None,None,127,None,33,None,None,None,24,127,13094,13094,13094,6,14,442,121,563
20200409,ID,1232,11299,None,None,113,None,29,None,None,None,18,113,12531,12531,12531,3,20,611,22,633
20200408,ID,1210,10688,None,None,93,None,24,None,None,None,15,93,11898,11898,11898,2,10,612,40,652
20200407,ID,1170,10076,None,None,83,None,21,None,None,None,13,83,11246,11246,11246,3,6,182,69,251
20200406,ID,1101,9894,None,None,77,None,16,None,None,None,10,77,10995,10995,10995,0,11,710,24,734
20200405,ID,1077,9184,None,None,66,None,11,None,None,None,10,66,10261,10261,10261,0,4,1327,64,1391
20200404,ID,1013,7857,None,None,62,None,8,None,None,None,10,62,8870,8870,8870,1,6,803,122,925
20200403,ID,891,7054,None,None,56,None,7,None,None,None,9,56,7945,7945,7945,0,7,441,222,663
20200402,ID,669,6613,None,None,49,None,7,None,None,None,9,49,7282,7282,7282,0,3,537,144,681
20200401,ID,525,6076,None,None,46,None,7,None,None,None,9,46,6601,6601,6601,2,1,779,110,889
20200331,ID,415,5297,None,None,45,None,6,None,None,None,7,45,5712,5712,5712,1,6,901,105,1006
20200330,ID,310,4396,None,None,39,None,None,None,None,None,6,39,4706,4706,4706,1,3,375,49,424
20200329,ID,261,4021,None,None,36,None,None,None,None,None,5,36,4282,4282,4282,1,11,679,31,710
20200328,ID,230,3342,None,None,25,None,None,None,None,None,4,25,3572,3572,3572,1,25,674,41,715
20200327,ID,189,2668,None,None,None,None,None,None,None,None,3,None,2857,2857,2857,3,0,603,66,669
20200326,ID,123,2065,None,None,None,None,None,None,None,None,0,None,2188,2188,2188,0,0,178,50,228
20200325,ID,73,1887,None,None,None,None,None,None,None,None,0,None,1960,1960,1960,0,0,0,23,23
20200324,ID,50,1887,None,None,None,None,None,None,None,None,0,None,1937,1937,1937,0,0,578,3,581
20200323,ID,47,1309,None,None,None,None,None,None,None,None,0,None,1356,1356,1356,0,0,134,5,139
20200322,ID,42,1175,None,None,None,None,None,None,None,None,0,None,1217,1217,1217,0,0,295,11,306
20200321,ID,31,880,,,,,,,,,,,911,911,911,0,0,290,8,298
20200320,ID,23,590,,,,,,,,,,,613,613,613,0,0,131,12,143
20200319,ID,11,459,,,,,,,,,,,470,470,470,0,0,0,2,2
20200318,ID,9,459,,,,,,,,,,,468,468,468,0,0,113,2,115
20200317,ID,7,346,,,,,,,,,,,353,353,353,0,0,81,2,83
20200316,ID,5,265,,,,,,,,,,,270,270,270,0,0,91,0,91
20200315,ID,5,174,,,,,,,,,,,179,179,179,0,0,0,3,3
20200314,ID,2,174,,,,,,,,,,,176,176,176,0,0,43,2,45
20200313,ID,0,131,,,,,,,,,,,131,131,131,0,0,38,0,38
20200312,ID,0,93,,,,,,,,,,,93,93,93,0,0,26,0,26
20200311,ID,0,67,,,,,,,,,,,67,67,67,0,0,26,0,26
20200310,ID,0,41,,,,,,,,,,,41,41,41,0,0,0,0,0
20200309,ID,0,41,,,,,,,,,,,41,41,41,0,0,14,0,14
20200308,ID,0,27,,,,,,,,,,,27,27,27,0,0,0,0,0
20200307,ID,0,27,,,,,,,,,,,27,27,27,None,None,None,None,None
