date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,IN,12438,57032,None,None,None,633,None,334,None,None,661,None,69470,69470,69470,31,0,1865,341,2206
20200421,IN,12097,55167,None,None,None,676,None,368,None,None,630,None,67264,67264,67264,61,0,2214,411,2625
20200420,IN,11686,52953,None,None,None,669,None,353,None,None,569,None,64639,64639,64639,7,0,3021,476,3497
20200419,IN,11210,49932,None,None,None,649,None,342,None,None,562,None,61142,61142,61142,17,0,3700,569,4269
20200418,IN,10641,46232,None,None,None,663,None,360,None,None,545,None,56873,56873,56873,26,0,1601,487,2088
20200417,IN,10154,44631,None,None,None,638,None,417,None,None,519,None,54785,54785,54785,42,0,3058,612,3670
20200416,IN,9542,41573,None,None,None,696,None,426,None,None,477,None,51115,51115,51115,41,0,2132,587,2719
20200415,IN,8955,39441,None,None,None,737,None,422,None,None,436,None,48396,48396,48396,48,0,1951,428,2379
20200414,IN,8527,37490,None,None,None,721,None,435,None,None,388,None,46017,46017,46017,38,0,1187,291,1478
20200413,IN,8236,36303,None,None,None,740,None,459,None,None,350,None,44539,44539,44539,7,0,1742,308,2050
20200412,IN,7928,34561,None,None,None,820,None,497,None,None,343,None,42489,42489,42489,13,0,2781,493,3274
20200411,IN,7435,31780,None,None,None,820,None,497,None,None,330,None,39215,39215,39215,30,0,3647,528,4175
20200410,IN,6907,28133,None,None,None,820,None,497,None,None,300,None,35040,35040,35040,55,0,2351,556,2907
20200409,IN,6351,25782,None,None,None,924,None,507,None,None,245,None,32133,32133,32133,42,0,856,408,1264
20200408,IN,5943,24926,None,None,None,924,None,507,None,None,203,None,30869,30869,30869,30,0,1669,436,2105
20200407,IN,5507,23257,None,None,None,924,None,507,None,None,173,None,28764,28764,28764,34,0,2010,563,2573
20200406,IN,4944,21247,None,None,None,924,None,507,None,None,139,None,26191,26191,26191,12,0,3006,533,3539
20200405,IN,4411,18241,None,None,None,None,None,None,None,None,127,None,22652,22652,22652,11,0,2394,458,2852
20200404,IN,3953,15847,None,None,None,None,None,None,None,None,116,None,19800,19800,19800,14,0,1449,516,1965
20200403,IN,3437,14398,None,None,None,None,None,None,None,None,102,None,17835,17835,17835,24,0,1152,398,1550
20200402,IN,3039,13246,None,None,None,None,None,None,None,None,78,None,16285,16285,16285,13,0,1436,474,1910
20200401,IN,2565,11810,None,None,None,None,None,None,None,None,65,None,14375,14375,14375,16,0,596,406,1002
20200331,IN,2159,11214,None,None,None,None,None,None,None,None,49,None,13373,13373,13373,14,0,1342,373,1715
20200330,IN,1786,9872,None,None,None,None,None,None,None,None,35,None,11658,11658,11658,3,0,1556,272,1828
20200329,IN,1514,8316,None,None,None,None,None,None,None,None,32,None,9830,9830,9830,1,0,1141,282,1423
20200328,IN,1232,7175,None,None,None,None,None,None,None,None,31,None,8407,8407,8407,7,0,1220,251,1471
20200327,IN,981,5955,None,None,None,None,None,None,None,None,24,None,6936,6936,6936,7,0,1949,336,2285
20200326,IN,645,4006,None,None,None,None,None,None,None,None,17,None,4651,4651,4651,3,0,1127,168,1295
20200325,IN,477,2879,None,None,1,None,None,None,None,None,14,1,3356,3356,3356,2,0,313,112,425
20200324,IN,365,2566,None,None,1,None,None,None,None,None,12,1,2931,2931,2931,5,0,865,106,971
20200323,IN,259,1701,None,None,1,None,None,None,None,None,7,1,1960,1960,1960,1,0,408,58,466
20200322,IN,201,1293,None,None,1,None,None,None,None,None,6,1,1494,1494,1494,2,0,586,75,661
20200321,IN,126,707,None,None,1,None,None,None,None,None,4,1,833,833,833,2,1,232,47,279
20200320,IN,79,475,None,None,None,None,None,None,None,None,2,None,554,554,554,0,0,151,23,174
20200319,IN,56,324,None,None,None,None,None,None,None,None,2,None,380,380,380,0,0,170,17,187
20200318,IN,39,154,None,None,None,None,None,None,None,None,2,None,193,193,193,0,0,25,9,34
20200317,IN,30,129,None,None,None,None,None,None,None,None,2,None,159,159,159,1,0,14,6,20
20200316,IN,24,115,None,None,None,None,None,None,None,None,1,None,139,139,139,1,0,13,5,18
20200315,IN,19,102,None,None,None,None,None,None,None,None,0,None,121,121,121,0,0,28,4,32
20200314,IN,15,74,None,None,None,None,None,None,None,None,0,None,89,89,89,0,0,13,3,16
20200313,IN,12,61,,,,,,,,,,,73,73,73,0,0,9,0,9
20200312,IN,12,52,,,,,,,,,,,64,64,64,0,0,19,2,21
20200311,IN,10,33,,,,,,,,,,,43,43,43,0,0,3,4,7
20200310,IN,6,30,,,,,,,,,,,36,36,36,0,0,30,4,34
20200309,IN,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200308,IN,2,,,,,,,,,,,,2,2,2,0,0,0,1,1
20200307,IN,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200306,IN,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
