date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,KS,1790,15886,None,None,383,None,None,None,None,None,86,383,17676,17676,17676,2,8,690,85,775
20200417,KS,1705,15196,None,None,375,None,None,None,None,None,84,375,16901,16901,16901,4,16,662,117,779
20200416,KS,1588,14534,None,None,359,None,None,None,None,None,80,359,16122,16122,16122,4,17,1360,94,1454
20200415,KS,1494,13174,None,None,342,None,None,None,None,None,76,342,14668,14668,14668,7,15,453,68,521
20200414,KS,1426,12721,None,None,327,None,None,None,None,None,69,327,14147,14147,14147,7,18,233,50,283
20200413,KS,1376,12488,None,None,309,None,None,None,None,None,62,309,13864,13864,13864,6,11,572,39,611
20200412,KS,1337,11916,None,None,298,None,None,None,None,None,56,298,13253,13253,13253,1,5,841,69,910
20200411,KS,1268,11075,None,None,293,None,None,None,None,None,55,293,12343,12343,12343,5,19,827,102,929
20200410,KS,1166,10248,None,None,274,None,None,None,None,None,50,274,11414,11414,11414,8,11,579,60,639
20200409,KS,1106,9669,None,None,263,None,None,None,None,None,42,263,10775,10775,10775,15,40,1055,206,1261
20200408,KS,900,8614,None,None,223,None,None,None,None,None,27,223,9514,9514,9514,0,0,0,0,0
20200407,KS,900,8614,None,None,223,None,None,None,None,None,27,223,9514,9514,9514,2,25,375,55,430
20200406,KS,845,8239,None,None,198,None,None,None,None,None,25,198,9084,9084,9084,3,15,763,98,861
20200405,KS,747,7476,None,None,183,None,None,None,None,None,22,183,8223,8223,8223,1,11,596,49,645
20200404,KS,698,6880,None,None,172,None,None,None,None,None,21,172,7578,7578,7578,4,21,426,78,504
20200403,KS,620,6454,None,None,151,None,None,None,None,None,17,151,7074,7074,7074,4,13,395,68,463
20200402,KS,552,6059,None,None,138,None,None,None,None,None,13,138,6611,6611,6611,3,24,648,70,718
20200401,KS,482,5411,None,None,114,None,None,None,None,None,10,114,5893,5893,5893,1,35,415,54,469
20200331,KS,428,4996,None,None,79,None,None,None,None,None,9,79,5424,5424,5424,1,13,442,60,502
20200330,KS,368,4554,None,None,66,None,None,None,None,None,8,66,4922,4922,4922,2,11,360,49,409
20200329,KS,319,4194,None,None,55,None,None,None,None,None,6,55,4513,4513,4513,1,28,523,58,581
20200328,KS,261,3671,None,None,27,None,None,None,None,None,5,27,3932,3932,3932,1,0,442,59,501
20200327,KS,202,3229,None,None,27,None,None,None,None,None,4,27,3431,3431,3431,1,27,360,34,394
20200326,KS,168,2869,None,None,None,None,None,None,None,None,3,None,3037,3037,3037,0,0,509,42,551
20200325,KS,126,2360,None,None,None,None,None,None,None,None,3,None,2486,2486,2486,1,0,274,28,302
20200324,KS,98,2086,None,None,None,None,None,None,None,None,2,None,2184,2184,2184,0,0,1669,16,1685
20200323,KS,82,417,None,None,None,None,None,None,None,None,2,None,499,499,499,0,0,0,18,18
20200322,KS,64,417,None,None,None,None,None,None,None,None,2,None,481,481,481,0,0,0,9,9
20200321,KS,55,417,None,None,None,None,None,None,None,None,2,None,472,472,472,1,0,0,11,11
20200320,KS,44,417,None,None,None,None,None,None,None,None,1,None,461,461,461,0,0,0,10,10
20200319,KS,34,417,None,None,None,None,None,None,None,None,1,None,451,451,451,0,0,0,18,18
20200318,KS,16,417,None,None,None,None,None,None,None,None,1,None,433,433,433,0,0,35,1,36
20200317,KS,15,382,None,None,None,None,None,None,None,None,1,None,397,397,397,0,0,216,4,220
20200316,KS,11,166,None,None,None,None,None,None,None,None,1,None,177,177,177,0,0,31,3,34
20200315,KS,8,135,None,None,None,None,None,None,None,None,1,None,143,143,143,0,0,42,2,44
20200314,KS,6,93,None,None,None,None,None,None,None,None,1,None,99,99,99,1,0,0,0,0
20200313,KS,6,93,,,,,,,,,,,99,99,99,0,0,52,2,54
20200312,KS,4,41,,,,,,,,,,,45,45,45,0,0,0,3,3
20200311,KS,1,41,,,,,,,,,,,42,42,42,0,0,24,0,24
20200310,KS,1,17,21,,,,,,,,,,39,18,18,0,0,6,0,6
20200309,KS,1,11,0,,,,,,,,,,12,12,12,0,0,0,0,0
20200308,KS,1,11,0,,,,,,,,,,12,12,12,0,0,0,1,1
20200307,KS,0,11,2,,,,,,,,,,13,11,11,0,0,7,0,7
20200306,KS,0,4,0,,,,,,,,,,4,4,4,None,None,None,None,None
