date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,KY,2522,28074,None,360,1008,227,514,None,None,979,137,1008,30596,30596,30596,8,37,756,93,849
20200417,KY,2429,27318,None,477,971,333,506,None,None,956,129,971,29747,29747,29747,7,164,1285,138,1423
20200416,KY,2291,26033,None,412,807,252,367,None,None,862,122,807,28324,28324,28324,7,120,546,81,627
20200415,KY,2210,25487,None,305,687,137,263,None,None,653,115,687,27697,27697,27697,11,14,852,162,1014
20200414,KY,2048,24635,None,299,673,136,259,None,None,629,104,673,26683,26683,26683,7,6,732,85,817
20200413,KY,1963,23903,None,289,667,136,256,None,None,607,97,667,25866,25866,25866,3,208,1176,123,1299
20200412,KY,1840,22727,None,271,459,105,177,None,None,464,94,459,24567,24567,24567,4,0,132,147,279
20200411,KY,1693,22595,None,271,459,105,177,None,None,464,90,459,24288,24288,24288,0,0,0,0,0
20200410,KY,1693,22595,None,271,459,105,177,None,None,464,90,459,24288,24288,24288,17,459,2140,347,2487
20200409,KY,1346,20455,None,None,None,None,None,None,None,None,73,None,21801,21801,21801,8,0,0,197,197
20200408,KY,1149,20455,None,None,None,None,None,None,None,None,65,None,21604,21604,21604,6,0,1508,141,1649
20200407,KY,1008,18947,None,None,None,None,None,None,None,None,59,None,19955,19955,19955,14,0,1135,53,1188
20200406,KY,955,17812,None,None,None,None,None,None,None,None,45,None,18767,18767,18767,5,0,2066,38,2104
20200405,KY,917,15746,None,None,None,None,None,None,None,None,40,None,16663,16663,16663,3,0,1005,86,1091
20200404,KY,831,14741,None,None,None,None,None,None,None,None,37,None,15572,15572,15572,6,0,2707,61,2768
20200403,KY,770,12034,None,None,None,None,None,None,None,None,31,None,12804,12804,12804,11,0,4814,90,4904
20200402,KY,680,7220,None,None,None,None,None,None,None,None,20,None,7900,7900,7900,3,0,255,89,344
20200401,KY,591,6965,None,None,None,None,None,None,None,None,17,None,7556,7556,7556,6,0,635,111,746
20200331,KY,480,6330,None,None,None,None,None,None,None,None,11,None,6810,6810,6810,2,0,751,41,792
20200330,KY,439,5579,None,None,None,None,None,None,None,None,9,None,6018,6018,6018,0,0,432,45,477
20200329,KY,394,5147,None,None,None,None,None,None,None,None,9,None,5541,5541,5541,1,0,326,92,418
20200328,KY,302,4821,None,None,None,None,None,None,None,None,8,None,5123,5123,5123,2,0,1053,54,1107
20200327,KY,248,3768,None,None,None,None,None,None,None,None,6,None,4016,4016,4016,2,0,666,50,716
20200326,KY,198,3102,None,None,None,None,None,None,None,None,4,None,3300,3300,3300,0,0,237,41,278
20200325,KY,157,2865,None,None,None,None,None,None,None,None,4,None,3022,3022,3022,0,0,1103,33,1136
20200324,KY,124,1762,None,None,None,None,None,None,None,None,4,None,1886,1886,1886,1,0,0,20,20
20200323,KY,104,1762,None,None,None,None,None,None,None,None,3,None,1866,1866,1866,0,0,290,5,295
20200322,KY,99,1472,None,None,None,None,None,None,None,None,3,None,1571,1571,1571,1,0,758,45,803
20200321,KY,54,714,None,None,None,None,None,None,None,None,2,None,768,768,768,1,0,122,7,129
20200320,KY,47,592,None,None,None,None,None,None,None,None,1,None,639,639,639,0,0,138,12,150
20200319,KY,35,454,None,None,None,None,None,None,None,None,1,None,489,489,489,0,0,100,9,109
20200318,KY,26,354,None,None,None,None,None,None,None,None,1,None,380,380,380,0,0,59,4,63
20200317,KY,22,295,None,None,None,None,None,None,None,None,1,None,317,317,317,0,0,61,1,62
20200316,KY,21,234,None,None,None,None,None,None,None,None,1,None,255,255,255,1,0,95,5,100
20200315,KY,16,139,,,,,,,,,,,155,155,155,0,0,0,2,2
20200314,KY,14,139,,,,,,,,,,,153,153,153,0,0,32,3,35
20200313,KY,11,107,,,,,,,,,,,118,118,118,0,0,51,3,54
20200312,KY,8,56,,,,,,,,,,,64,64,64,0,0,10,0,10
20200311,KY,8,46,,,,,,,,,,,54,54,54,0,0,18,2,20
20200310,KY,6,28,,,,,,,,,,,34,34,34,0,0,11,2,13
20200309,KY,4,17,,,,,,,,,,,21,21,21,0,0,4,3,7
20200308,KY,1,13,,,,,,,,,,,14,14,14,0,0,4,0,4
20200307,KY,1,9,,,,,,,,,,,10,10,10,0,0,2,1,3
20200306,KY,0,7,3,,,,,,,,,,10,7,7,None,None,None,None,None
