date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,LA,25258,117576,None,1747,None,None,None,287,None,None,1473,None,142834,142834,142834,68,0,0,404,404
20200421,LA,24854,117576,None,1798,None,None,None,297,None,None,1405,None,142430,142430,142430,77,0,0,331,331
20200420,LA,24523,117576,None,1794,None,None,None,332,None,None,1328,None,142099,142099,142099,32,0,0,595,595
20200419,LA,23928,117576,None,1748,None,None,None,349,None,None,1296,None,141504,141504,141504,29,0,3157,348,3505
20200418,LA,23580,114419,None,1761,None,None,None,347,None,None,1267,None,137999,137999,137999,54,0,5550,462,6012
20200417,LA,23118,108869,None,1868,None,None,None,363,None,None,1213,None,131987,131987,131987,57,0,4815,586,5401
20200416,LA,22532,104054,None,1914,None,None,None,396,None,None,1156,None,126586,126586,126586,53,0,4077,581,4658
20200415,LA,21951,99977,None,1943,None,None,None,425,None,None,1103,None,121928,121928,121928,90,0,3073,433,3506
20200414,LA,21518,96904,None,1977,None,None,None,436,None,None,1013,None,118422,118422,118422,129,0,9829,502,10331
20200413,LA,21016,87075,None,2134,None,None,None,461,None,None,884,None,108091,108091,108091,44,0,3625,421,4046
20200412,LA,20595,83450,None,2084,None,None,None,458,None,None,840,None,104045,104045,104045,34,0,6549,581,7130
20200411,LA,20014,76901,None,2067,None,None,None,470,None,None,806,None,96915,96915,96915,51,0,3874,761,4635
20200410,LA,19253,73027,None,2054,None,None,None,479,None,None,755,None,92280,92280,92280,53,0,4391,970,5361
20200409,LA,18283,68636,None,2014,None,None,None,473,None,None,702,None,86919,86919,86919,50,0,4260,1253,5513
20200408,LA,17030,64376,None,1983,None,None,None,490,None,None,652,None,81406,81406,81406,70,0,6005,746,6751
20200407,LA,16284,58371,None,1996,None,None,None,519,None,None,582,None,74655,74655,74655,70,0,4072,1417,5489
20200406,LA,14867,54299,None,1981,None,None,None,552,None,None,512,None,69166,69166,69166,35,0,6984,1857,8841
20200405,LA,13010,47315,None,1803,None,None,None,561,None,None,477,None,60325,60325,60325,68,0,1313,514,1827
20200404,LA,12496,46002,None,1726,None,None,None,571,None,None,409,None,58498,58498,58498,39,0,2654,2199,4853
20200403,LA,10297,43348,None,1707,None,None,None,535,None,None,370,None,53645,53645,53645,60,0,1412,1147,2559
20200402,LA,9150,41936,None,1639,None,None,None,507,None,None,310,None,51086,51086,51086,37,0,2584,2726,5310
20200401,LA,6424,39352,None,1498,None,None,None,490,None,None,273,None,45776,45776,45776,34,0,5622,1187,6809
20200331,LA,5237,33730,None,1355,None,None,None,438,None,None,239,None,38967,38967,38967,54,0,3722,1212,4934
20200330,LA,4025,30008,None,1185,None,None,None,385,None,None,185,None,34033,34033,34033,34,0,5677,485,6162
20200329,LA,3540,24331,None,1127,None,None,None,380,None,None,151,None,27871,27871,27871,14,0,2485,225,2710
20200328,LA,3315,21846,None,927,None,None,None,336,None,None,137,None,25161,25161,25161,18,0,3233,569,3802
20200327,LA,2746,18613,None,773,None,None,None,270,None,None,119,None,21359,21359,21359,36,0,2889,441,3330
20200326,LA,2305,15724,None,676,None,None,None,239,None,None,83,None,18029,18029,18029,18,0,6068,510,6578
20200325,LA,1795,9656,None,491,None,None,None,163,None,None,65,None,11451,11451,11451,19,0,2441,407,2848
20200324,LA,1388,7215,None,271,None,None,None,None,None,None,46,None,8603,8603,8603,12,0,2439,216,2655
20200323,LA,1172,4776,None,None,None,None,None,None,None,None,34,None,5948,5948,5948,14,0,2115,335,2450
20200322,LA,837,2661,None,None,None,None,None,None,None,None,20,None,3498,3498,3498,4,0,481,252,733
20200321,LA,585,2180,None,None,None,None,None,None,None,None,16,None,2765,2765,2765,4,0,1612,106,1718
20200320,LA,479,568,None,None,None,None,None,None,None,None,12,None,1047,1047,1047,4,0,110,132,242
20200319,LA,347,458,None,None,None,None,None,None,None,None,8,None,805,805,805,2,0,123,107,230
20200318,LA,240,335,None,None,None,None,None,None,None,None,6,None,575,575,575,2,0,49,69,118
20200317,LA,171,286,None,None,None,None,None,None,None,None,4,None,457,457,457,2,0,98,57,155
20200316,LA,114,188,None,None,None,None,None,None,None,None,2,None,302,302,302,0,0,32,23,55
20200315,LA,91,156,None,None,None,None,None,None,None,None,2,None,247,247,247,2,0,47,22,69
20200314,LA,69,109,,,,,,,,,,,178,178,178,0,0,72,33,105
20200313,LA,36,37,,,,,,,,,,,73,73,73,0,0,0,22,22
20200312,LA,14,37,,,,,,,,,,,51,51,51,0,0,0,8,8
20200311,LA,6,37,,,,,,,,,,,43,43,43,0,0,26,5,31
20200310,LA,1,11,,,,,,,,,,,12,12,12,0,0,6,0,6
20200309,LA,1,5,,,,,,,,,,,6,6,6,0,0,0,1,1
20200308,LA,0,5,,,,,,,,,,,5,5,5,0,0,5,0,5
20200307,LA,0,,,,,,,,,,,,0,0,0,None,None,None,None,None
