date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,MA,42944,137518,None,3977,None,1050,None,None,None,None,2182,None,180462,180462,180462,221,0,3345,1745,5090
20200421,MA,41199,134173,None,3872,None,1040,None,None,None,None,1961,None,175372,175372,175372,255,0,10009,3122,13131
20200420,MA,38077,124164,None,3729,None,987,None,None,None,None,1706,None,162241,162241,162241,0,0,0,0,0
20200419,MA,38077,124164,None,3804,None,987,None,None,None,None,1706,None,162241,162241,162241,146,0,3730,1705,5435
20200418,MA,36372,120434,None,3750,None,987,None,None,None,None,1560,None,156806,156806,156806,156,0,6092,1970,8062
20200417,MA,34402,114342,None,3766,2340,987,None,None,None,None,1404,2340,148744,148744,148744,159,0,5750,2221,7971
20200416,MA,32181,108592,None,3729,2340,973,None,None,None,None,1245,2340,140773,140773,140773,137,0,6487,2263,8750
20200415,MA,29918,102105,None,3635,2340,973,None,None,None,None,1108,2340,132023,132023,132023,151,0,3717,1755,5472
20200414,MA,28163,98388,None,3615,2340,None,None,None,None,None,957,2340,126551,126551,126551,113,0,3206,1296,4502
20200413,MA,26867,95182,None,3454,2340,None,None,None,None,None,844,2340,122049,122049,122049,88,105,3927,1392,5319
20200412,MA,25475,91255,None,None,2235,None,None,None,None,None,756,2235,116730,116730,116730,70,115,5339,2615,7954
20200411,MA,22860,85916,None,None,2120,None,None,None,None,None,686,2120,108776,108776,108776,87,164,4518,1886,6404
20200410,MA,20974,81398,None,None,1956,None,None,None,None,None,599,1956,102372,102372,102372,96,209,5381,2033,7414
20200409,MA,18941,76017,None,None,1747,None,None,None,None,None,503,1747,94958,94958,94958,70,164,5296,2151,7447
20200408,MA,16790,70721,None,None,1583,None,None,None,None,None,433,1583,87511,87511,87511,77,148,4579,1588,6167
20200407,MA,15202,66142,None,None,1435,None,None,None,None,None,356,1435,81344,81344,81344,96,194,3550,1365,4915
20200406,MA,13837,62592,None,None,1241,None,None,None,None,None,260,1241,76429,76429,76429,29,96,3155,1337,4492
20200405,MA,12500,59437,None,None,1145,None,None,None,None,None,231,1145,71937,71937,71937,15,77,2373,764,3137
20200404,MA,11736,57064,None,None,1068,None,None,None,None,None,216,1068,68800,68800,68800,24,102,4504,1334,5838
20200403,MA,10402,52560,None,None,966,None,None,None,None,None,192,966,62962,62962,62962,38,153,4918,1436,6354
20200402,MA,8966,47642,None,None,813,None,None,None,None,None,154,813,56608,56608,56608,32,131,3642,1228,4870
20200401,MA,7738,44000,None,None,682,None,None,None,None,None,122,682,51738,51738,51738,33,120,3685,1118,4803
20200331,MA,6620,40315,None,None,562,None,None,None,None,None,89,562,46935,46935,46935,33,109,3274,868,4142
20200330,MA,5752,37041,None,None,453,None,None,None,None,None,56,453,42793,42793,42793,8,54,2930,797,3727
20200329,MA,4955,34111,None,None,399,None,None,None,None,None,48,399,39066,39066,39066,4,49,3319,698,4017
20200328,MA,4257,30792,None,None,350,None,None,None,None,None,44,350,35049,35049,35049,9,131,4661,1017,5678
20200327,MA,3240,26131,None,None,219,None,None,None,None,None,35,219,29371,29371,29371,10,0,4927,823,5750
20200326,MA,2417,21204,None,None,219,None,None,None,None,None,25,219,23621,23621,23621,10,116,3248,579,3827
20200325,MA,1838,17956,None,None,103,None,None,None,None,None,15,103,19794,19794,19794,4,9,5366,679,6045
20200324,MA,1159,12590,None,None,94,None,None,None,None,None,11,94,13749,13749,13749,2,15,4445,382,4827
20200323,MA,777,8145,None,None,79,None,None,None,None,None,9,79,8922,8922,8922,4,8,2686,131,2817
20200322,MA,646,5459,None,None,71,None,None,None,None,None,5,71,6105,6105,6105,4,10,707,121,828
20200321,MA,525,4752,None,None,61,None,None,None,None,None,1,61,5277,5277,5277,0,61,1074,112,1186
20200320,MA,413,3678,None,None,None,None,None,None,None,None,1,None,4091,4091,4091,1,0,874,85,959
20200319,MA,328,2804,,,,,,,,,,,3132,3132,3132,0,0,789,72,861
20200318,MA,256,2015,,,,,,,,,,,2271,2271,2271,0,0,474,38,512
20200317,MA,218,1541,,,,,,,,,,,1759,1759,1759,0,0,1189,54,1243
20200316,MA,164,352,,,,,,,,,,,516,516,516,0,0,0,26,26
20200315,MA,138,352,,,,,,,,,,,490,490,490,0,0,0,0,0
20200314,MA,138,352,,,,,,,,,,,490,490,490,0,0,260,15,275
20200313,MA,123,92,,,,,,,,,,,215,215,215,0,0,92,28,120
20200312,MA,95,,,,,,,,,,,,95,95,95,0,0,0,3,3
20200311,MA,92,,,,,,,,,,,,92,92,92,0,0,0,0,0
20200310,MA,92,,,,,,,,,,,,92,92,92,0,0,0,51,51
20200309,MA,41,,,,,,,,,,,,41,41,41,0,0,0,28,28
20200308,MA,13,,,,,,,,,,,,13,13,13,0,0,0,0,0
20200307,MA,13,,,,,,,,,,,,13,13,13,0,0,0,5,5
20200306,MA,8,,,,,,,,,,,,8,8,8,0,0,0,6,6
20200305,MA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200304,MA,2,,,,,,,,,,,,2,2,2,None,None,None,None,None
