date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,MD,14775,61754,None,1432,3325,527,None,None,None,981,631,3325,76529,76529,76529,47,167,2312,582,2894
20200421,MD,14193,59442,None,1433,3158,526,None,None,None,930,584,3158,73635,73635,73635,68,144,1729,509,2238
20200420,MD,13684,57713,None,None,3014,None,None,None,None,917,516,3014,71397,71397,71397,30,128,2652,854,3506
20200419,MD,12830,55061,None,None,2886,None,None,None,None,914,486,2886,67891,67891,67891,23,129,1999,522,2521
20200418,MD,12308,53062,None,None,2757,None,None,None,None,771,463,2757,65370,65370,65370,38,145,2625,736,3361
20200417,MD,11572,50437,None,None,2612,None,None,None,None,736,425,2612,62009,62009,62009,33,161,2378,788,3166
20200416,MD,10784,48059,None,None,2451,None,None,None,None,736,392,2451,58843,58843,58843,43,220,2328,752,3080
20200415,MD,10032,45731,None,None,2231,None,None,None,None,607,349,2231,55763,55763,55763,47,109,1470,560,2030
20200414,MD,9472,44261,None,None,2122,None,None,None,None,607,302,2122,53733,53733,53733,40,147,1446,536,1982
20200413,MD,8936,42815,None,None,1975,None,None,None,None,603,262,1975,51751,51751,51751,27,115,1276,711,1987
20200412,MD,8225,41539,None,None,1860,None,None,None,None,456,235,1860,49764,49764,49764,29,151,1995,531,2526
20200411,MD,7694,39544,None,None,1709,None,None,None,None,431,206,1709,47238,47238,47238,35,296,2064,726,2790
20200410,MD,6968,37480,None,None,1413,None,None,None,None,397,171,1413,44448,44448,44448,33,65,2136,783,2919
20200409,MD,6185,35344,None,None,1348,None,None,None,None,376,138,1348,41529,41529,41529,14,138,2411,656,3067
20200408,MD,5529,32933,None,None,1210,None,None,None,None,365,124,1210,38462,38462,38462,21,104,5677,1158,6835
20200407,MD,4371,27256,None,None,1106,None,None,None,None,288,103,1106,31627,31627,31627,12,47,1684,326,2010
20200406,MD,4045,25572,None,None,1059,None,None,None,None,184,91,1059,29617,29617,29617,24,123,844,436,1280
20200405,MD,3609,24728,None,None,936,None,None,None,None,159,67,936,28337,28337,28337,14,115,2243,484,2727
20200404,MD,3125,22485,None,None,821,None,None,None,None,159,53,821,25610,25610,25610,11,157,1553,367,1920
20200403,MD,2758,20932,None,None,664,None,None,None,None,159,42,664,23690,23690,23690,6,82,2042,427,2469
20200402,MD,2331,18890,None,None,582,None,None,None,None,81,36,582,21221,21221,21221,5,60,1657,346,2003
20200401,MD,1985,17233,None,None,522,None,None,None,None,None,31,522,19218,19218,19218,13,93,2365,325,2690
20200331,MD,1660,14868,None,None,429,None,None,None,None,None,18,429,16528,16528,16528,3,76,1552,247,1799
20200330,MD,1413,13316,None,None,353,None,None,None,None,None,15,353,14729,14729,14729,5,76,962,174,1136
20200329,MD,1239,12354,None,None,277,None,None,None,None,None,10,277,13593,13593,13593,5,51,838,247,1085
20200328,MD,992,11516,None,None,226,None,None,None,None,None,5,226,12508,12508,12508,0,53,11422,218,11640
20200327,MD,774,94,None,None,173,None,None,None,None,25,5,173,868,868,868,1,41,0,194,194
20200326,MD,580,94,None,None,132,None,None,None,None,None,4,132,674,674,674,0,132,0,157,157
20200325,MD,423,94,None,None,None,None,None,None,None,None,4,None,517,517,517,1,0,0,74,74
20200324,MD,349,94,None,None,None,None,None,None,None,None,3,None,443,443,443,0,0,0,61,61
20200323,MD,288,94,None,None,None,None,None,None,None,None,3,None,382,382,382,0,0,0,44,44
20200322,MD,244,94,None,None,None,None,None,None,None,None,3,None,338,338,338,1,0,0,54,54
20200321,MD,190,94,None,None,None,None,None,None,None,None,2,None,284,284,284,1,0,0,41,41
20200320,MD,149,94,None,None,None,None,None,None,None,None,1,None,243,243,243,0,0,0,42,42
20200319,MD,107,94,None,None,None,None,None,None,None,None,1,None,201,201,201,1,0,0,22,22
20200318,MD,85,94,,,,,,,,,,,179,179,179,0,0,0,28,28
20200317,MD,57,94,,,,,,,,,,,151,151,151,0,0,0,20,20
20200316,MD,37,94,,,,,,,,,,,131,131,131,0,0,0,6,6
20200315,MD,31,94,,,,,,,,,,,125,125,125,0,0,0,5,5
20200314,MD,26,94,,,,,,,,,,,120,120,120,0,0,0,9,9
20200313,MD,17,94,,,,,,,,,,,111,111,111,0,0,0,5,5
20200312,MD,12,94,,,,,,,,,,,106,106,106,0,0,0,3,3
20200311,MD,9,94,,,,,,,,,,,103,103,103,0,0,5,3,8
20200310,MD,6,89,,,,,,,,,,,95,95,95,0,0,16,1,17
20200309,MD,5,73,,,,,,,,,,,78,78,78,0,0,21,2,23
20200308,MD,3,52,,,,,,,,,,,55,55,55,0,0,11,0,11
20200307,MD,3,41,,,,,,,,,,,44,44,44,0,0,15,0,15
20200306,MD,3,26,12,,,,,,,,,,41,29,29,0,0,9,3,12
20200305,MD,0,17,14,,,,,,,,,,31,17,17,None,None,None,None,None
