date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,ME,907,16784,None,42,144,18,None,10,None,455,39,144,17691,17691,17691,3,5,2708,19,2727
20200421,ME,888,14076,None,40,139,16,None,8,None,443,36,139,14964,14964,14964,1,1,0,13,13
20200420,ME,875,14076,None,39,138,16,None,9,None,414,35,138,14951,14951,14951,1,2,0,8,8
20200419,ME,867,14076,None,46,136,18,None,9,None,393,34,136,14943,14943,14943,2,0,0,20,20
20200418,ME,847,14076,None,49,136,20,None,12,None,382,32,136,14923,14923,14923,3,3,0,20,20
20200417,ME,827,14076,None,55,133,28,None,8,None,352,29,133,14903,14903,14903,2,3,0,31,31
20200416,ME,796,14076,None,47,130,20,None,7,None,333,27,130,14872,14872,14872,3,4,0,26,26
20200415,ME,770,14076,None,48,126,22,None,9,None,305,24,126,14846,14846,14846,4,2,2468,36,2504
20200414,ME,734,11608,None,58,124,21,None,9,None,292,20,124,12342,12342,12342,1,0,0,36,36
20200413,ME,698,11608,None,22,124,None,None,None,None,273,19,124,12306,12306,12306,0,4,5520,65,5585
20200412,ME,633,6088,None,None,120,None,None,None,None,266,19,120,6721,6721,6721,0,6,0,17,17
20200411,ME,616,6088,None,None,114,None,None,None,None,256,19,114,6704,6704,6704,2,3,0,30,30
20200410,ME,586,6088,None,None,111,None,None,None,None,246,17,111,6674,6674,6674,1,6,0,26,26
20200409,ME,560,6088,None,None,105,None,None,None,None,202,16,105,6648,6648,6648,2,4,0,23,23
20200408,ME,537,6088,None,None,101,None,None,None,None,187,14,101,6625,6625,6625,2,2,0,18,18
20200407,ME,519,6088,None,None,99,None,None,None,None,176,12,99,6607,6607,6607,2,7,0,20,20
20200406,ME,499,6088,None,None,92,None,None,None,None,158,10,92,6587,6587,6587,0,6,0,29,29
20200405,ME,470,6088,None,None,86,None,None,None,None,156,10,86,6558,6558,6558,0,3,0,14,14
20200404,ME,456,6088,None,None,83,None,None,None,None,140,10,83,6544,6544,6544,1,8,0,24,24
20200403,ME,432,6088,None,None,75,None,None,None,None,113,9,75,6520,6520,6520,2,7,0,56,56
20200402,ME,376,6088,None,None,68,None,None,None,None,94,7,68,6464,6464,6464,0,5,0,32,32
20200401,ME,344,6088,None,None,63,None,None,None,None,80,7,63,6432,6432,6432,2,6,0,41,41
20200331,ME,303,6088,None,None,57,None,None,None,None,68,5,57,6391,6391,6391,2,8,2694,28,2722
20200330,ME,275,3394,None,None,49,None,None,None,None,41,3,49,3669,3669,3669,0,49,0,22,22
20200329,ME,253,3394,None,None,None,None,None,None,None,41,3,None,3647,3647,3647,2,0,0,42,42
20200328,ME,211,3394,None,None,None,None,None,None,None,36,1,None,3605,3605,3605,0,0,0,43,43
20200327,ME,168,3394,None,None,None,None,None,None,None,24,1,None,3562,3562,3562,1,0,0,13,13
20200326,ME,155,3394,None,None,None,None,None,None,None,16,,None,3549,3549,3549,0,0,217,6,223
20200325,ME,149,3177,None,None,None,None,None,None,None,7,,None,3326,3326,3326,0,0,163,24,187
20200324,ME,125,3014,,,,,,,,,,,3139,3139,3139,0,0,223,18,241
20200323,ME,107,2791,,,,,,,,,,,2898,2898,2898,0,0,527,18,545
20200322,ME,89,2264,,,,,,,,,,,2353,2353,2353,0,0,0,16,16
20200321,ME,73,2264,,,,,,,,,,,2337,2337,2337,0,0,0,16,16
20200320,ME,57,2264,,,,,,,,,,,2321,2321,2321,0,0,260,4,264
20200319,ME,53,2004,,,,,,,,,,,2057,2057,2057,0,0,334,10,344
20200318,ME,43,1670,,,,,,,,,,,1713,1713,1713,0,0,367,11,378
20200317,ME,32,1303,,,,,,,,,,,1335,1335,1335,0,0,539,15,554
20200316,ME,17,764,,,,,,,,,,,781,781,781,0,0,673,14,687
20200315,ME,3,91,17,,,,,,,,,,111,94,94,0,0,0,0,0
20200314,ME,3,91,17,,,,,,,,,,111,94,94,0,0,0,0,0
20200313,ME,3,91,17,,,,,,,,,,111,94,94,0,0,26,2,28
20200312,ME,1,65,20,,,,,,,,,,86,66,66,0,0,23,1,24
20200311,ME,0,42,5,,,,,,,,,,47,42,42,0,0,22,0,22
20200310,ME,0,20,5,,,,,,,,,,25,20,20,0,0,19,0,19
20200309,ME,0,1,,,,,,,,,,,1,1,1,0,0,0,0,0
20200308,ME,0,1,,,,,,,,,,,1,1,1,0,0,0,0,0
20200307,ME,0,1,,,,,,,,,,,1,1,1,None,None,None,None,None
