date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,MI,33966,84259,None,3305,None,1350,None,1065,None,3237,2813,None,118225,118225,118225,113,0,0,999,999
20200421,MI,32967,84259,None,3357,None,1346,None,1107,None,3237,2700,None,117226,117226,117226,232,0,2461,967,3428
20200420,MI,32000,81798,None,3374,None,1346,None,1102,None,3237,2468,None,113798,113798,113798,77,0,3561,576,4137
20200419,MI,31424,78237,None,3403,None,1344,None,1115,None,3237,2391,None,109661,109661,109661,83,0,9301,633,9934
20200418,MI,30791,68936,None,3634,None,1423,None,1203,None,3237,2308,None,99727,99727,99727,81,0,0,768,768
20200417,MI,30023,68936,None,3674,None,1428,None,1167,None,629,2227,None,98959,98959,98959,134,0,3913,760,4673
20200416,MI,29263,65023,None,3809,None,1447,None,1211,None,617,2093,None,94286,94286,94286,172,0,3385,1204,4589
20200415,MI,28059,61638,None,3918,None,1468,None,1212,None,452,1921,None,89697,89697,89697,153,0,2413,1058,3471
20200414,MI,27001,59225,None,3910,None,1497,None,1235,None,452,1768,None,86226,86226,86226,166,0,2216,1366,3582
20200413,MI,25635,57009,None,3986,None,1570,None,1365,None,447,1602,None,82644,82644,82644,115,0,2210,997,3207
20200412,MI,24638,54799,None,3636,None,1582,None,1441,None,433,1487,None,79437,79437,79437,95,0,2778,645,3423
20200411,MI,23993,52021,None,3636,None,1582,None,1441,None,595,1392,None,76014,76014,76014,111,0,2760,1210,3970
20200410,MI,22783,49261,None,3823,None,1663,None,1394,None,56,1281,None,72044,72044,72044,205,0,3711,1279,4990
20200409,MI,21504,45550,None,3826,None,1628,None,1434,None,56,1076,None,67054,67054,67054,117,0,0,915,915
20200408,MI,20589,45550,None,None,None,None,None,None,None,56,959,None,66139,66139,66139,114,0,0,766,766
20200407,MI,19823,45550,None,None,None,None,None,None,None,56,845,None,65373,65373,65373,118,0,2430,973,3403
20200406,MI,18850,43120,None,None,None,None,None,None,None,56,727,None,61970,61970,61970,110,0,2789,1283,4072
20200405,MI,17567,40331,None,None,None,None,None,None,None,56,617,None,57898,57898,57898,77,0,2926,1172,4098
20200404,MI,16395,37405,None,None,None,None,None,None,None,56,540,None,53800,53800,53800,61,0,3735,1143,4878
20200403,MI,15252,33670,None,None,None,None,None,None,None,56,479,None,48922,48922,48922,62,0,3302,1135,4437
20200402,MI,14117,30368,None,None,None,None,None,None,None,None,417,None,44485,44485,44485,80,0,3131,1229,4360
20200401,MI,12888,27237,None,None,None,None,None,None,None,None,337,None,40125,40125,40125,78,0,3258,1013,4271
20200331,MI,11875,23979,None,None,None,None,None,None,None,None,259,None,35854,35854,35854,75,0,2796,974,3770
20200330,MI,10901,21183,None,None,None,None,None,None,None,None,184,None,32084,32084,32084,52,0,5507,891,6398
20200329,MI,10010,15676,None,None,None,None,None,None,None,None,132,None,25686,25686,25686,40,0,1493,723,2216
20200328,MI,9287,14183,None,None,None,None,None,None,None,None,92,None,23470,23470,23470,0,0,1544,628,2172
20200327,MI,8659,12639,None,None,None,None,None,None,None,None,92,None,21298,21298,21298,32,0,2334,892,3226
20200326,MI,7767,10305,None,None,None,None,None,None,None,None,60,None,18072,18072,18072,17,0,2768,707,3475
20200325,MI,7060,7537,None,None,None,None,None,None,None,None,43,None,14597,14597,14597,19,0,1741,619,2360
20200324,MI,6441,5796,None,None,None,None,None,None,None,None,24,None,12237,12237,12237,9,0,1099,652,1751
20200323,MI,5789,4697,None,None,None,None,None,None,None,None,15,None,10486,10486,10486,7,0,985,691,1676
20200322,MI,5098,3712,None,None,None,None,None,None,None,None,8,None,8810,8810,8810,3,0,16,555,571
20200321,MI,4543,3696,None,None,None,None,None,None,None,None,5,None,8239,8239,8239,2,0,950,516,1466
20200320,MI,4027,2746,None,None,None,None,None,None,None,None,3,None,6773,6773,6773,0,0,961,635,1596
20200319,MI,3392,1785,None,None,None,None,None,None,None,None,3,None,5177,5177,5177,3,0,570,479,1049
20200318,MI,2913,1215,,,,,,,,,,,4128,4128,4128,0,0,589,520,1109
20200317,MI,2393,626,,,,,,,,,,,3019,3019,3019,0,0,354,460,814
20200316,MI,1933,272,30,,,,,,,,,,2235,2205,2205,0,0,67,453,520
20200315,MI,1480,205,26,,,,,,,,,,1711,1685,1685,0,0,0,284,284
20200314,MI,1196,205,26,,,,,,,,,,1427,1401,1401,0,0,72,251,323
20200313,MI,945,133,26,,,,,,,,,,1104,1078,1078,0,0,42,243,285
20200312,MI,702,91,27,,,,,,,,,,820,793,793,0,0,34,205,239
20200311,MI,497,57,18,,,,,,,,,,572,554,554,0,0,18,139,157
20200310,MI,358,39,24,,,,,,,,,,421,397,397,0,0,3,104,107
20200309,MI,254,36,11,,,,,,,,,,301,290,290,0,0,10,86,96
20200308,MI,168,26,10,,,,,,,,,,204,194,194,0,0,8,40,48
20200307,MI,128,18,9,,,,,,,,,,155,146,146,0,0,10,30,40
20200306,MI,98,8,8,,,,,,,,,,114,106,106,0,0,0,26,26
20200305,MI,72,8,0,,,,,,,,,,80,80,80,0,0,8,20,28
20200304,MI,52,,,,,,,,,,,,52,52,52,0,0,0,18,18
20200303,MI,34,,,,,,,,,,,,34,34,34,0,0,0,16,16
20200302,MI,18,,,,,,,,,,,,18,18,18,0,0,0,9,9
20200301,MI,9,,,,,,,,,,,,9,9,9,None,None,None,None,None
