date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,MN,2213,42055,None,239,561,111,215,None,None,1118,121,561,44268,44268,44268,10,43,1073,142,1215
20200417,MN,2071,40982,None,223,518,106,202,None,None,1066,111,518,43053,43053,43053,17,43,1219,159,1378
20200416,MN,1912,39763,None,213,475,103,188,None,None,1020,94,475,41675,41675,41675,7,30,1330,103,1433
20200415,MN,1809,38433,None,197,445,93,175,None,None,940,87,445,40242,40242,40242,8,40,887,114,1001
20200414,MN,1695,37546,None,177,405,75,155,None,None,909,79,405,39241,39241,39241,9,44,769,45,814
20200413,MN,1650,36777,None,157,361,74,146,None,None,842,70,361,38427,38427,38427,0,0,977,29,1006
20200412,MN,1621,35800,None,157,361,74,146,None,None,842,70,361,37421,37421,37421,6,21,1823,194,2017
20200411,MN,1427,33977,None,145,340,69,138,None,None,793,64,340,35404,35404,35404,7,23,1419,91,1510
20200410,MN,1336,32558,None,143,317,64,131,None,None,732,57,317,33894,33894,33894,7,24,1506,94,1600
20200409,MN,1242,31052,None,145,293,63,119,None,None,675,50,293,32294,32294,32294,11,22,1453,88,1541
20200408,MN,1154,29599,None,135,271,64,105,None,None,632,39,271,30753,30753,30753,5,29,1408,85,1493
20200407,MN,1069,28191,None,120,242,64,100,None,None,549,34,242,29260,29260,29260,4,19,1049,83,1132
20200406,MN,986,27142,None,115,223,57,90,None,None,470,30,223,28128,28128,28128,1,21,1300,51,1351
20200405,MN,935,25842,None,106,202,48,77,None,None,451,29,202,26777,26777,26777,5,22,1284,70,1354
20200404,MN,865,24558,None,95,180,42,69,None,None,440,24,180,25423,25423,25423,2,24,1120,76,1196
20200403,MN,789,23438,None,86,156,40,40,None,None,None,22,156,24227,24227,24227,4,18,1786,47,1833
20200402,MN,742,21652,None,75,138,38,38,None,None,None,18,138,22394,22394,22394,1,16,1150,53,1203
20200401,MN,689,20502,None,54,122,27,27,None,None,None,17,122,21191,21191,21191,5,10,1351,60,1411
20200331,MN,629,19151,None,56,112,26,26,None,None,None,12,112,19780,19780,19780,2,20,905,53,958
20200330,MN,576,18246,None,56,92,24,24,None,None,None,10,92,18822,18822,18822,1,17,1092,73,1165
20200329,MN,503,17154,None,39,75,None,17,None,None,252,9,75,17657,17657,17657,4,18,1466,62,1528
20200328,MN,441,15688,None,30,57,None,17,None,None,220,5,57,16129,16129,16129,1,6,2083,43,2126
20200327,MN,398,13605,None,34,51,None,17,None,None,180,4,51,14003,14003,14003,2,10,1001,52,1053
20200326,MN,346,12604,None,31,41,None,None,None,None,None,2,41,12950,12950,12950,1,6,1416,59,1475
20200325,MN,287,11188,None,26,35,None,None,None,None,122,1,35,11475,11475,11475,0,14,5638,25,5663
20200324,MN,262,5550,None,None,21,None,None,None,None,None,1,21,5812,5812,5812,0,4,1039,27,1066
20200323,MN,235,4511,None,None,17,None,None,None,None,None,1,17,4746,4746,4746,0,5,0,66,66
20200322,MN,169,4511,None,None,12,None,None,None,None,None,1,12,4680,4680,4680,0,12,559,31,590
20200321,MN,138,3952,None,None,None,None,None,None,None,None,1,None,4090,4090,4090,1,0,211,23,234
20200320,MN,115,3741,,,,,,,,,,,3856,3856,3856,0,0,792,26,818
20200319,MN,89,2949,,,,,,,,,,,3038,3038,3038,0,0,264,12,276
20200318,MN,77,2685,,,,,,,,,,,2762,2762,2762,0,0,409,17,426
20200317,MN,60,2276,,,,,,,,,,,2336,2336,2336,0,0,437,6,443
20200316,MN,54,1839,,,,,,,,,,,1893,1893,1893,0,0,452,19,471
20200315,MN,35,1387,,,,,,,,,,,1422,1422,1422,0,0,540,14,554
20200314,MN,21,847,,,,,,,,,,,868,868,868,0,0,306,7,313
20200313,MN,14,541,,,,,,,,,,,555,555,555,0,0,234,5,239
20200312,MN,9,307,,,,,,,,,,,316,316,316,0,0,90,4,94
20200311,MN,5,217,,,,,,,,,,,222,222,222,0,0,85,2,87
20200310,MN,3,132,,,,,,,,,,,135,135,135,0,0,52,1,53
20200309,MN,2,80,,,,,,,,,,,82,82,82,0,0,32,1,33
20200308,MN,1,48,,,,,,,,,,,49,49,49,0,0,0,0,0
20200307,MN,1,48,,,,,,,,,,,49,49,49,0,0,12,1,13
20200306,MN,0,36,,,,,,,,,,,36,36,36,None,None,None,None,None
