date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,MO,6137,52019,None,1001,None,None,None,None,None,None,208,None,58156,58156,58156,19,0,840,196,1036
20200421,MO,5941,51179,None,1001,None,None,None,None,None,None,189,None,57120,57120,57120,12,0,973,134,1107
20200420,MO,5807,50206,None,873,None,None,None,None,None,None,177,None,56013,56013,56013,1,0,1964,140,2104
20200419,MO,5667,48242,None,875,None,None,None,None,None,None,176,None,53909,53909,53909,1,0,0,150,150
20200418,MO,5517,48242,None,875,None,None,None,None,None,None,175,None,53759,53759,53759,10,0,1808,234,2042
20200417,MO,5283,46434,None,1043,None,None,None,None,None,None,165,None,51717,51717,51717,13,0,897,172,1069
20200416,MO,5111,45537,None,1043,None,None,None,None,None,None,152,None,50648,50648,50648,5,0,1420,216,1636
20200415,MO,4895,44117,None,1024,None,None,None,None,None,None,147,None,49012,49012,49012,14,0,825,209,1034
20200414,MO,4686,43292,None,1041,None,None,None,None,None,None,133,None,47978,47978,47978,19,0,2252,298,2550
20200413,MO,4388,41040,None,988,None,None,None,None,None,None,114,None,45428,45428,45428,4,0,0,228,228
20200412,MO,4160,41040,None,988,None,None,None,None,None,None,110,None,45200,45200,45200,1,0,1892,136,2028
20200411,MO,4024,39148,None,506,None,None,None,None,None,None,109,None,43172,43172,43172,13,0,2207,225,2432
20200410,MO,3799,36941,None,568,None,None,None,None,None,None,96,None,40740,40740,40740,19,0,1986,260,2246
20200409,MO,3539,34955,None,568,None,None,None,None,None,None,77,None,38494,38494,38494,19,0,4172,212,4384
20200408,MO,3327,30783,None,519,None,None,None,None,None,None,58,None,34110,34110,34110,5,0,1851,290,2141
20200407,MO,3037,28932,None,508,None,None,None,None,None,None,53,None,31969,31969,31969,14,0,1819,315,2134
20200406,MO,2722,27113,None,439,None,None,None,None,None,None,39,None,29835,29835,29835,5,0,2231,355,2586
20200405,MO,2367,24882,None,424,None,None,None,None,None,None,34,None,27249,27249,27249,10,0,2268,76,2344
20200404,MO,2291,22614,None,413,None,None,None,None,None,None,24,None,24905,24905,24905,5,0,3257,178,3435
20200403,MO,2113,19357,None,None,None,None,None,None,None,None,19,None,21470,21470,21470,0,0,1508,279,1787
20200402,MO,1834,17849,None,None,None,None,None,None,None,None,19,None,19683,19683,19683,1,0,2003,253,2256
20200401,MO,1581,15846,None,None,None,None,None,None,None,None,18,None,17427,17427,17427,4,0,1232,254,1486
20200331,MO,1327,14614,None,None,None,None,None,None,None,None,14,None,15941,15941,15941,1,0,1410,296,1706
20200330,MO,1031,13204,None,None,None,None,None,None,None,None,13,None,14235,14235,14235,3,0,1657,193,1850
20200329,MO,838,11547,None,None,None,None,None,None,None,None,10,None,12385,12385,12385,0,0,1465,0,1465
20200328,MO,838,10082,None,None,None,None,None,None,None,None,10,None,10920,10920,10920,2,0,9713,169,9882
20200327,MO,669,369,None,None,None,None,None,None,None,None,8,None,1038,1038,1038,0,0,0,167,167
20200326,MO,502,369,None,None,None,None,None,None,None,None,8,None,871,871,871,0,0,0,146,146
20200325,MO,356,369,None,None,None,None,None,None,None,None,8,None,725,725,725,5,0,0,173,173
20200324,MO,183,369,None,None,None,None,None,None,None,None,3,None,552,552,552,0,0,0,0,0
20200323,MO,183,369,None,None,None,None,None,None,None,None,3,None,552,552,552,0,0,0,93,93
20200322,MO,90,369,None,None,None,None,None,None,None,None,3,None,459,459,459,0,0,0,17,17
20200321,MO,73,369,None,None,None,None,None,None,None,None,3,None,442,442,442,2,0,0,26,26
20200320,MO,47,369,None,None,None,None,None,None,None,None,1,None,416,416,416,0,0,61,23,84
20200319,MO,24,308,None,None,None,None,None,None,None,None,1,None,332,332,332,1,0,55,11,66
20200318,MO,13,253,None,None,None,None,None,None,None,None,0,None,266,266,266,0,0,46,5,51
20200317,MO,8,207,None,None,None,None,None,None,None,None,0,None,215,215,215,0,0,43,2,45
20200316,MO,6,164,None,None,None,None,None,None,None,None,0,None,170,170,170,0,0,42,1,43
20200315,MO,5,122,None,None,None,None,None,None,None,None,0,None,127,127,127,0,0,32,1,33
20200314,MO,4,90,None,None,None,None,None,None,None,None,0,None,94,94,94,0,0,19,2,21
20200313,MO,2,71,,,,,,,,,,,73,73,73,0,0,7,1,8
20200312,MO,1,64,,,,,,,,,,,65,65,65,0,0,64,0,64
20200311,MO,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200310,MO,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200309,MO,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200308,MO,1,,,,,,,,,,,,1,1,1,0,0,0,1,1
20200307,MO,0,,,,,,,,,,,,0,0,0,None,None,None,None,None
