date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,MP,14,42,4,None,None,None,None,None,None,9,2,None,60,56,56,0,0,0,1,1
20200417,MP,13,42,4,None,None,None,None,None,None,None,2,None,59,55,55,0,0,15,0,15
20200416,MP,13,27,7,None,None,None,None,None,None,None,2,None,47,40,40,0,0,0,0,0
20200415,MP,13,27,7,None,None,None,None,None,None,None,2,None,47,40,40,0,0,0,0,0
20200414,MP,13,27,7,None,None,None,None,None,None,None,2,None,47,40,40,0,0,0,2,2
20200413,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200412,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200411,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200410,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200409,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200408,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,12,3,15
20200407,MP,8,15,None,None,None,None,None,None,None,None,2,None,23,23,23,1,0,2,0,2
20200406,MP,8,13,10,None,None,None,None,None,None,None,1,None,31,21,21,0,0,0,0,0
20200405,MP,8,13,10,None,None,None,None,None,None,None,1,None,31,21,21,0,0,0,0,0
20200404,MP,8,13,10,None,None,None,None,None,None,None,1,None,31,21,21,0,0,0,0,0
20200403,MP,8,13,10,None,None,None,None,None,None,None,1,None,31,21,21,0,0,0,0,0
20200402,MP,8,13,12,None,None,None,None,None,None,None,1,None,33,21,21,1,0,13,2,15
20200401,MP,6,,,,,,,,,,,,6,6,6,0,0,0,4,4
20200331,MP,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200330,MP,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200329,MP,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200328,MP,2,,,,,,,,,,,,2,2,2,0,0,0,2,2
20200327,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200326,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200325,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200324,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200323,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200322,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200321,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200320,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200319,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200318,MP,0,None,None,None,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0
20200317,MP,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
20200316,MP,0,,,,,,,,,,,,0,0,0,None,None,None,None,None
