date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,MT,439,11144,None,13,59,None,None,None,None,296,14,59,11583,11583,11583,2,0,340,2,342
20200421,MT,437,10804,None,14,59,None,None,None,None,273,12,59,11241,11241,11241,2,2,186,4,190
20200420,MT,433,10618,None,19,57,None,None,None,None,243,10,57,11051,11051,11051,0,2,153,0,153
20200419,MT,433,10465,None,18,55,None,None,None,None,243,10,55,10898,10898,10898,0,0,322,7,329
20200418,MT,426,10143,None,17,55,None,None,None,None,234,10,55,10569,10569,10569,2,1,321,4,325
20200417,MT,422,9822,None,21,54,None,None,None,None,233,8,54,10244,10244,10244,1,2,301,7,308
20200416,MT,415,9521,None,21,52,None,None,None,None,218,7,52,9936,9936,9936,0,1,342,11,353
20200415,MT,404,9179,None,21,51,None,None,None,None,209,7,51,9583,9583,9583,0,1,344,5,349
20200414,MT,399,8835,None,24,50,None,None,None,None,197,7,50,9234,9234,9234,0,3,131,5,136
20200413,MT,394,8704,None,21,47,None,None,None,None,171,7,47,9098,9098,9098,1,0,178,7,185
20200412,MT,387,8526,None,22,47,None,None,None,None,169,6,47,8913,8913,8913,0,1,322,10,332
20200411,MT,377,8204,None,21,46,None,None,None,None,169,6,46,8581,8581,8581,0,5,272,12,284
20200410,MT,365,7932,None,29,41,None,None,None,None,165,6,41,8297,8297,8297,0,5,426,11,437
20200409,MT,354,7506,None,13,36,None,None,None,None,157,6,36,7860,7860,7860,0,5,440,22,462
20200408,MT,332,7066,None,None,31,None,None,None,None,135,6,31,7398,7398,7398,0,3,400,13,413
20200407,MT,319,6666,None,None,28,None,None,None,None,None,6,28,6985,6985,6985,0,4,175,20,195
20200406,MT,299,6491,None,None,24,None,None,None,None,None,6,24,6790,6790,6790,0,0,174,13,187
20200405,MT,286,6317,None,None,24,None,None,None,None,None,6,24,6603,6603,6603,1,0,405,21,426
20200404,MT,265,5912,None,None,24,None,None,None,None,None,5,24,6177,6177,6177,0,0,579,22,601
20200403,MT,243,5333,None,None,24,None,None,None,None,None,5,24,5576,5576,5576,0,4,240,16,256
20200402,MT,227,5093,None,None,20,None,None,None,None,None,5,20,5320,5320,5320,0,3,383,19,402
20200401,MT,208,4710,None,None,17,None,None,None,None,None,5,17,4918,4918,4918,1,3,476,24,500
20200331,MT,184,4234,None,None,14,None,None,None,None,None,4,14,4418,4418,4418,0,4,91,13,104
20200330,MT,171,4143,None,None,10,None,None,None,None,None,4,10,4314,4314,4314,3,2,0,17,17
20200329,MT,154,4143,None,None,8,None,None,None,None,None,1,8,4297,4297,4297,0,1,887,25,912
20200328,MT,129,3256,None,None,7,None,None,None,None,None,1,7,3385,3385,3385,1,0,666,21,687
20200327,MT,108,2590,None,None,7,,,,,,,7,2698,2698,2698,0,6,462,37,499
20200326,MT,71,2128,None,None,1,,,,,,,1,2199,2199,2199,0,1,180,18,198
20200325,MT,53,1948,,,,,,,,,,,2001,2001,2001,0,0,305,7,312
20200324,MT,46,1643,,,,,,,,,,,1689,1689,1689,0,0,497,12,509
20200323,MT,34,1146,,,,,,,,,,,1180,1180,1180,0,0,0,3,3
20200322,MT,31,1146,,,,,,,,,,,1177,1177,1177,0,0,0,11,11
20200321,MT,20,1146,,,,,,,,,,,1166,1166,1166,0,0,215,4,219
20200320,MT,16,931,,,,,,,,,,,947,947,947,0,0,170,4,174
20200319,MT,12,761,,,,,,,,,,,773,773,773,0,0,262,2,264
20200318,MT,10,499,,,,,,,,,,,509,509,509,0,0,196,2,198
20200317,MT,8,303,,,,,,,,,,,311,311,311,0,0,105,1,106
20200316,MT,7,198,,,,,,,,,,,205,205,205,0,0,95,0,95
20200315,MT,7,103,57,,,,,,,,,,167,110,110,0,0,0,2,2
20200314,MT,5,103,,,,,,,,,,,108,108,108,0,0,48,4,52
20200313,MT,1,55,,,,,,,,,,,56,56,56,0,0,21,0,21
20200312,MT,1,34,,,,,,,,,,,35,35,35,0,0,13,1,14
20200311,MT,0,21,,,,,,,,,,,21,21,21,0,0,6,0,6
20200310,MT,0,15,,,,,,,,,,,15,15,15,0,0,4,0,4
20200309,MT,0,11,,,,,,,,,,,11,11,11,0,0,0,0,0
20200308,MT,0,11,,,,,,,,,,,11,11,11,0,0,0,0,0
20200307,MT,0,11,,,,,,,,,,,11,11,11,None,None,None,None,None
