date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,NC,6140,70071,None,388,None,None,None,None,None,None,164,None,76211,76211,76211,12,0,2949,281,3230
20200417,NC,5859,67122,None,429,None,None,None,None,None,None,152,None,72981,72981,72981,21,0,1670,394,2064
20200416,NC,5465,65452,None,452,None,None,None,None,None,None,131,None,70917,70917,70917,14,0,2748,342,3090
20200415,NC,5123,62704,None,431,None,None,None,None,None,None,117,None,67827,67827,67827,9,0,2689,99,2788
20200414,NC,5024,60015,None,418,None,None,None,None,None,None,108,None,65039,65039,65039,22,0,1443,208,1651
20200413,NC,4816,58572,None,313,None,None,None,None,None,None,86,None,63388,63388,63388,5,0,953,296,1249
20200412,NC,4520,57619,None,331,None,None,None,None,None,None,81,None,62139,62139,62139,1,0,1538,208,1746
20200411,NC,4312,56081,None,362,None,None,None,None,None,None,80,None,60393,60393,60393,6,0,2344,404,2748
20200410,NC,3908,53737,None,423,None,None,None,None,None,None,74,None,57645,57645,57645,9,0,9579,257,9836
20200409,NC,3651,44158,None,398,None,None,None,None,None,None,65,None,47809,47809,47809,12,0,4597,225,4822
20200408,NC,3426,39561,None,386,None,None,None,None,None,None,53,None,42987,42987,42987,7,0,1700,205,1905
20200407,NC,3221,37861,None,354,None,None,None,None,None,None,46,None,41082,41082,41082,13,0,5,351,356
20200406,NC,2870,37856,None,270,None,None,None,None,None,None,33,None,40726,40726,40726,2,0,396,285,681
20200405,NC,2585,37460,None,261,None,None,None,None,None,None,31,None,40045,40045,40045,7,0,1089,183,1272
20200404,NC,2402,36371,None,271,None,None,None,None,None,None,24,None,38773,38773,38773,5,0,6866,309,7175
20200403,NC,2093,29505,None,184,None,None,None,None,None,None,19,None,31598,31598,31598,3,0,2683,236,2919
20200402,NC,1857,26822,None,184,None,None,None,None,None,None,16,None,28679,28679,28679,6,0,2163,273,2436
20200401,NC,1584,24659,None,204,None,None,None,None,None,None,10,None,26243,26243,26243,2,0,3051,86,3137
20200331,NC,1498,21608,None,157,None,None,None,None,None,None,8,None,23106,23106,23106,2,0,2051,191,2242
20200330,NC,1307,19557,None,137,None,None,None,None,None,None,6,None,20864,20864,20864,2,0,1652,267,1919
20200329,NC,1040,17905,None,91,None,None,None,None,None,None,4,None,18945,18945,18945,0,0,1313,105,1418
20200328,NC,935,16592,None,87,None,None,None,None,None,None,4,None,17527,17527,17527,1,0,2219,172,2391
20200327,NC,763,14373,None,77,None,None,None,None,None,None,3,None,15136,15136,15136,1,0,2099,127,2226
20200326,NC,636,12274,None,29,None,None,None,None,None,None,2,None,12910,12910,12910,1,0,2289,132,2421
20200325,NC,504,9985,None,29,None,None,None,None,None,None,1,None,10489,10489,10489,1,0,1844,106,1950
20200324,NC,398,8141,None,None,None,None,None,None,None,None,0,None,8539,8539,8539,0,0,0,101,101
20200323,NC,297,8141,None,None,None,None,None,None,None,None,0,None,8438,8438,8438,0,0,1958,42,2000
20200322,NC,255,6183,None,None,None,None,None,None,None,None,0,None,6438,6438,6438,0,0,1091,71,1162
20200321,NC,184,5092,None,None,None,None,None,None,None,None,0,None,5276,5276,5276,0,0,1996,47,2043
20200320,NC,137,3096,None,None,None,None,None,None,None,None,0,None,3233,3233,3233,0,0,688,40,728
20200319,NC,97,2408,None,None,None,None,None,None,None,None,0,None,2505,2505,2505,0,0,621,34,655
20200318,NC,63,1787,None,None,None,None,None,None,None,None,0,None,1850,1850,1850,0,0,1313,23,1336
20200317,NC,40,474,None,None,None,None,None,None,None,None,0,None,514,514,514,0,0,178,7,185
20200316,NC,33,296,151,None,None,None,None,None,None,None,0,None,480,329,329,0,0,69,1,70
20200315,NC,32,227,151,,,,,,,,,,410,259,259,0,0,90,9,99
20200314,NC,23,137,,,,,,,,,,,160,160,160,0,0,51,8,59
20200313,NC,15,86,,,,,,,,,,,101,101,101,0,0,26,3,29
20200312,NC,12,60,,,,,,,,,,,72,72,72,0,0,60,5,65
20200311,NC,7,,,,,,,,,,,,7,7,7,0,0,0,0,0
20200310,NC,7,,,,,,,,,,,,7,7,7,0,0,0,5,5
20200309,NC,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200308,NC,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200307,NC,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200306,NC,2,,,,,,,,,,,,2,2,2,0,0,0,1,1
20200305,NC,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200304,NC,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
