date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,ND,679,14910,None,23,62,None,None,None,None,229,14,62,15589,15589,15589,1,8,567,35,602
20200421,ND,644,14343,None,17,54,None,None,None,None,214,13,54,14987,14987,14987,0,1,223,17,240
20200420,ND,627,14120,None,17,53,None,None,None,None,189,13,53,14747,14747,14747,3,2,1075,42,1117
20200419,ND,585,13045,None,15,51,None,None,None,None,189,10,51,13630,13630,13630,1,4,610,57,667
20200418,ND,528,12435,None,13,47,None,None,None,None,183,9,47,12963,12963,12963,0,0,532,89,621
20200417,ND,439,11903,None,16,47,None,None,None,None,172,9,47,12342,12342,12342,0,2,592,46,638
20200416,ND,393,11311,None,14,45,None,None,None,None,163,9,45,11704,11704,11704,0,1,359,28,387
20200415,ND,365,10952,None,13,44,None,None,None,None,142,9,44,11317,11317,11317,0,2,377,24,401
20200414,ND,341,10575,None,13,42,None,None,None,None,138,9,42,10916,10916,10916,1,2,125,10,135
20200413,ND,331,10450,None,13,40,None,None,None,None,127,8,40,10781,10781,10781,0,1,408,23,431
20200412,ND,308,10042,None,12,39,None,None,None,None,121,8,39,10350,10350,10350,1,3,255,15,270
20200411,ND,293,9787,None,10,36,None,None,None,None,119,7,36,10080,10080,10080,1,0,457,15,472
20200410,ND,278,9330,None,13,36,None,None,None,None,105,6,36,9608,9608,9608,1,2,609,9,618
20200409,ND,269,8721,None,14,34,None,None,None,None,101,5,34,8990,8990,8990,1,0,420,18,438
20200408,ND,251,8301,None,16,34,None,None,None,None,98,4,34,8552,8552,8552,0,1,835,14,849
20200407,ND,237,7466,None,18,33,None,None,None,None,82,4,33,7703,7703,7703,1,1,478,12,490
20200406,ND,225,6988,None,19,32,None,None,None,None,74,3,32,7213,7213,7213,0,1,408,18,426
20200405,ND,207,6580,None,20,31,None,None,None,None,63,3,31,6787,6787,6787,0,1,559,21,580
20200404,ND,186,6021,None,None,30,None,None,None,None,63,3,30,6207,6207,6207,0,1,396,13,409
20200403,ND,173,5625,None,None,29,None,None,None,None,55,3,29,5798,5798,5798,0,1,804,14,818
20200402,ND,159,4821,None,None,28,None,None,None,None,43,3,28,4980,4980,4980,0,5,470,17,487
20200401,ND,142,4351,None,None,23,None,None,None,None,34,3,23,4493,4493,4493,0,2,220,16,236
20200331,ND,126,4131,None,None,21,None,None,None,None,30,3,21,4257,4257,4257,1,2,403,17,420
20200330,ND,109,3728,None,None,19,None,None,None,None,19,2,19,3837,3837,3837,1,2,373,11,384
20200329,ND,98,3355,None,None,17,None,None,None,None,18,1,17,3453,3453,3453,0,1,546,15,561
20200328,ND,83,2809,None,None,16,None,None,None,None,16,1,16,2892,2892,2892,1,3,382,18,400
20200327,ND,65,2427,None,None,13,None,None,None,None,15,0,13,2492,2492,2492,0,3,388,13,401
20200326,ND,52,2039,None,None,10,None,None,None,None,None,0,10,2091,2091,2091,0,2,305,13,318
20200325,ND,39,1734,None,None,8,None,None,None,None,None,0,8,1773,1773,1773,0,3,280,5,285
20200324,ND,34,1454,None,None,5,None,None,None,None,None,0,5,1488,1488,1488,0,1,101,4,105
20200323,ND,30,1353,None,None,4,None,None,None,None,None,0,4,1383,1383,1383,0,1,93,2,95
20200322,ND,28,1260,None,None,3,None,None,None,None,None,0,3,1288,1288,1288,0,0,119,0,119
20200321,ND,28,1141,None,None,3,None,None,None,None,None,0,3,1169,1169,1169,0,3,341,8,349
20200320,ND,20,800,None,None,None,None,None,None,None,None,0,None,820,820,820,0,0,307,5,312
20200319,ND,15,493,None,None,None,None,None,None,None,None,0,None,508,508,508,0,0,225,9,234
20200318,ND,6,268,None,None,None,None,None,None,None,None,0,None,274,274,274,0,0,48,3,51
20200317,ND,3,220,0,None,None,None,None,None,None,None,0,None,223,223,223,0,0,97,2,99
20200316,ND,1,123,0,None,None,None,None,None,None,None,0,None,124,124,124,0,0,28,0,28
20200315,ND,1,95,4,None,None,None,None,None,None,None,0,None,100,96,96,0,0,41,0,41
20200314,ND,1,54,14,None,None,None,None,None,None,None,0,None,69,55,55,0,0,15,0,15
20200313,ND,1,39,12,None,None,None,None,None,None,None,0,None,52,40,40,0,0,27,0,27
20200312,ND,1,12,14,,,,,,,,,,27,13,13,0,0,5,1,6
20200311,ND,0,7,6,,,,,,,,,,13,7,7,0,0,1,0,1
20200310,ND,0,6,2,,,,,,,,,,8,6,6,0,0,6,0,6
20200309,ND,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0
20200308,ND,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0
20200307,ND,0,0,,,,,,,,,,,0,0,0,None,None,None,None,None
