date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,NE,1138,12539,None,None,None,None,None,None,None,None,24,None,13677,13677,13677,0,0,501,72,573
20200417,NE,1066,12038,None,None,None,None,None,None,None,None,24,None,13104,13104,13104,3,0,696,114,810
20200416,NE,952,11342,None,None,None,None,None,None,None,None,21,None,12294,12294,12294,1,0,514,51,565
20200415,NE,901,10828,None,None,None,None,None,None,None,None,20,None,11729,11729,11729,2,0,342,30,372
20200414,NE,871,10486,None,None,None,None,None,None,None,None,18,None,11357,11357,11357,1,0,328,57,385
20200413,NE,814,10158,None,None,None,None,None,None,None,None,17,None,10972,10972,10972,0,0,258,23,281
20200412,NE,791,9900,None,None,None,None,None,None,None,None,17,None,10691,10691,10691,0,0,615,91,706
20200411,NE,700,9285,None,None,None,None,None,None,None,None,17,None,9985,9985,9985,2,0,566,65,631
20200410,NE,635,8719,None,None,None,None,None,None,None,None,15,None,9354,9354,9354,1,0,603,68,671
20200409,NE,567,8116,None,None,None,None,None,None,None,None,14,None,8683,8683,8683,2,0,674,48,722
20200408,NE,519,7442,None,None,None,None,None,None,None,None,12,None,7961,7961,7961,2,0,631,72,703
20200407,NE,447,6811,None,None,None,None,None,None,None,None,10,None,7258,7258,7258,2,0,433,38,471
20200406,NE,409,6378,8,None,None,None,None,None,None,None,8,None,6795,6787,6787,0,0,820,46,866
20200405,NE,363,5558,12,None,None,None,None,None,None,None,8,None,5933,5921,5921,2,0,500,42,542
20200404,NE,321,5058,10,None,None,None,None,None,None,None,6,None,5389,5379,5379,0,0,571,42,613
20200403,NE,279,4487,11,None,None,None,None,None,None,None,6,None,4777,4766,4766,1,0,509,33,542
20200402,NE,246,3978,11,None,None,None,None,None,None,None,5,None,4235,4224,4224,1,0,503,36,539
20200401,NE,210,3475,8,None,None,None,None,None,None,None,4,None,3693,3685,3685,1,0,544,38,582
20200331,NE,172,2931,8,None,None,None,None,None,None,None,3,None,3111,3103,3103,1,0,347,27,374
20200330,NE,145,2584,5,None,None,None,None,None,None,None,2,None,2734,2729,2729,0,0,616,37,653
20200329,NE,108,1968,4,None,None,None,None,None,None,None,2,None,2080,2076,2076,0,0,64,12,76
20200328,NE,96,1904,None,None,None,None,None,None,None,None,2,None,2000,2000,2000,2,0,143,11,154
20200327,NE,85,1761,None,None,None,None,None,None,None,None,0,None,1846,1846,1846,0,0,177,12,189
20200326,NE,73,1584,None,None,None,None,None,None,None,None,0,None,1657,1657,1657,0,0,280,12,292
20200325,NE,61,1304,None,None,None,None,None,None,None,None,0,None,1365,1365,1365,0,0,329,9,338
20200324,NE,52,975,None,None,None,None,None,None,None,None,0,None,1027,1027,1027,0,0,619,2,621
20200323,NE,50,356,None,None,None,None,None,None,None,None,0,None,406,406,406,0,0,0,2,2
20200322,NE,48,356,None,None,None,None,None,None,None,None,0,None,404,404,404,0,0,0,10,10
20200321,NE,38,356,None,None,None,None,None,None,None,None,0,None,394,394,394,0,0,116,6,122
20200320,NE,32,240,None,None,None,None,None,None,None,None,0,None,272,272,272,0,0,0,5,5
20200319,NE,27,240,None,None,None,None,None,None,None,None,0,None,267,267,267,0,0,34,3,37
20200318,NE,24,206,,,,,,,,,,,230,230,230,0,0,0,3,3
20200317,NE,21,206,,,,,,,,,,,227,227,227,0,0,36,3,39
20200316,NE,18,170,,,,,,,,,,,188,188,188,0,0,90,1,91
20200315,NE,17,80,33,,,,,,,,,,130,97,97,0,0,0,3,3
20200314,NE,14,80,33,,,,,,,,,,127,94,94,0,0,0,1,1
20200313,NE,13,80,33,,,,,,,,,,126,93,93,0,0,0,3,3
20200312,NE,10,80,33,,,,,,,,,,123,90,90,0,0,33,5,38
20200311,NE,5,47,16,,,,,,,,,,68,52,52,0,0,0,2,2
20200310,NE,3,47,16,,,,,,,,,,66,50,50,0,0,11,0,11
20200309,NE,3,36,9,,,,,,,,,,48,39,39,0,0,19,2,21
20200308,NE,1,17,5,,,,,,,,,,23,18,18,0,0,0,0,0
20200307,NE,1,17,5,,,,,,,,,,23,18,18,0,0,0,1,1
20200306,NE,0,17,5,,,,,,,,,,22,17,17,0,0,0,0,0
20200305,NE,0,17,5,,,,,,,,,,22,17,17,None,None,None,None,None
