date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,NH,1287,11565,174,86,190,None,None,None,None,468,37,190,13026,12852,12852,0,0,144,0,144
20200417,NH,1287,11421,174,74,190,None,None,None,None,455,37,190,12882,12708,12708,5,12,394,148,542
20200416,NH,1139,11027,121,70,178,None,None,None,None,365,32,178,12287,12166,12166,0,0,0,0,0
20200415,NH,1139,11027,121,70,178,None,None,None,None,365,32,178,12287,12166,12166,9,26,437,119,556
20200414,NH,1020,10590,25,72,152,None,None,None,None,249,23,152,11635,11610,11610,0,0,368,35,403
20200413,NH,985,10222,125,None,152,None,None,None,None,239,23,152,11332,11207,11207,0,6,226,56,282
20200412,NH,929,9996,119,None,146,None,None,None,None,236,23,146,11044,10925,10925,1,12,388,44,432
20200411,NH,885,9608,93,None,134,None,None,None,None,234,22,134,10586,10493,10493,1,10,469,66,535
20200410,NH,819,9139,155,None,124,None,None,None,None,234,21,124,10113,9958,9958,3,6,376,31,407
20200409,NH,788,8763,143,None,118,None,None,None,None,227,18,118,9694,9551,9551,0,0,374,0,374
20200408,NH,788,8389,89,None,118,None,None,None,None,211,18,118,9266,9177,9177,9,15,370,73,443
20200407,NH,715,8019,49,None,103,None,None,None,None,151,9,103,8783,8734,8734,0,11,318,46,364
20200406,NH,669,7701,101,None,92,None,None,None,None,147,9,92,8471,8370,8370,0,6,290,48,338
20200405,NH,621,7411,93,None,86,None,None,None,None,146,9,86,8125,8032,8032,2,6,446,81,527
20200404,NH,540,6965,94,None,80,None,None,None,None,144,7,80,7599,7505,7505,2,7,390,61,451
20200403,NH,479,6575,114,None,73,None,None,None,None,101,5,73,7168,7054,7054,1,15,497,64,561
20200402,NH,415,6078,126,None,58,None,None,None,None,91,4,58,6619,6493,6493,0,2,93,0,93
20200401,NH,415,5985,97,None,56,None,None,None,None,56,4,56,6497,6400,6400,1,11,572,101,673
20200331,NH,314,5413,65,None,45,None,None,None,None,None,3,45,5792,5727,5727,0,0,27,0,27
20200330,NH,314,5386,144,None,45,None,None,None,None,None,3,45,5844,5700,5700,1,12,862,100,962
20200329,NH,214,4524,285,None,33,None,None,None,None,None,2,33,5023,4738,4738,0,3,868,27,895
20200328,NH,187,3656,296,None,30,None,None,None,None,None,2,30,4139,3843,3843,1,5,261,29,290
20200327,NH,158,3395,592,None,25,None,None,None,None,None,1,25,4145,3553,3553,0,6,394,21,415
20200326,NH,137,3001,712,None,19,None,None,None,None,None,1,19,3850,3138,3138,0,6,645,29,674
20200325,NH,108,2356,804,None,13,None,None,None,None,None,1,13,3268,2464,2464,0,2,909,7,916
20200324,NH,101,1447,869,None,11,None,None,None,None,None,1,11,2417,1548,1548,1,11,73,23,96
20200323,NH,78,1374,889,,,,,,,,,,2341,1452,1452,0,0,186,13,199
20200322,NH,65,1188,959,,,,,,,,,,2212,1253,1253,0,0,215,10,225
20200321,NH,55,973,942,,,,,,,,,,1970,1028,1028,0,0,228,11,239
20200320,NH,44,745,631,,,,,,,,,,1420,789,789,0,0,124,5,129
20200319,NH,39,621,231,,,,,,,,,,891,660,660,0,0,108,13,121
20200318,NH,26,513,208,,,,,,,,,,747,539,539,0,0,158,9,167
20200317,NH,17,355,195,,,,,,,,,,567,372,372,0,0,84,4,88
20200316,NH,13,271,95,,,,,,,,,,379,284,284,0,0,0,0,0
20200315,NH,13,271,95,,,,,,,,,,379,284,284,0,0,59,6,65
20200314,NH,7,212,31,,,,,,,,,,250,219,219,0,0,118,1,119
20200313,NH,6,94,21,,,,,,,,,,121,100,100,0,0,0,0,0
20200312,NH,6,94,21,,,,,,,,,,121,100,100,0,0,56,2,58
20200311,NH,4,38,5,,,,,,,,,,47,42,42,0,0,0,0,0
20200310,NH,4,38,5,,,,,,,,,,47,42,42,0,0,0,0,0
20200309,NH,4,38,5,,,,,,,,,,47,42,42,0,0,0,0,0
20200308,NH,4,38,5,,,,,,,,,,47,42,42,0,0,18,2,20
20200307,NH,2,20,3,,,,,,,,,,25,22,22,0,0,0,0,0
20200306,NH,2,20,3,,,,,,,,,,25,22,22,0,0,4,0,4
20200305,NH,2,16,4,,,,,,,,,,22,18,18,0,0,6,0,6
20200304,NH,2,10,7,,,,,,,,,,19,12,12,None,None,None,None,None
