date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,NJ,81420,81116,None,7718,None,2024,None,1641,None,None,4070,None,162536,162536,162536,230,0,2134,2953,5087
20200417,NJ,78467,78982,None,8011,None,1961,None,1594,None,None,3840,None,157449,157449,157449,322,0,2469,3150,5619
20200416,NJ,75317,76513,None,8224,None,2014,None,1645,None,None,3518,None,151830,151830,151830,362,0,3522,4287,7809
20200415,NJ,71030,72991,None,8270,None,1980,None,1705,None,None,3156,None,144021,144021,144021,351,0,2041,2206,4247
20200414,NJ,68824,70950,None,8185,None,2051,None,1626,None,None,2805,None,139774,139774,139774,362,0,6065,4240,10305
20200413,NJ,64584,64885,None,7781,None,1886,None,1611,None,None,2443,None,129469,129469,129469,93,0,0,2734,2734
20200412,NJ,61850,64885,None,7604,None,1914,None,1644,None,None,2350,None,126735,126735,126735,167,0,2843,3699,6542
20200411,NJ,58151,62042,None,7618,None,1746,None,1650,None,None,2183,None,120193,120193,120193,251,0,3107,3563,6670
20200410,NJ,54588,58935,None,7570,None,1679,None,1663,None,682,1932,None,113523,113523,113523,232,0,2770,3561,6331
20200409,NJ,51027,56165,None,7363,None,1523,None,1551,None,None,1700,None,107192,107192,107192,196,0,3186,3590,6776
20200408,NJ,47437,52979,None,7026,None,1617,None,1576,None,None,1504,None,100416,100416,100416,272,0,2421,3021,5442
20200407,NJ,44416,50558,None,7017,None,1651,None,1540,None,None,1232,None,94974,94974,94974,229,0,2616,3326,5942
20200406,NJ,41090,47942,None,6390,None,None,None,1263,None,None,1003,None,89032,89032,89032,86,0,3281,3585,6866
20200405,NJ,37505,44661,None,4000,None,None,None,None,None,None,917,None,82166,82166,82166,71,0,3429,3381,6810
20200404,NJ,34124,41232,None,4000,None,None,None,None,None,None,846,None,75356,75356,75356,200,0,3624,4229,7853
20200403,NJ,29895,37608,None,3016,None,None,None,None,None,None,646,None,67503,67503,67503,109,0,4088,4305,8393
20200402,NJ,25590,33520,None,2000,None,None,None,None,None,None,537,None,59110,59110,59110,182,0,3133,3335,6468
20200401,NJ,22255,30387,None,2000,None,None,None,None,None,None,355,None,52642,52642,52642,88,0,3310,3559,6869
20200331,NJ,18696,27077,None,2000,None,None,None,None,None,None,267,None,45773,45773,45773,69,0,1853,2060,3913
20200330,NJ,16636,25224,None,2000,None,None,None,None,None,None,198,None,41860,41860,41860,37,0,3008,3250,6258
20200329,NJ,13386,22216,None,2000,None,None,None,None,None,None,161,None,35602,35602,35602,21,0,2830,2262,5092
20200328,NJ,11124,19386,None,2000,None,None,None,None,None,None,140,None,30510,30510,30510,32,0,2839,2299,5138
20200327,NJ,8825,16547,None,2000,None,None,None,None,None,None,108,None,25372,25372,25372,27,0,2886,1949,4835
20200326,NJ,6876,13661,None,1080,None,None,None,None,None,None,81,None,20537,20537,20537,19,0,3209,2474,5683
20200325,NJ,4402,10452,None,None,None,None,None,None,None,None,62,None,14854,14854,14854,18,0,2127,727,2854
20200324,NJ,3675,8325,45,None,None,None,None,None,None,None,44,None,12045,12000,12000,17,0,7966,831,8797
20200323,NJ,2844,359,94,None,None,None,None,None,None,None,27,None,3297,3203,3203,7,0,32,930,962
20200322,NJ,1914,327,49,None,None,None,None,None,None,None,20,None,2290,2241,2241,4,0,33,587,620
20200321,NJ,1327,294,40,None,None,None,None,None,None,None,16,None,1661,1621,1621,5,0,30,437,467
20200320,NJ,890,264,86,None,None,None,None,None,None,None,11,None,1240,1154,1154,2,0,54,148,202
20200319,NJ,742,210,74,None,None,None,None,None,None,None,9,None,1026,952,952,4,0,20,315,335
20200318,NJ,427,190,21,None,None,None,None,None,None,None,5,None,638,617,617,2,0,27,160,187
20200317,NJ,267,163,55,None,None,None,None,None,None,None,3,None,485,430,430,1,0,43,89,132
20200316,NJ,178,120,20,None,None,None,None,None,None,None,2,None,318,298,298,0,0,0,80,80
20200315,NJ,98,120,34,None,None,None,None,None,None,None,2,None,252,218,218,1,0,23,48,71
20200314,NJ,50,97,80,None,None,None,None,None,None,None,1,None,227,147,147,0,0,0,0,0
20200313,NJ,50,97,80,None,None,None,None,None,None,None,1,None,227,147,147,0,0,23,20,43
20200312,NJ,30,74,20,None,None,None,None,None,None,None,1,None,124,104,104,0,0,17,6,23
20200311,NJ,24,57,20,None,None,None,None,None,None,None,1,None,101,81,81,1,0,13,9,22
20200310,NJ,15,44,20,,,,,,,,,,79,59,59,0,0,9,4,13
20200309,NJ,11,35,14,,,,,,,,,,60,46,46,0,0,4,5,9
20200308,NJ,6,31,0,,,,,,,,,,37,37,37,0,0,31,2,33
20200307,NJ,4,None,1,,,,,,,,,,5,4,4,0,0,0,3,3
20200306,NJ,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200305,NJ,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
