date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,NM,2072,38805,None,119,306,None,None,None,None,529,65,306,40877,40877,40877,7,15,2021,101,2122
20200421,NM,1971,36784,None,116,291,None,None,None,None,501,58,291,38755,38755,38755,3,17,1587,126,1713
20200420,NM,1845,35197,None,103,274,None,None,None,None,487,55,274,37042,37042,37042,2,16,363,47,410
20200419,NM,1798,34834,None,92,258,None,None,None,None,465,53,258,36632,36632,36632,2,16,932,87,1019
20200418,NM,1711,33902,None,96,242,None,None,None,None,382,51,242,35613,35613,35613,7,12,1011,114,1125
20200417,NM,1597,32891,None,90,230,None,None,None,None,353,44,230,34488,34488,34488,8,15,981,113,1094
20200416,NM,1484,31910,None,90,215,None,None,None,None,353,36,215,33394,33394,33394,0,34,467,77,544
20200415,NM,1407,31443,None,87,181,None,None,None,None,340,36,181,32850,32850,32850,5,0,818,62,880
20200414,NM,1345,30625,None,87,181,None,None,None,None,304,31,181,31970,31970,31970,5,181,1355,100,1455
20200413,NM,1245,29270,None,80,None,None,None,None,None,295,26,None,30515,30515,30515,6,0,1752,71,1823
20200412,NM,1174,27518,None,78,None,None,None,18,None,235,20,None,28692,28692,28692,1,0,1511,83,1594
20200411,NM,1091,26007,None,75,None,None,None,18,None,235,19,None,27098,27098,27098,0,0,0,0,0
20200410,NM,1091,26007,None,73,None,None,None,18,None,217,19,None,27098,27098,27098,3,0,3065,226,3291
20200409,NM,865,22942,None,59,None,None,None,18,None,201,16,None,23807,23807,23807,3,0,1491,71,1562
20200408,NM,794,21451,None,51,None,None,None,18,None,171,13,None,22245,22245,22245,1,0,312,108,420
20200407,NM,686,21139,None,48,None,None,None,18,None,133,12,None,21825,21825,21825,0,0,2627,62,2689
20200406,NM,624,18512,None,45,None,None,None,18,None,130,12,None,19136,19136,19136,1,0,2227,81,2308
20200405,NM,543,16285,None,37,None,None,None,18,None,54,11,None,16828,16828,16828,1,0,1148,48,1196
20200404,NM,495,15137,None,41,None,None,None,18,None,26,10,None,15632,15632,15632,3,0,762,92,854
20200403,NM,403,14375,None,31,None,None,None,None,None,26,7,None,14778,14778,14778,1,0,727,40,767
20200402,NM,363,13648,None,31,None,None,None,None,None,26,6,None,14011,14011,14011,1,0,723,48,771
20200401,NM,315,12925,None,24,None,None,None,None,None,26,5,None,13240,13240,13240,1,0,679,34,713
20200331,NM,281,12246,None,22,None,None,None,None,None,26,4,None,12527,12527,12527,2,0,1304,44,1348
20200330,NM,237,10942,None,22,None,None,None,None,None,26,2,None,11179,11179,11179,0,0,173,0,173
20200329,NM,237,10769,None,19,None,None,None,None,None,2,2,None,11006,11006,11006,1,0,1573,46,1619
20200328,NM,191,9196,None,17,None,None,None,None,None,None,1,None,9387,9387,9387,0,0,819,55,874
20200327,NM,136,8377,None,None,None,None,None,None,None,None,1,None,8513,8513,8513,0,0,696,24,720
20200326,NM,112,7681,None,None,None,None,None,None,None,None,1,None,7793,7793,7793,0,0,939,12,951
20200325,NM,100,6742,None,None,None,None,None,None,None,None,1,None,6842,6842,6842,1,0,852,17,869
20200324,NM,83,5890,,,,,,,,,,,5973,5973,5973,0,0,569,18,587
20200323,NM,65,5321,,,,,,,,,,,5386,5386,5386,0,0,599,8,607
20200322,NM,57,4722,,,,,,,,,,,4779,4779,4779,0,0,951,0,951
20200321,NM,57,3771,,,,,,,,,,,3828,3828,3828,0,0,0,14,14
20200320,NM,43,3771,,,,,,,,,,,3814,3814,3814,0,0,1009,8,1017
20200319,NM,35,2762,,,,,,,,,,,2797,2797,2797,0,0,436,7,443
20200318,NM,28,2326,,,,,,,,,,,2354,2354,2354,0,0,1077,5,1082
20200317,NM,23,1249,,,,,,,,,,,1272,1272,1272,0,0,683,6,689
20200316,NM,17,566,,,,,,,,,,,583,583,583,0,0,84,4,88
20200315,NM,13,482,,,,,,,,,,,495,495,495,0,0,245,3,248
20200314,NM,10,237,,,,,,,,,,,247,247,247,0,0,47,0,47
20200313,NM,10,190,,,,,,,,,,,200,200,200,0,0,35,5,40
20200312,NM,5,155,,,,,,,,,,,160,160,160,0,0,68,2,70
20200311,NM,3,87,,,,,,,,,,,90,90,90,0,0,18,3,21
20200310,NM,0,69,,,,,,,,,,,69,69,69,0,0,12,0,12
20200309,NM,0,57,0,,,,,,,,,,57,57,57,0,0,9,0,9
20200308,NM,0,48,0,,,,,,,,,,48,48,48,0,0,0,0,0
20200307,NM,0,48,0,,,,,,,,,,48,48,48,0,0,32,0,32
20200306,NM,0,16,0,,,,,,,,,,16,16,16,None,None,None,None,None
