date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,NY,257216,412766,None,15599,57103,5016,None,None,None,23887,15302,57103,669982,669982,669982,474,0,15131,5526,20657
20200421,NY,251690,397635,None,16076,57103,5016,None,None,None,23887,14828,57103,649325,649325,649325,481,0,11286,4178,15464
20200420,NY,247512,386349,None,16103,57103,5016,None,None,None,23887,14347,57103,633861,633861,633861,478,1380,11580,4726,16306
20200419,NY,242786,374769,None,16213,55723,5016,None,None,None,23887,13869,55723,617555,617555,617555,507,1384,14969,6054,21023
20200418,NY,236732,359800,None,16967,54339,5016,None,None,None,23887,13362,54339,596532,596532,596532,540,1915,16219,7090,23309
20200417,NY,229642,343581,None,17156,52424,5059,None,None,None,23887,12822,52424,573223,573223,573223,630,1974,15286,7358,22644
20200416,NY,222284,328295,None,17735,50450,5091,None,None,None,23887,12192,50450,550579,550579,550579,606,4249,16062,8505,24567
20200415,NY,213779,312233,None,18697,46201,5225,None,None,None,23887,11586,46201,526012,526012,526012,752,0,15298,11571,26869
20200414,NY,202208,296935,None,18697,46201,5225,None,None,None,23887,10834,46201,499143,499143,499143,778,3489,13609,7177,20786
20200413,NY,195031,283326,None,18825,42712,5156,None,None,None,23887,10056,42712,478357,478357,478357,671,118,10419,6337,16756
20200412,NY,188694,272907,None,18707,42594,5198,None,None,None,23887,9385,42594,461601,461601,461601,758,1915,12385,8236,20621
20200411,NY,180458,260522,None,18654,40679,5009,None,None,None,22025,8627,40679,440980,440980,440980,783,1861,13149,9946,23095
20200410,NY,170512,247373,None,18569,38818,4908,None,None,None,20249,7844,38818,417885,417885,417885,777,2242,15761,10575,26336
20200409,NY,159937,231612,None,18279,36576,4925,None,None,None,18297,7067,36576,391549,391549,391549,799,2144,15775,10621,26396
20200408,NY,149316,215837,None,18079,34432,4593,None,None,None,16353,6268,34432,365153,365153,365153,779,2349,14642,10453,25095
20200407,NY,138863,201195,None,17493,32083,4593,None,None,None,14590,5489,32083,340058,340058,340058,731,1880,11073,8174,19247
20200406,NY,130689,190122,None,16837,30203,4504,None,None,None,13366,4758,30203,320811,320811,320811,599,2111,9873,8658,18531
20200405,NY,122031,180249,None,16479,28092,4376,None,None,None,12187,4159,28092,302280,302280,302280,594,1709,10332,8327,18659
20200404,NY,113704,169917,None,15905,26383,4126,None,None,None,10478,3565,26383,283621,283621,283621,630,2687,12260,10841,23101
20200403,NY,102863,157657,None,14810,23696,3731,None,None,None,8886,2935,23696,260520,260520,260520,562,2879,11073,10482,21555
20200402,NY,92381,146584,None,13383,20817,3396,None,None,None,7434,2373,20817,238965,238965,238965,432,2449,9416,8669,18085
20200401,NY,83712,137168,None,12226,18368,3022,None,None,None,6142,1941,18368,220880,220880,220880,391,2464,7777,7917,15694
20200331,NY,75795,129391,None,10929,15904,2710,None,None,None,4975,1550,15904,205186,205186,205186,332,2183,9420,9298,18718
20200330,NY,66497,119971,None,9517,13721,2352,None,None,None,4204,1218,13721,186468,186468,186468,253,1646,7124,6984,14108
20200329,NY,59513,112847,None,8503,12075,2037,None,None,None,3572,965,12075,172360,172360,172360,237,2021,9231,7195,16426
20200328,NY,52318,103616,None,7328,10054,1755,None,None,None,2726,728,10054,155934,155934,155934,209,1528,2498,7683,10181
20200327,NY,44635,101118,None,6481,8526,1583,None,None,None,2045,519,8526,145753,145753,145753,134,1682,16272,7377,23649
20200326,NY,37258,84846,None,5327,6844,1290,None,None,None,None,385,6844,122104,122104,122104,100,3039,12178,6447,18625
20200325,NY,30811,72668,None,None,3805,None,None,None,None,None,285,3805,103479,103479,103479,75,571,7063,5146,12209
20200324,NY,25665,65605,None,None,3234,None,None,None,None,None,210,3234,91270,91270,91270,96,599,8191,4790,12981
