date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,OH,9939,68819,None,None,2519,None,760,None,None,None,451,2519,78758,78758,78758,33,95,0,1081,1081
20200417,OH,8858,68819,None,None,2424,None,740,None,None,None,418,2424,77677,77677,77677,29,93,2393,444,2837
20200416,OH,8414,66426,None,None,2331,None,707,None,None,None,389,2331,74840,74840,74840,28,94,2665,623,3288
20200415,OH,7791,63761,None,None,2237,None,677,None,None,None,361,2237,71552,71552,71552,37,81,3040,638,3678
20200414,OH,7153,60721,None,None,2156,None,654,None,None,None,324,2156,67874,67874,67874,50,123,2584,178,2762
20200413,OH,6975,58137,None,None,2033,None,613,None,None,None,274,2033,65112,65112,65112,21,85,1498,371,1869
20200412,OH,6604,56639,None,None,1948,None,595,None,None,None,253,1948,63243,63243,63243,6,89,2418,417,2835
20200411,OH,6187,54221,None,None,1859,None,572,None,None,None,247,1859,60408,60408,60408,16,104,1526,351,1877
20200410,OH,5836,52695,None,None,1755,None,548,None,None,None,231,1755,58531,58531,58531,18,143,2222,324,2546
20200409,OH,5512,50473,None,None,1612,None,497,None,None,None,213,1612,55985,55985,55985,20,117,2280,364,2644
20200408,OH,5148,48193,None,None,1495,None,472,None,None,None,193,1495,53341,53341,53341,26,141,2137,366,2503
20200407,OH,4782,46056,None,None,1354,None,417,None,None,None,167,1354,50838,50838,50838,25,140,2128,332,2460
20200406,OH,4450,43928,None,None,1214,None,371,None,None,None,142,1214,48378,48378,48378,23,110,4215,407,4622
20200405,OH,4043,39713,None,None,1104,None,346,None,None,None,119,1104,43756,43756,43756,17,98,1581,304,1885
20200404,OH,3739,38132,None,None,1006,None,326,None,None,None,102,1006,41871,41871,41871,11,111,3069,427,3496
20200403,OH,3312,35063,None,None,895,None,288,None,None,None,91,895,38375,38375,38375,10,93,3047,410,3457
20200402,OH,2902,32016,None,None,802,None,260,None,None,None,81,802,34918,34918,34918,16,123,5024,355,5379
20200401,OH,2547,26992,None,None,679,None,222,None,None,None,65,679,29539,29539,29539,10,94,0,348,348
20200331,OH,2199,26992,None,None,585,None,198,None,None,None,55,585,29191,29191,29191,16,110,1650,266,1916
20200330,OH,1933,25342,None,None,475,None,163,None,None,None,39,475,27275,27275,27275,10,72,6330,280,6610
20200329,OH,1653,19012,None,None,403,None,139,None,None,None,29,403,20665,20665,20665,4,59,0,247,247
20200328,OH,1406,19012,None,None,344,None,123,None,None,None,25,344,20418,20418,20418,6,68,0,269,269
20200327,OH,1137,19012,None,None,276,None,107,None,None,None,19,276,20149,20149,20149,4,53,2563,270,2833
20200326,OH,867,16449,None,None,223,None,91,None,None,None,15,223,17316,17316,17316,5,41,2389,163,2552
20200325,OH,704,14060,None,None,182,None,74,None,None,None,10,182,14764,14764,14764,2,37,13920,140,14060
20200324,OH,564,140,None,None,145,None,None,None,None,None,8,145,704,704,704,2,41,0,122,122
20200323,OH,442,140,None,None,104,None,None,None,None,None,6,104,582,582,582,3,21,0,91,91
20200322,OH,351,140,None,None,83,None,None,None,None,None,3,83,491,491,491,0,25,0,104,104
20200321,OH,247,140,None,None,58,None,None,None,None,None,3,58,387,387,387,2,58,0,78,78
20200320,OH,169,140,None,None,None,None,None,None,None,None,1,None,309,309,309,1,0,0,50,50
20200319,OH,119,140,,,,,,,,,,,259,259,259,0,0,0,31,31
20200318,OH,88,140,,,,,,,,,,,228,228,228,0,0,0,21,21
20200317,OH,67,140,,,,,,,,,,,207,207,207,0,0,0,17,17
20200316,OH,50,140,361,,,,,,,,,,551,190,190,0,0,1,14,15
20200315,OH,36,139,350,,,,,,,,,,525,175,175,0,0,89,23,112
20200314,OH,13,50,159,,,,,,,,,,222,63,63,0,0,0,0,0
20200313,OH,13,50,159,,,,,,,,,,222,63,63,0,0,20,8,28
20200312,OH,5,30,52,,,,,,,,,,87,35,35,0,0,9,1,10
20200311,OH,4,21,24,,,,,,,,,,49,25,25,0,0,7,1,8
20200310,OH,3,14,15,,,,,,,,,,32,17,17,0,0,3,0,3
20200309,OH,3,11,5,,,,,,,,,,19,14,14,0,0,1,3,4
20200308,OH,0,10,4,,,,,,,,,,14,10,10,0,0,1,0,1
20200307,OH,0,9,5,,,,,,,,,,14,9,9,0,0,1,0,1
20200306,OH,0,8,2,,,,,,,,,,10,8,8,0,0,1,0,1
20200305,OH,0,7,3,,,,,,,,,,10,7,7,None,None,None,None,None
