date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,OK,2570,32966,None,307,541,136,None,None,None,1515,139,541,35536,35536,35536,3,13,1811,105,1916
20200417,OK,2465,31155,None,325,528,155,None,None,None,1331,136,528,33620,33620,33620,5,0,2613,108,2721
20200416,OK,2357,28542,None,236,528,163,None,None,None,1240,131,528,30899,30899,30899,8,18,1586,94,1680
20200415,OK,2263,26956,None,194,510,107,None,None,None,1115,123,510,29219,29219,29219,15,22,871,79,950
20200414,OK,2184,26085,None,194,488,107,None,None,None,1060,108,488,28269,28269,28269,9,31,5295,115,5410
20200413,OK,2069,20790,None,383,457,191,None,None,None,865,99,457,22859,22859,22859,3,11,0,99,99
20200412,OK,1970,20790,None,383,446,191,None,None,None,865,96,446,22760,22760,22760,2,0,0,102,102
20200411,OK,1868,20790,None,383,446,191,None,None,None,865,94,446,22658,22658,22658,6,18,420,74,494
20200410,OK,1794,20370,None,186,428,122,None,None,None,790,88,428,22164,22164,22164,8,13,1775,110,1885
20200409,OK,1684,18595,None,188,415,120,None,None,None,686,80,415,20279,20279,20279,1,25,6774,160,6934
20200408,OK,1524,11821,None,188,390,120,None,None,None,686,79,390,13345,13345,13345,12,14,0,52,52
20200407,OK,1472,11821,None,186,376,137,None,None,None,612,67,376,13293,13293,13293,16,36,10399,145,10544
20200406,OK,1327,1422,None,161,340,143,None,None,None,522,51,340,2749,2749,2749,5,10,21,75,96
20200405,OK,1252,1401,None,None,330,None,None,None,None,None,46,330,2653,2653,2653,4,14,39,93,132
20200404,OK,1159,1362,None,None,316,None,None,None,None,None,42,316,2521,2521,2521,4,27,47,171,218
20200403,OK,988,1315,None,171,289,123,None,None,None,383,38,289,2303,2303,2303,4,32,50,109,159
20200402,OK,879,1265,None,182,257,144,None,None,None,None,34,257,2144,2144,2144,4,38,17,160,177
20200401,OK,719,1248,None,174,219,98,None,None,None,None,30,219,1967,1967,1967,7,42,19,154,173
20200331,OK,565,1229,None,None,177,83,None,None,None,None,23,177,1794,1794,1794,6,24,22,84,106
20200330,OK,481,1207,None,None,153,103,None,None,None,None,17,153,1688,1688,1688,1,13,2,52,54
20200329,OK,429,1205,None,None,140,None,None,None,None,None,16,140,1634,1634,1634,1,14,25,52,77
20200328,OK,377,1180,None,None,126,None,None,None,None,None,15,126,1557,1557,1557,7,21,96,55,151
20200327,OK,322,1084,None,None,105,None,None,None,None,None,8,105,1406,1406,1406,1,19,126,74,200
20200326,OK,248,958,None,None,86,None,None,None,None,None,7,86,1206,1206,1206,2,27,153,84,237
20200325,OK,164,805,None,None,59,None,None,None,None,None,5,59,969,969,969,2,34,70,58,128
20200324,OK,106,735,None,None,25,None,None,None,None,None,3,25,841,841,841,1,10,41,25,66
20200323,OK,81,694,102,None,15,None,None,None,None,None,2,15,877,775,775,0,4,25,14,39
20200322,OK,67,669,102,None,11,None,None,None,None,None,2,11,838,736,736,1,1,109,14,123
20200321,OK,53,560,144,None,10,None,None,None,None,None,1,10,757,613,613,0,10,22,4,26
20200320,OK,49,538,374,None,None,None,None,None,None,None,1,None,961,587,587,0,0,72,5,77
20200319,OK,44,466,250,None,None,None,None,None,None,None,1,None,760,510,510,1,0,88,15,103
20200318,OK,29,378,110,,,,,,,,,,517,407,407,0,0,131,12,143
20200317,OK,17,247,82,,,,,,,,,,346,264,264,0,0,73,7,80
20200316,OK,10,174,29,,,,,,,,,,213,184,184,0,0,56,1,57
20200315,OK,9,118,12,,,,,,,,,,139,127,127,0,0,82,5,87
20200314,OK,4,36,37,,,,,,,,,,77,40,40,0,0,0,1,1
20200313,OK,3,36,37,,,,,,,,,,76,39,39,0,0,0,0,0
20200312,OK,3,36,4,,,,,,,,,,43,39,39,0,0,21,1,22
20200311,OK,2,15,11,,,,,,,,,,28,17,17,0,0,0,0,0
20200310,OK,2,15,11,,,,,,,,,,28,17,17,0,0,7,1,8
20200309,OK,1,8,10,,,,,,,,,,19,9,9,0,0,0,0,0
20200308,OK,1,8,2,,,,,,,,,,11,9,9,0,0,8,0,8
20200307,OK,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
