date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,OR,1844,35739,None,290,449,74,None,37,None,None,72,449,37583,37583,37583,2,22,1203,59,1262
20200417,OR,1785,34536,None,301,427,69,None,41,None,None,70,427,36321,36321,36321,6,13,1334,49,1383
20200416,OR,1736,33202,None,307,414,89,None,43,None,None,64,414,34938,34938,34938,6,13,1514,73,1587
20200415,OR,1663,31688,None,305,401,95,None,43,None,None,58,401,33351,33351,33351,3,20,958,30,988
20200414,OR,1633,30730,None,311,381,88,None,44,None,None,55,381,32363,32363,32363,2,12,1193,49,1242
20200413,OR,1584,29537,None,321,369,96,None,50,None,None,53,369,31121,31121,31121,1,10,1306,57,1363
20200412,OR,1527,28231,None,295,359,81,None,52,None,None,52,359,29758,29758,29758,4,21,2378,156,2534
20200411,OR,1371,25853,None,140,338,58,None,46,None,None,48,338,27224,27224,27224,4,12,1547,50,1597
20200410,OR,1321,24306,None,146,326,66,None,54,None,None,44,326,25627,25627,25627,0,0,0,0,0
20200409,OR,1321,24306,None,146,326,66,None,54,None,None,44,326,25627,25627,25627,11,2,981,82,1063
20200408,OR,1239,23325,None,156,324,61,None,58,69,None,33,324,24564,24564,24564,0,0,1499,58,1557
20200407,OR,1181,21826,None,None,324,None,None,69,None,None,33,324,23007,23007,23007,6,66,1157,49,1206
20200406,OR,1132,20669,None,None,258,None,None,40,None,None,27,258,21801,21801,21801,0,0,1113,64,1177
20200405,OR,1068,19556,None,None,258,None,None,40,None,None,27,258,20624,20624,20624,1,19,3021,69,3090
20200404,OR,999,16535,None,None,239,None,None,38,None,None,26,239,17534,17534,17534,4,35,0,100,100
20200403,OR,899,16535,None,188,204,None,None,38,None,None,22,204,17434,17434,17434,1,16,1276,73,1349
20200402,OR,826,15259,None,134,188,None,None,38,None,None,21,188,16085,16085,16085,3,34,2123,90,2213
20200401,OR,736,13136,None,132,154,None,None,40,None,None,18,154,13872,13872,13872,0,0,0,46,46
20200331,OR,690,13136,None,132,154,None,None,40,None,None,18,154,13826,13826,13826,2,14,859,84,943
20200330,OR,606,12277,None,132,140,None,None,39,None,None,16,140,12883,12883,12883,3,11,1399,58,1457
20200329,OR,548,10878,None,107,129,None,None,37,None,None,13,129,11426,11426,11426,0,12,1185,69,1254
20200328,OR,479,9693,None,107,117,None,None,31,None,None,13,117,10172,10172,10172,1,15,1183,65,1248
20200327,OR,414,8510,None,91,102,None,None,31,None,None,12,102,8924,8924,8924,1,12,1557,87,1644
20200326,OR,327,6953,None,None,90,None,None,None,None,None,11,90,7280,7280,7280,3,29,2603,118,2721
20200325,OR,209,4350,None,None,61,None,None,None,None,None,8,61,4559,4559,4559,0,0,0,0,0
20200324,OR,209,4350,None,None,61,None,None,None,None,None,8,61,4559,4559,4559,3,5,701,18,719
20200323,OR,191,3649,None,None,56,None,None,None,None,None,5,56,3840,3840,3840,1,13,785,30,815
20200322,OR,161,2864,None,None,43,None,None,None,None,None,4,43,3025,3025,3025,1,43,861,47,908
20200321,OR,114,2003,433,None,None,None,None,None,None,None,3,None,2550,2117,2117,0,0,0,0,0
20200320,OR,114,2003,433,None,None,None,None,None,None,None,3,None,2550,2117,2117,0,0,674,26,700
20200319,OR,88,1329,437,None,None,None,None,None,None,None,3,None,1854,1417,1417,0,0,211,13,224
20200318,OR,75,1118,361,None,None,None,None,None,None,None,3,None,1554,1193,1193,3,0,429,28,457
20200317,OR,47,689,184,,,,,,,,,,920,736,736,0,0,110,8,118
20200316,OR,39,579,182,,,,,,,,,,800,618,618,0,0,159,3,162
20200315,OR,36,420,225,,,,,,,,,,681,456,456,0,0,83,6,89
20200314,OR,30,337,157,,,,,,,,,,524,367,367,0,0,0,0,0
20200313,OR,30,337,157,,,,,,,,,,524,367,367,0,0,51,11,62
20200312,OR,19,286,62,,,,,,,,,,367,305,305,0,0,0,0,0
20200311,OR,19,286,62,,,,,,,,,,367,305,305,0,0,73,4,77
20200310,OR,15,213,67,,,,,,,,,,295,228,228,0,0,48,1,49
20200309,OR,14,165,52,,,,,,,,,,231,179,179,0,0,65,0,65
20200308,OR,14,100,53,,,,,,,,,,167,114,114,0,0,23,7,30
20200307,OR,7,77,40,,,,,,,,,,124,84,84,0,0,13,4,17
20200306,OR,3,64,28,,,,,,,,,,95,67,67,0,0,19,0,19
20200305,OR,3,45,13,,,,,,,,,,61,48,48,0,0,16,0,16
20200304,OR,3,29,18,,,,,,,,,,50,32,32,None,None,None,None,None
