date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,PA,32284,126570,None,2634,None,None,None,657,None,None,1112,None,158854,158854,158854,276,0,3674,1215,4889
20200418,PA,31069,122896,None,2613,None,None,None,660,None,None,836,None,153965,153965,153965,80,0,4964,1628,6592
20200417,PA,29441,117932,None,2603,None,None,None,661,None,None,756,None,147373,147373,147373,49,0,4197,1706,5903
20200416,PA,27735,113735,None,2512,None,None,None,675,None,None,707,None,141470,141470,141470,60,0,2641,1245,3886
20200415,PA,26490,111094,None,2395,None,None,None,668,None,None,647,None,137584,137584,137584,63,0,2808,1145,3953
20200414,PA,25345,108286,None,2317,None,None,None,675,None,None,584,None,133631,133631,133631,60,0,2693,1146,3839
20200413,PA,24199,105593,None,2243,None,None,None,669,None,None,524,None,129792,129792,129792,17,0,3536,1366,4902
20200412,PA,22833,102057,None,2097,None,None,None,649,None,None,507,None,124890,124890,124890,13,0,3559,1178,4737
20200411,PA,21655,98498,None,2115,None,None,None,639,None,None,494,None,120153,120153,120153,78,0,5458,1676,7134
20200410,PA,19979,93040,None,2072,None,None,None,611,None,None,416,None,113019,113019,113019,78,0,5666,1751,7417
20200409,PA,18228,87374,None,2051,None,None,None,592,None,None,338,None,105602,105602,105602,29,0,5075,1989,7064
20200408,PA,16239,82299,None,1898,None,None,None,603,None,None,309,None,98538,98538,98538,69,0,5580,1680,7260
20200407,PA,14559,76719,None,1665,None,None,None,548,None,None,240,None,91278,91278,91278,78,0,5845,1579,7424
20200406,PA,12980,70874,None,None,1145,None,None,533,None,None,162,1145,83854,83854,83854,12,73,4613,1470,6083
20200405,PA,11510,66261,None,None,1072,None,None,None,None,None,150,1072,77771,77771,77771,14,68,6248,1493,7741
20200404,PA,10017,60013,None,None,1004,None,None,None,None,None,136,1004,70030,70030,70030,34,152,6318,1597,7915
20200403,PA,8420,53695,None,None,852,None,None,None,None,None,102,852,62115,62115,62115,12,122,5997,1404,7401
20200402,PA,7016,47698,None,None,730,None,None,None,None,None,90,730,54714,54714,54714,16,110,5271,1211,6482
20200401,PA,5805,42427,None,None,620,None,None,None,None,None,74,620,48232,48232,48232,11,106,4782,962,5744
20200331,PA,4843,37645,None,None,514,None,None,None,None,None,63,514,42488,42488,42488,14,128,3868,756,4624
20200330,PA,4087,33777,None,None,386,None,None,None,None,None,49,386,37864,37864,37864,11,33,3716,693,4409
20200329,PA,3394,30061,None,None,353,None,None,None,None,None,38,353,33455,33455,33455,4,37,4807,643,5450
20200328,PA,2751,25254,None,None,316,None,None,None,None,None,34,316,28005,28005,28005,12,75,4238,533,4771
20200327,PA,2218,21016,None,None,241,None,None,None,None,None,22,241,23234,23234,23234,6,241,4575,531,5106
20200326,PA,1687,16441,None,None,None,None,None,None,None,None,16,None,18128,18128,18128,5,0,5248,560,5808
20200325,PA,1127,11193,None,None,None,None,None,None,None,None,11,None,12320,12320,12320,4,0,2550,276,2826
20200324,PA,851,8643,None,None,None,None,None,None,None,None,7,None,9494,9494,9494,1,0,2048,207,2255
20200323,PA,644,6595,None,None,None,None,None,None,None,None,6,None,7239,7239,7239,4,0,1631,165,1796
20200322,PA,479,4964,None,None,None,None,None,None,None,None,2,None,5443,5443,5443,0,0,1198,108,1306
20200321,PA,371,3766,None,None,None,None,None,None,None,None,2,None,4137,4137,4137,1,0,1192,103,1295
20200320,PA,268,2574,None,None,None,None,None,None,None,None,1,None,2842,2842,2842,0,0,966,83,1049
20200319,PA,185,1608,None,None,None,None,None,None,None,None,1,None,1793,1793,1793,0,0,421,52,473
20200318,PA,133,1187,None,None,None,None,None,None,None,None,1,None,1320,1320,1320,1,0,308,37,345
20200317,PA,96,879,,,,,,,,,,,975,975,975,0,0,209,20,229
20200316,PA,76,670,,,,,,,,,,,746,746,746,0,0,465,13,478
20200315,PA,63,205,183,,,,,,,,,,451,268,268,0,0,0,16,16
20200314,PA,47,205,150,,,,,,,,,,402,252,252,0,0,65,6,71
20200313,PA,41,140,130,,,,,,,,,,311,181,181,0,0,24,19,43
20200312,PA,22,116,81,,,,,,,,,,219,138,138,0,0,28,6,34
20200311,PA,16,88,54,,,,,,,,,,158,104,104,0,0,88,4,92
20200310,PA,12,,,,,,,,,,,,12,12,12,0,0,0,2,2
20200309,PA,10,,,,,,,,,,,,10,10,10,0,0,0,4,4
20200308,PA,6,,,,,,,,,,,,6,6,6,0,0,0,2,2
20200307,PA,4,,,,,,,,,,,,4,4,4,0,0,0,2,2
20200306,PA,2,,,,,,,,,,,,2,2,2,None,None,None,None,None
