date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,PR,1118,8055,1760,None,None,None,None,None,None,None,60,None,10933,9173,9173,2,0,191,50,241
20200417,PR,1068,7864,1478,None,None,None,None,None,None,None,58,None,10410,8932,8932,2,0,549,25,574
20200416,PR,1043,7315,1465,None,None,None,None,None,None,None,56,None,9823,8358,8358,5,0,490,69,559
20200415,PR,974,6825,1410,None,None,None,None,None,None,None,51,None,9209,7799,7799,6,0,541,51,592
20200414,PR,923,6284,1322,None,None,None,None,None,None,None,45,None,8529,7207,7207,0,0,324,20,344
20200413,PR,903,5960,1288,None,None,None,None,None,None,None,45,None,8151,6863,6863,1,0,141,6,147
20200412,PR,897,5819,1251,None,None,None,None,None,None,None,44,None,7967,6716,6716,2,0,236,109,345
20200411,PR,788,5583,1332,None,None,None,None,None,None,None,42,None,7703,6371,6371,3,0,462,63,525
20200410,PR,725,5121,1392,None,None,None,None,None,None,None,39,None,7238,5846,5846,6,0,418,42,460
20200409,PR,683,4703,1304,None,None,None,None,None,None,None,33,None,6690,5386,5386,9,0,437,63,500
20200408,PR,620,4266,1160,None,None,None,None,None,None,None,24,None,6046,4886,4886,1,0,300,47,347
20200407,PR,573,3966,968,None,None,None,None,None,None,None,23,None,5507,4539,4539,2,0,534,60,594
20200406,PR,513,3432,1000,None,None,None,None,None,None,None,21,None,4945,3945,3945,1,0,359,38,397
20200405,PR,475,3073,1039,None,None,None,None,None,None,None,20,None,4587,3548,3548,2,0,468,23,491
20200404,PR,452,2605,1129,None,None,None,None,None,None,None,18,None,4186,3057,3057,3,0,556,74,630
20200403,PR,378,2049,1055,None,None,None,None,None,None,None,15,None,3482,2427,2427,3,0,445,62,507
20200402,PR,316,1604,1119,None,None,None,None,None,None,None,12,None,3039,1920,1920,1,0,195,30,225
20200401,PR,286,1409,897,None,None,None,None,None,None,None,11,None,2592,1695,1695,3,0,214,47,261
20200331,PR,239,1195,854,None,None,None,None,None,None,None,8,None,2288,1434,1434,2,0,264,65,329
20200330,PR,174,931,794,None,None,None,None,None,None,None,6,None,1899,1105,1105,1,0,90,47,137
20200329,PR,127,841,817,None,None,None,None,None,None,None,5,None,1785,968,968,2,0,102,27,129
20200328,PR,100,739,792,None,None,None,None,None,None,None,3,None,1631,839,839,0,0,220,21,241
20200327,PR,79,519,334,None,None,None,None,None,None,None,3,None,932,598,598,1,0,142,15,157
20200326,PR,64,377,335,None,None,None,None,None,None,None,2,None,776,441,441,0,0,60,13,73
20200325,PR,51,317,70,None,None,None,None,None,None,None,2,None,438,368,368,0,0,49,12,61
20200324,PR,39,268,42,None,None,None,None,None,None,None,2,None,349,307,307,0,0,79,8,87
20200323,PR,31,189,35,None,None,None,None,None,None,None,2,None,255,220,220,2,0,6,8,14
20200322,PR,23,183,69,,,,,,,,,,275,206,206,0,0,40,2,42
20200321,PR,21,143,71,,,,,,,,,,235,164,164,0,0,29,7,36
20200320,PR,14,114,52,,,,,,,,,,180,128,128,0,0,58,9,67
20200319,PR,5,56,29,,,,,,,,,,90,61,61,0,0,25,0,25
20200318,PR,5,31,21,,,,,,,,,,57,36,36,0,0,18,0,18
20200317,PR,5,13,4,,,,,,,,,,22,18,18,0,0,4,0,4
20200316,PR,5,9,,,,,,,,,,,14,14,14,None,None,None,None,None
