date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,RI,4706,29993,None,278,331,66,None,37,None,244,150,331,34699,34699,34699,13,0,1658,215,1873
20200418,RI,4491,28335,None,255,331,67,None,43,None,217,137,331,32826,32826,32826,19,0,1751,314,2065
20200417,RI,4177,26584,None,252,331,62,None,43,None,196,118,331,30761,30761,30761,13,0,2358,339,2697
20200416,RI,3838,24226,None,245,331,61,None,43,None,182,105,331,28064,28064,28064,18,0,1858,309,2167
20200415,RI,3529,22368,None,229,331,54,None,44,None,168,87,331,25897,25897,25897,7,0,2719,278,2997
20200414,RI,3251,19649,None,213,331,48,None,None,None,135,80,331,22900,22900,22900,7,0,1964,275,2239
20200413,RI,2976,17685,None,197,331,50,None,26,None,135,73,331,20661,20661,20661,10,331,0,311,311
20200412,RI,2665,17685,None,201,None,50,None,26,None,35,63,None,20350,20350,20350,7,0,1827,316,2143
20200411,RI,2349,15858,None,183,None,50,None,26,None,35,56,None,18207,18207,18207,7,0,3577,334,3911
20200410,RI,2015,12281,None,169,None,45,None,26,None,35,49,None,14296,14296,14296,6,0,1599,288,1887
20200409,RI,1727,10682,None,160,None,45,None,26,None,35,43,None,12409,12409,12409,8,0,0,277,277
20200408,RI,1450,10682,None,143,None,45,None,26,None,35,35,None,12132,12132,12132,5,0,1605,220,1825
20200407,RI,1230,9077,None,123,None,40,None,26,None,35,30,None,10307,10307,10307,3,0,1678,148,1826
20200406,RI,1082,7399,None,109,None,37,None,26,None,35,27,None,8481,8481,8481,2,0,1140,160,1300
20200405,RI,922,6259,None,103,None,33,None,6,None,35,25,None,7181,7181,7181,8,0,675,116,791
20200404,RI,806,5584,None,93,None,31,None,6,None,35,17,None,6390,6390,6390,3,0,727,97,824
20200403,RI,709,4857,None,77,None,14,None,6,None,35,14,None,5566,5566,5566,2,0,445,52,497
20200402,RI,657,4412,None,72,None,14,None,6,None,35,12,None,5069,5069,5069,2,0,581,91,672
20200401,RI,566,3831,None,60,None,14,None,6,None,35,10,None,4397,4397,4397,2,0,355,77,432
20200331,RI,489,3476,None,59,None,9,None,6,None,35,8,None,3965,3965,3965,4,0,289,87,376
20200330,RI,402,3187,None,41,None,9,None,6,None,None,4,None,3589,3589,3589,1,0,347,108,455
20200329,RI,294,2840,None,35,None,9,None,6,None,None,3,None,3134,3134,3134,3,0,299,55,354
20200328,RI,239,2541,138,29,None,9,None,6,,,,None,2918,2780,2780,0,0,235,36,271
20200327,RI,203,2306,138,28,None,9,None,6,,,,None,2647,2509,2509,0,0,1044,38,1082
20200326,RI,165,1262,181,23,None,9,None,6,,,,None,1608,1427,1427,0,0,0,33,33
20200325,RI,132,1262,196,15,,,,,,,,,1590,1394,1394,0,0,62,8,70
20200324,RI,124,1200,77,,,,,,,,,,1401,1324,1324,0,0,57,18,75
20200323,RI,106,1143,216,,,,,,,,,,1465,1249,1249,0,0,211,23,234
20200322,RI,83,932,216,,,,,,,,,,1231,1015,1015,0,0,70,17,87
20200321,RI,66,862,290,,,,,,,,,,1218,928,928,0,0,62,12,74
20200320,RI,54,800,140,,,,,,,,,,994,854,854,0,0,146,10,156
20200319,RI,44,654,334,,,,,,,,,,1032,698,698,0,0,114,11,125
20200318,RI,33,540,334,,,,,,,,,,907,573,573,0,0,137,10,147
20200317,RI,23,403,149,,,,,,,,,,575,426,426,0,0,95,2,97
20200316,RI,21,308,149,,,,,,,,,,478,329,329,0,0,37,1,38
20200315,RI,20,271,57,,,,,,,,,,348,291,291,0,0,73,0,73
20200314,RI,20,198,57,,,,,,,,,,275,218,218,0,0,56,6,62
20200313,RI,14,142,29,,,,,,,,,,185,156,156,0,0,48,9,57
20200312,RI,5,94,8,,,,,,,,,,107,99,99,0,0,0,0,0
20200311,RI,5,94,24,,,,,,,,,,123,99,99,0,0,36,2,38
20200310,RI,3,58,6,,,,,,,,,,67,61,61,0,0,28,0,28
20200309,RI,3,30,6,,,,,,,,,,39,33,33,0,0,0,0,0
20200308,RI,3,30,12,,,,,,,,,,45,33,33,0,0,0,1,1
20200307,RI,2,30,,,,,,,,,,,32,32,32,0,0,13,-1,12
20200306,RI,3,17,,,,,,,,,,,20,20,20,0,0,0,1,1
20200305,RI,2,17,,,,,,,,,,,19,19,19,0,0,6,0,6
20200304,RI,2,11,,,,,,,,,,,13,13,13,0,0,5,0,5
20200303,RI,2,6,,,,,,,,,,,8,8,8,0,0,6,1,7
20200302,RI,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200301,RI,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
