date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,SC,4377,36103,None,None,776,None,None,None,None,2633,120,776,40480,40480,40480,1,0,1516,131,1647
20200418,SC,4246,34587,None,None,776,None,None,None,None,2633,119,776,38833,38833,38833,10,101,2234,315,2549
20200417,SC,3931,32353,None,None,675,None,None,None,None,None,109,675,36284,36284,36284,2,0,1276,275,1551
20200416,SC,3656,31077,None,None,675,None,None,None,None,None,107,675,34733,34733,34733,0,0,0,0,0
20200415,SC,3656,31077,None,None,675,None,None,None,None,None,107,675,34733,34733,34733,10,0,758,103,861
20200414,SC,3553,30319,None,None,675,None,None,None,None,None,97,675,33872,33872,33872,15,179,2213,234,2447
20200413,SC,3319,28106,None,None,496,None,None,None,None,None,82,496,31425,31425,31425,0,0,0,0,0
20200412,SC,3319,28106,None,None,496,None,None,None,None,None,82,496,31425,31425,31425,2,0,1220,112,1332
20200411,SC,3207,26886,None,None,496,None,None,None,None,None,80,496,30093,30093,30093,8,0,1768,142,1910
20200410,SC,3065,25118,None,None,496,None,None,None,None,None,72,496,28183,28183,28183,5,255,543,273,816
20200409,SC,2792,24575,None,None,241,None,None,None,None,None,67,241,27367,27367,27367,4,0,2493,240,2733
20200408,SC,2552,22082,None,None,241,None,None,None,None,None,63,241,24634,24634,24634,12,0,819,135,954
20200407,SC,2417,21263,None,None,241,None,None,None,None,None,51,241,23680,23680,23680,7,0,4336,368,4704
20200406,SC,2049,16927,None,None,241,None,None,None,None,None,44,241,18976,18976,18976,0,0,0,0,0
20200405,SC,2049,16927,None,None,241,None,None,None,None,None,44,241,18976,18976,18976,4,0,530,132,662
20200404,SC,1917,16397,None,None,241,None,None,None,None,None,40,241,18314,18314,18314,9,0,10956,363,11319
20200403,SC,1554,5441,None,None,241,None,None,None,None,None,31,241,6995,6995,6995,0,-655,0,0,0
20200402,SC,1554,5441,None,None,896,None,None,None,None,None,31,896,6995,6995,6995,5,547,408,261,669
20200401,SC,1293,5033,None,None,349,None,None,None,None,None,26,349,6326,6326,6326,4,90,417,210,627
20200331,SC,1083,4616,None,None,259,None,None,None,None,None,22,259,5699,5699,5699,4,130,456,158,614
20200330,SC,925,4160,None,None,129,None,None,None,None,None,18,129,5085,5085,5085,2,0,1145,151,1296
20200329,SC,774,3015,None,None,129,None,None,None,None,None,16,129,3789,3789,3789,3,0,607,235,842
20200328,SC,539,2408,None,None,129,None,None,None,None,None,13,129,2947,2947,2947,4,20,101,83,184
20200327,SC,456,2307,None,None,109,None,None,None,None,None,9,109,2763,2763,2763,0,0,0,0,0
20200326,SC,456,2307,None,None,109,None,None,None,None,None,9,109,2763,2763,2763,2,7,4,32,36
20200325,SC,424,2303,None,None,102,None,None,None,None,None,7,102,2727,2727,2727,2,102,291,126,417
20200324,SC,298,2012,None,None,None,None,None,None,None,None,5,None,2310,2310,2310,0,0,546,0,546
20200323,SC,298,1466,None,None,None,None,None,None,None,None,5,None,1764,1764,1764,2,0,0,103,103
20200322,SC,195,1466,None,None,None,None,None,None,None,None,3,None,1661,1661,1661,2,0,211,43,254
20200321,SC,152,1255,None,None,None,None,None,None,None,None,1,None,1407,1407,1407,0,0,422,71,493
20200320,SC,81,833,None,None,None,None,None,None,None,None,1,None,914,914,914,0,0,250,21,271
20200319,SC,60,583,None,None,None,None,None,None,None,None,1,None,643,643,643,0,0,0,0,0
20200318,SC,60,583,None,None,None,None,None,None,None,None,1,None,643,643,643,0,0,272,27,299
20200317,SC,33,311,None,None,None,None,None,None,None,None,1,None,344,344,344,0,0,76,5,81
20200316,SC,28,235,None,None,None,None,None,None,None,None,1,None,263,263,263,1,0,81,9,90
20200315,SC,19,154,,,,,,,,,,,173,173,173,0,0,44,6,50
20200314,SC,13,110,,,,,,,,,,,123,123,123,0,0,35,1,36
20200313,SC,12,75,,,,,,,,,,,87,87,87,0,0,27,2,29
20200312,SC,10,48,,,,,,,,,,,58,58,58,0,0,16,1,17
20200311,SC,9,32,,,,,,,,,,,41,41,41,0,0,8,2,10
20200310,SC,7,24,,,,,,,,,,,31,31,31,0,0,0,0,0
20200309,SC,7,24,,,,,,,,,,,31,31,31,0,0,16,5,21
20200308,SC,2,8,,,,,,,,,,,10,10,10,0,0,0,0,0
20200307,SC,2,8,,,,,,,,,,,10,10,10,0,0,3,2,5
20200306,SC,0,5,,,,,,,,,,,5,5,5,0,0,0,0,0
20200305,SC,0,5,,,,,,,,,,,5,5,5,0,0,0,0,0
20200304,SC,0,5,,,,,,,,,,,5,5,5,None,None,None,None,None
