date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,SD,1542,10118,1,None,68,None,None,None,None,552,7,68,11661,11660,11660,0,5,467,131,598
20200417,SD,1411,9651,0,None,63,None,None,None,None,457,7,63,11062,11062,11062,0,8,412,100,512
20200416,SD,1311,9239,2,None,55,None,None,None,None,373,7,55,10552,10550,10550,1,4,548,143,691
20200415,SD,1168,8691,0,None,51,None,None,None,None,329,6,51,9859,9859,9859,0,6,383,180,563
20200414,SD,988,8308,0,None,45,None,None,None,None,261,6,45,9296,9296,9296,0,1,174,120,294
20200413,SD,868,8134,0,None,44,None,None,None,None,207,6,44,9002,9002,9002,0,1,311,138,449
20200412,SD,730,7823,0,None,43,None,None,None,None,197,6,43,8553,8553,8553,0,10,445,104,549
20200411,SD,626,7378,2,None,33,None,None,None,None,189,6,33,8006,8004,8004,0,4,267,90,357
20200410,SD,536,7111,None,None,29,None,None,None,None,177,6,29,7647,7647,7647,0,2,411,89,500
20200409,SD,447,6700,None,None,27,None,None,None,None,161,6,27,7147,7147,7147,0,1,345,54,399
20200408,SD,393,6355,0,None,26,None,None,None,None,146,6,26,6748,6748,6748,0,3,407,73,480
20200407,SD,320,5948,2,None,23,None,None,None,None,98,6,23,6270,6268,6268,2,0,216,32,248
20200406,SD,288,5732,0,None,23,None,None,None,None,91,4,23,6020,6020,6020,2,1,379,48,427
20200405,SD,240,5353,None,None,22,None,None,None,None,84,2,22,5593,5593,5593,0,3,341,28,369
20200404,SD,212,5012,1,None,19,None,None,None,None,76,2,19,5225,5224,5224,0,2,419,25,444
20200403,SD,187,4593,3,None,17,None,None,None,None,69,2,17,4783,4780,4780,0,0,376,22,398
20200402,SD,165,4217,0,None,17,None,None,None,None,57,2,17,4382,4382,4382,0,5,314,36,350
20200401,SD,129,3903,0,None,12,None,None,None,None,51,2,12,4032,4032,4032,1,0,294,21,315
20200331,SD,108,3609,0,None,12,None,None,None,None,44,1,12,3717,3717,3717,0,12,131,7,138
20200330,SD,101,3478,0,None,None,None,None,None,None,34,1,None,3579,3579,3579,0,0,351,11,362
20200329,SD,90,3127,1,None,None,None,None,None,None,29,1,None,3218,3217,3217,0,0,535,22,557
20200328,SD,68,2592,0,None,None,None,None,None,None,26,1,None,2660,2660,2660,0,0,205,10,215
20200327,SD,58,2387,20,None,None,None,None,None,None,21,1,None,2465,2445,2445,0,0,414,12,426
20200326,SD,46,1973,125,None,None,None,None,None,None,16,1,None,2144,2019,2019,0,0,1154,5,1159
20200325,SD,41,819,268,None,None,None,None,None,None,None,1,None,1128,860,860,0,0,29,11,40
20200324,SD,30,790,268,None,None,None,None,None,None,None,1,None,1088,820,820,0,0,28,2,30
20200323,SD,28,762,265,None,None,None,None,None,None,None,1,None,1055,790,790,0,0,22,7,29
20200322,SD,21,740,277,None,None,None,None,None,None,None,1,None,1038,761,761,0,0,49,7,56
20200321,SD,14,691,268,None,None,None,None,None,None,None,1,None,973,705,705,0,0,28,0,28
20200320,SD,14,663,270,None,None,None,None,None,None,None,1,None,947,677,677,0,0,112,3,115
20200319,SD,11,551,385,None,None,None,None,None,None,None,1,None,947,562,562,0,0,0,0,0
20200318,SD,11,551,350,None,None,None,None,None,None,None,1,None,912,562,562,1,0,0,0,0
20200317,SD,11,551,35,,,,,,,,,,597,562,562,0,0,57,1,58
20200316,SD,10,494,0,,,,,,,,,,504,504,504,0,0,167,1,168
20200315,SD,9,327,6,,,,,,,,,,342,336,336,0,0,145,0,145
20200314,SD,9,182,3,,,,,,,,,,194,191,191,0,0,109,0,109
20200313,SD,9,73,11,,,,,,,,,,93,82,82,0,0,46,1,47
20200312,SD,8,27,11,,,,,,,,,,46,35,35,0,0,14,3,17
20200311,SD,5,13,2,,,,,,,,,,20,18,18,0,0,2,5,7
20200310,SD,0,11,0,,,,,,,,,,11,11,11,0,0,6,0,6
20200309,SD,0,5,0,,,,,,,,,,5,5,5,0,0,0,0,0
20200308,SD,0,5,0,,,,,,,,,,5,5,5,0,0,0,0,0
20200307,SD,0,5,0,,,,,,,,,,5,5,5,None,None,None,None,None
