date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,TN,7070,90028,None,None,724,None,None,None,None,3344,148,724,97098,97098,97098,3,5,6204,308,6512
20200418,TN,6762,83824,None,None,719,None,None,None,None,3234,145,719,90586,90586,90586,3,8,3140,173,3313
20200417,TN,6589,80684,None,None,711,None,None,None,None,3017,142,711,87273,87273,87273,1,20,1897,327,2224
20200416,TN,6262,78787,None,None,691,None,None,None,None,2786,141,691,85049,85049,85049,6,28,3970,183,4153
20200415,TN,6079,74817,None,None,663,None,None,None,None,2196,135,663,80896,80896,80896,11,30,1809,256,2065
20200414,TN,5823,73008,None,None,633,None,None,None,None,1969,124,633,78831,78831,78831,15,54,2423,213,2636
20200413,TN,5610,70585,None,None,579,None,None,None,None,1671,109,579,76195,76195,76195,8,12,5216,302,5518
20200412,TN,5308,65369,None,None,567,None,None,None,None,1504,101,567,70677,70677,70677,0,11,3655,194,3849
20200411,TN,5114,61714,None,None,556,None,None,None,None,1386,101,556,66828,66828,66828,3,20,3777,252,4029
20200410,TN,4862,57937,None,None,536,None,None,None,None,1145,98,536,62799,62799,62799,4,31,2722,228,2950
20200409,TN,4634,55215,None,None,505,None,None,None,None,921,94,505,59849,59849,59849,15,56,2959,272,3231
20200408,TN,4362,52256,None,None,449,None,None,None,None,592,79,449,56618,56618,56618,7,41,3520,224,3744
20200407,TN,4138,48736,None,None,408,None,None,None,None,466,72,408,52874,52874,52874,7,56,5188,336,5524
20200406,TN,3802,43548,None,None,352,None,None,None,None,356,65,352,47350,47350,47350,21,24,1881,169,2050
20200405,TN,3633,41667,None,None,328,None,None,None,None,295,44,328,45300,45300,45300,1,17,3597,312,3909
20200404,TN,3321,38070,None,None,311,None,None,None,None,416,43,311,41391,41391,41391,6,18,3298,254,3552
20200403,TN,3067,34772,None,None,293,None,None,None,None,248,37,293,37839,37839,37839,5,30,3006,222,3228
20200402,TN,2845,31766,None,None,263,None,None,None,None,220,32,263,34611,34611,34611,8,63,1997,162,2159
20200401,TN,2683,29769,None,None,200,None,None,None,None,137,24,200,32452,32452,32452,1,25,4648,444,5092
20200331,TN,2239,25121,None,None,175,None,None,None,None,121,23,175,27360,27360,27360,10,27,3651,405,4056
20200330,TN,1834,21470,None,None,148,None,None,None,None,None,13,148,23304,23304,23304,6,15,2433,297,2730
20200329,TN,1537,19037,None,None,133,None,None,None,None,None,7,133,20574,20574,20574,1,15,2072,164,2236
20200328,TN,1373,16965,None,None,118,None,None,None,None,None,6,118,18338,18338,18338,0,15,2077,170,2247
20200327,TN,1203,14888,None,None,103,None,None,None,None,None,6,103,16091,16091,16091,3,27,936,246,1182
20200326,TN,957,13952,None,None,76,None,None,None,None,None,3,76,14909,14909,14909,0,23,2940,173,3113
20200325,TN,784,11012,None,None,53,None,None,None,None,None,3,53,11796,11796,11796,1,53,495,117,612
20200324,TN,667,10517,None,None,None,None,None,None,None,None,2,None,11184,11184,11184,0,0,7245,52,7297
20200323,TN,615,3272,None,None,None,None,None,None,None,None,2,None,3887,3887,3887,2,0,0,110,110
20200322,TN,505,3272,,,,,,,,,,,3777,3777,3777,0,0,0,134,134
20200321,TN,371,3272,,,,,,,,,,,3643,3643,3643,0,0,2709,143,2852
20200320,TN,228,563,,,,,,,,,,,791,791,791,0,0,214,74,288
20200319,TN,154,349,,,,,,,,,,,503,503,503,0,0,0,56,56
20200318,TN,98,349,,,,,,,,,,,447,447,447,0,0,19,25,44
20200317,TN,73,330,,,,,,,,,,,403,403,403,0,0,60,21,81
20200316,TN,52,270,,,,,,,,,,,322,322,322,0,0,113,13,126
20200315,TN,39,157,,,,,,,,,,,196,196,196,0,0,27,7,34
20200314,TN,32,130,,,,,,,,,,,162,162,162,0,0,14,6,20
20200313,TN,26,116,,,,,,,,,,,142,142,142,0,0,37,8,45
20200312,TN,18,79,,,,,,,,,,,97,97,97,0,0,29,11,40
20200311,TN,7,50,,,,,,,,,,,57,57,57,0,0,50,0,50
20200310,TN,7,,,,,,,,,,,,7,7,7,0,0,0,4,4
20200309,TN,3,,,,,,,,,,,,3,3,3,0,0,0,0,0
20200308,TN,3,,,,,,,,,,,,3,3,3,0,0,0,2,2
20200307,TN,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200306,TN,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200305,TN,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
