date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,TX,18923,163787,None,1471,None,None,None,None,None,5334,477,None,182710,182710,182710,24,0,5808,663,6471
20200418,TX,18260,157979,None,1321,None,None,None,None,None,4806,453,None,176239,176239,176239,25,0,5814,889,6703
20200417,TX,17371,152165,None,1522,None,None,None,None,None,4190,428,None,169536,169536,169536,35,0,10073,916,10989
20200416,TX,16455,142092,None,1459,None,None,None,None,None,3677,393,None,158547,158547,158547,29,0,5774,963,6737
20200415,TX,15492,136318,None,1538,None,None,None,None,None,3150,364,None,151810,151810,151810,46,0,4475,868,5343
20200414,TX,14624,131843,None,1409,None,None,None,None,None,2580,318,None,146467,146467,146467,31,0,12523,718,13241
20200413,TX,13906,119320,None,1176,None,None,None,None,None,2269,287,None,133226,133226,133226,16,0,8271,422,8693
20200412,TX,13484,111049,None,1338,None,None,None,None,None,2014,271,None,124533,124533,124533,17,0,3077,923,4000
20200411,TX,12561,107972,None,1514,None,None,None,None,None,1617,254,None,120533,120533,120533,28,0,3925,890,4815
20200410,TX,11671,104047,None,1532,None,None,None,None,None,1366,226,None,115718,115718,115718,27,0,8143,1441,9584
20200409,TX,10230,95904,None,1439,None,None,None,None,None,1101,199,None,106134,106134,106134,22,0,8999,877,9876
20200408,TX,9353,86905,None,1491,None,None,None,None,None,38,177,None,96258,96258,96258,23,0,6518,1091,7609
20200407,TX,8262,80387,None,1252,None,None,None,None,None,38,154,None,88649,88649,88649,14,0,2306,986,3292
20200406,TX,7276,78081,None,1153,None,None,None,None,None,38,140,None,85357,85357,85357,13,0,13955,464,14419
20200405,TX,6812,64126,None,827,None,None,None,None,None,38,127,None,70938,70938,70938,22,0,6485,702,7187
20200404,TX,6110,57641,None,196,None,None,None,None,None,38,105,None,63751,63751,63751,15,0,7207,780,7987
20200403,TX,5330,50434,None,196,None,None,None,None,None,38,90,None,55764,55764,55764,20,0,4424,661,5085
20200402,TX,4669,46010,None,196,None,None,None,None,None,38,70,None,50679,50679,50679,12,0,2150,672,2822
20200401,TX,3997,43860,None,196,None,None,None,None,None,38,58,None,47857,47857,47857,17,0,4134,731,4865
20200331,TX,3266,39726,None,196,None,None,None,None,None,38,41,None,42992,42992,42992,7,0,6723,389,7112
20200330,TX,2877,33003,None,None,None,None,None,None,None,38,34,None,35880,35880,35880,0,0,9795,325,10120
20200329,TX,2552,23208,None,None,None,None,None,None,None,None,34,None,25760,25760,25760,7,0,0,500,500
20200328,TX,2052,23208,None,None,None,None,None,None,None,None,27,None,25260,25260,25260,4,0,1273,321,1594
20200327,TX,1731,21935,None,None,None,None,None,None,None,None,23,None,23666,23666,23666,5,0,1907,335,2242
20200326,TX,1396,20028,None,None,None,None,None,None,None,None,18,None,21424,21424,21424,6,0,7508,422,7930
20200325,TX,974,12520,None,None,None,None,None,None,None,None,12,None,13494,13494,13494,3,0,1763,564,2327
20200324,TX,410,10757,None,None,None,None,None,None,None,None,9,None,11167,11167,11167,1,0,1054,58,1112
20200323,TX,352,9703,None,None,None,None,None,None,None,None,8,None,10055,10055,10055,3,0,1281,18,1299
20200322,TX,334,8422,None,None,None,None,None,None,None,None,5,None,8756,8756,8756,0,0,2204,30,2234
20200321,TX,304,6218,None,None,None,None,None,None,None,None,5,None,6522,6522,6522,0,0,1135,110,1245
20200320,TX,194,5083,None,None,None,None,None,None,None,None,5,None,5277,5277,5277,2,0,2871,51,2922
20200319,TX,143,2212,None,None,None,None,None,None,None,None,3,None,2355,2355,2355,1,0,388,60,448
20200318,TX,83,1824,None,None,None,None,None,None,None,None,2,None,1907,1907,1907,1,0,620,19,639
20200317,TX,64,1204,None,None,None,None,None,None,None,None,1,None,1268,1268,1268,1,0,1204,7,1211
20200316,TX,57,,,,,,,,,,,,57,57,57,0,0,0,1,1
20200315,TX,56,,,,,,,,,,,,56,56,56,0,0,0,5,5
20200314,TX,51,,,,,,,,,,,,51,51,51,0,0,0,12,12
20200313,TX,39,,,,,,,,,,,,39,39,39,0,0,0,16,16
20200312,TX,23,,,,,,,,,,,,23,23,23,0,0,0,2,2
20200311,TX,21,,,,,,,,,,,,21,21,21,0,0,0,8,8
20200310,TX,13,,,,,,,,,,,,13,13,13,0,0,0,1,1
20200309,TX,12,,,,,,,,,,,,12,12,12,0,0,0,4,4
20200308,TX,8,,,,,,,,,,,,8,8,8,0,0,0,0,0
20200307,TX,8,,,,,,,,,,,,8,8,8,0,0,0,3,3
20200306,TX,5,,,,,,,,,,,,5,5,5,0,0,0,4,4
20200305,TX,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200304,TX,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
