date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,UT,3445,73015,None,None,288,None,None,None,None,970,34,288,76460,76460,76460,2,11,3953,149,4102
20200421,UT,3296,69062,None,None,277,None,None,None,None,888,32,277,72358,72358,72358,4,9,3964,83,4047
20200420,UT,3213,65098,None,None,268,None,None,None,None,776,28,268,68311,68311,68311,1,9,4612,144,4756
20200419,UT,3069,60486,None,None,259,None,None,None,None,679,27,259,63555,63555,63555,2,8,3473,138,3611
20200418,UT,2931,57013,None,None,251,None,None,None,None,565,25,251,59944,59944,59944,2,7,4047,126,4173
20200417,UT,2805,52966,None,None,244,None,None,None,None,443,23,244,55771,55771,55771,2,6,5971,122,6093
20200416,UT,2683,46995,None,None,238,None,None,None,None,357,21,238,49678,49678,49678,1,17,1923,141,2064
20200415,UT,2542,45072,None,None,221,None,None,None,None,218,20,221,47614,47614,47614,1,8,1008,130,1138
20200414,UT,2412,44064,None,None,213,None,None,None,None,218,19,213,46476,46476,46476,1,12,640,49,689
20200413,UT,2363,43424,None,None,201,None,None,None,None,218,18,201,45787,45787,45787,0,6,1493,60,1553
20200412,UT,2303,41931,None,None,195,None,None,None,None,None,18,195,44234,44234,44234,0,5,1591,97,1688
20200411,UT,2206,40340,None,None,190,None,None,None,None,None,18,190,42546,42546,42546,1,7,1680,104,1784
20200410,UT,2102,38660,None,None,183,None,None,None,None,None,17,183,40762,40762,40762,4,15,2263,126,2389
20200409,UT,1976,36397,None,None,168,None,None,None,None,None,13,168,38373,38373,38373,0,10,2127,130,2257
20200408,UT,1846,34270,None,None,158,None,None,None,None,None,13,158,36116,36116,36116,0,10,1361,108,1469
20200407,UT,1738,32909,None,None,148,None,None,None,None,None,13,148,34647,34647,34647,0,10,1190,63,1253
20200406,UT,1675,31719,None,None,138,None,None,None,None,None,13,138,33394,33394,33394,5,14,2432,70,2502
20200405,UT,1605,29287,None,None,124,None,None,None,None,None,8,124,30892,30892,30892,0,7,2672,177,2849
20200404,UT,1428,26615,None,None,117,None,None,None,None,None,8,117,28043,28043,28043,1,11,3613,182,3795
20200403,UT,1246,23002,None,None,106,None,None,None,None,None,7,106,24248,24248,24248,0,6,2847,172,3019
20200402,UT,1074,20155,None,None,100,None,None,None,None,None,7,100,21229,21229,21229,0,9,0,62,62
20200401,UT,1012,20155,None,None,91,None,None,None,None,None,7,91,21167,21167,21167,2,18,2529,125,2654
20200331,UT,887,17626,None,None,73,None,None,None,None,None,5,73,18513,18513,18513,1,73,2429,81,2510
20200330,UT,806,15197,None,None,None,None,None,None,None,None,4,None,16003,16003,16003,2,0,1923,87,2010
20200329,UT,719,13274,None,None,None,None,None,None,None,None,2,None,13993,13993,13993,0,0,2564,117,2681
20200328,UT,602,10710,None,None,None,None,None,None,None,None,2,None,11312,11312,11312,0,0,1946,122,2068
20200327,UT,480,8764,None,None,None,None,None,None,None,None,2,None,9244,9244,9244,1,0,1456,78,1534
20200326,UT,402,7308,None,None,None,None,None,None,None,None,1,None,7710,7710,7710,0,0,817,56,873
20200325,UT,346,6491,None,None,None,None,None,None,None,None,1,None,6837,6837,6837,0,0,967,47,1014
20200324,UT,299,5524,None,None,None,None,None,None,None,None,1,None,5823,5823,5823,0,0,734,42,776
20200323,UT,257,4790,None,None,None,None,None,None,None,None,1,None,5047,5047,5047,0,0,1282,76,1358
20200322,UT,181,3508,None,None,None,None,None,None,None,None,1,None,3689,3689,3689,1,0,1084,45,1129
20200321,UT,136,2424,None,None,None,None,None,None,None,None,0,None,2560,2560,2560,0,0,389,24,413
20200320,UT,112,2035,None,None,None,None,None,None,None,None,0,None,2147,2147,2147,0,0,587,34,621
20200319,UT,78,1448,None,None,None,None,None,None,None,None,0,None,1526,1526,1526,0,0,1317,15,1332
20200318,UT,63,131,None,None,None,None,None,None,None,None,0,None,194,194,194,0,0,0,12,12
20200317,UT,51,131,None,None,None,None,None,None,None,None,0,None,182,182,182,0,0,0,12,12
20200316,UT,39,131,None,None,None,None,None,None,None,None,0,None,170,170,170,0,0,0,11,11
20200315,UT,28,131,None,None,None,None,None,None,None,None,0,None,159,159,159,0,0,0,22,22
20200314,UT,6,131,,,,,,,,,,,137,137,137,0,0,0,0,0
20200313,UT,6,131,,,,,,,,,,,137,137,137,0,0,0,2,2
20200312,UT,4,131,,,,,,,,,,,135,135,135,0,0,131,2,133
20200311,UT,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200310,UT,2,,,,,,,,,,,,2,2,2,0,0,0,1,1
20200309,UT,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200308,UT,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200307,UT,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
