date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,VA,8053,43878,486,1307,1296,398,None,230,None,1228,258,1296,52417,51931,51931,27,75,2372,562,2934
20200417,VA,7491,41506,499,1308,1221,400,None,224,None,1110,231,1221,49496,48997,48997,23,107,1951,602,2553
20200416,VA,6889,39555,537,1337,1114,427,None,238,None,951,208,1114,46981,46444,46444,13,66,1886,389,2275
20200415,VA,6500,37669,496,1298,1048,394,None,234,None,752,195,1048,44665,44169,44169,41,1048,1077,329,1406
20200414,VA,6171,36592,469,1282,None,422,None,276,None,721,154,None,43232,42763,42763,5,0,938,424,1362
20200413,VA,5747,35654,473,1238,None,428,None,302,None,None,149,None,41874,41401,41401,8,0,943,473,1416
20200412,VA,5274,34711,521,751,None,734,None,294,None,None,141,None,40506,39985,39985,11,0,1789,197,1986
20200411,VA,5077,32922,517,1252,None,709,None,283,None,None,130,None,38516,37999,37999,9,0,1972,568,2540
20200410,VA,4509,30950,521,1238,772,457,None,287,None,None,121,772,35980,35459,35459,12,87,1966,467,2433
20200409,VA,4042,28984,627,669,685,469,None,285,None,None,109,685,33653,33026,33026,34,70,1984,397,2381
20200408,VA,3645,27000,None,None,615,None,145,None,108,None,75,615,30645,30645,30645,12,52,1688,312,2000
20200407,VA,3333,25312,None,None,563,None,145,None,108,None,63,563,28645,28645,28645,9,66,3669,455,4124
20200406,VA,2878,21643,None,None,497,None,145,None,108,None,54,497,24521,24521,24521,3,66,609,241,850
20200405,VA,2637,21034,None,None,431,None,145,None,108,None,51,431,23671,23671,23671,-1,41,1889,230,2119
20200404,VA,2407,19145,None,None,390,None,145,None,108,None,52,390,21552,21552,21552,6,78,2152,395,2547
20200403,VA,2012,16993,None,None,312,None,145,None,108,None,46,312,19005,19005,19005,5,7,1110,306,1416
20200402,VA,1706,15883,None,246,305,None,145,None,108,None,41,305,17589,17589,17589,7,0,2023,222,2245
20200401,VA,1484,13860,None,None,305,None,145,None,108,None,34,305,15344,15344,15344,7,140,1709,234,1943
20200331,VA,1250,12151,None,None,165,None,None,None,None,None,27,165,13401,13401,13401,2,29,1133,230,1363
20200330,VA,1020,11018,None,None,136,None,None,None,None,None,25,136,12038,12038,12038,3,24,1299,130,1429
20200329,VA,890,9719,None,None,112,None,None,None,None,None,22,112,10609,10609,10609,5,13,1292,151,1443
20200328,VA,739,8427,None,None,99,None,None,None,None,None,17,99,9166,9166,9166,3,16,1694,135,1829
20200327,VA,604,6733,None,None,83,None,None,None,None,None,14,83,7337,7337,7337,1,18,1004,144,1148
20200326,VA,460,5729,None,None,65,None,None,None,None,None,13,65,6189,6189,6189,4,6,750,69,819
20200325,VA,391,4979,None,None,59,None,None,None,None,None,9,59,5370,5370,5370,2,14,799,101,900
20200324,VA,290,4180,None,None,45,None,None,None,None,None,7,45,4470,4470,4470,1,7,737,36,773
20200323,VA,254,3443,None,None,38,None,None,None,None,None,6,38,3697,3697,3697,3,6,325,35,360
20200322,VA,219,3118,None,None,32,None,None,None,None,None,3,32,3337,3337,3337,1,7,480,67,547
20200321,VA,152,2638,None,None,25,None,None,None,None,None,2,25,2790,2790,2790,0,25,427,38,465
20200320,VA,114,2211,None,None,None,None,None,None,None,None,2,None,2325,2325,2325,0,0,382,20,402
20200319,VA,94,1829,None,None,None,None,None,None,None,None,2,None,1923,1923,1923,1,0,628,17,645
20200318,VA,77,1201,None,None,None,None,None,None,None,None,1,None,1278,1278,1278,0,0,240,10,250
20200317,VA,67,961,None,None,None,None,None,None,None,None,1,None,1028,1028,1028,0,0,523,16,539
20200316,VA,51,438,None,None,None,None,None,None,None,None,1,None,489,489,489,0,0,75,6,81
20200315,VA,45,363,None,None,None,None,None,None,None,None,1,None,408,408,408,1,0,246,15,261
20200314,VA,30,117,,,,,,,,,,,147,147,147,0,0,0,0,0
20200313,VA,30,117,,,,,,,,,,,147,147,147,0,0,0,13,13
20200312,VA,17,117,,,,,,,,,,,134,134,134,0,0,57,8,65
20200311,VA,9,60,,,,,,,,,,,69,69,69,0,0,7,1,8
20200310,VA,8,53,,,,,,,,,,,61,61,61,0,0,15,5,20
20200309,VA,3,38,9,,,,,,,,,,50,41,41,0,0,2,1,3
20200308,VA,2,36,6,,,,,,,,,,44,38,38,0,0,5,2,7
20200307,VA,0,31,7,,,,,,,,,,38,31,31,0,0,10,0,10
20200306,VA,0,21,10,,,,,,,,,,31,21,21,0,0,3,0,3
20200305,VA,0,18,3,,,,,,,,,,21,18,18,None,None,None,None,None
