date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,VI,53,390,35,None,None,None,None,None,None,46,3,None,478,443,443,1,0,17,2,19
20200417,VI,51,373,34,None,None,None,None,None,None,46,2,None,458,424,424,1,0,16,0,16
20200416,VI,51,357,35,None,None,None,None,None,None,46,1,None,443,408,408,0,0,26,0,26
20200415,VI,51,331,35,None,None,None,None,None,None,44,1,None,417,382,382,0,0,5,0,5
20200414,VI,51,326,23,None,None,None,None,None,None,44,1,None,400,377,377,0,0,4,0,4
20200413,VI,51,322,2,None,None,None,None,None,None,43,1,None,375,373,373,0,0,23,0,23
20200412,VI,51,299,20,3,None,None,None,None,None,43,1,None,370,350,350,0,0,0,0,0
20200411,VI,51,299,20,3,None,None,None,None,None,43,1,None,370,350,350,0,0,26,1,27
20200410,VI,50,273,45,3,None,None,None,None,None,43,1,None,368,323,323,0,0,22,4,26
20200409,VI,46,251,42,None,None,None,None,None,None,39,1,None,339,297,297,0,0,9,1,10
20200408,VI,45,242,35,None,None,None,None,None,None,39,1,None,322,287,287,0,0,20,2,22
20200407,VI,43,222,20,None,None,None,None,None,None,36,1,None,285,265,265,0,0,0,0,0
20200406,VI,43,222,20,None,None,None,None,None,None,36,1,None,285,265,265,0,0,16,1,17
20200405,VI,42,206,18,None,None,None,None,None,None,34,1,None,266,248,248,1,0,22,2,24
20200404,VI,40,184,42,None,None,None,None,None,None,34,,None,266,224,224,0,0,30,2,32
20200403,VI,38,154,56,None,None,None,None,None,None,29,,None,248,192,192,0,0,5,5,10
20200402,VI,33,149,42,None,None,None,None,None,None,25,,None,224,182,182,0,0,23,3,26
20200401,VI,30,126,24,None,None,None,None,None,None,21,,None,180,156,156,0,0,0,0,0
20200331,VI,30,126,24,None,None,None,None,None,None,21,,None,180,156,156,0,0,0,0,0
20200330,VI,30,126,24,,,,,,,,,,180,156,156,0,0,3,7,10
20200329,VI,23,123,37,,,,,,,,,,183,146,146,0,0,17,1,18
20200328,VI,22,106,55,,,,,,,,,,183,128,128,0,0,51,3,54
20200327,VI,19,55,2,,,,,,,,,,76,74,74,0,0,0,2,2
20200326,VI,17,55,2,,,,,,,,,,74,72,72,0,0,0,0,0
20200325,VI,17,55,2,,,,,,,,,,74,72,72,0,0,55,0,55
20200324,VI,17,,,,,,,,,,,,17,17,17,0,0,0,0,0
20200323,VI,17,,,,,,,,,,,,17,17,17,0,0,0,11,11
20200322,VI,6,,,,,,,,,,,,6,6,6,0,0,0,0,0
20200321,VI,6,,,,,,,,,,,,6,6,6,0,0,0,3,3
20200320,VI,3,,,,,,,,,,,,3,3,3,0,0,0,0,0
20200319,VI,3,,,,,,,,,,,,3,3,3,0,0,0,1,1
20200318,VI,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200317,VI,2,,,,,,,,,,,,2,2,2,0,0,0,1,1
20200316,VI,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
