date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,VT,812,11914,None,53,None,None,None,None,None,15,38,None,12726,12726,12726,0,0,151,9,160
20200418,VT,803,11763,None,56,None,None,None,None,None,15,38,None,12566,12566,12566,3,0,426,24,450
20200417,VT,779,11337,None,32,None,None,None,None,None,15,35,None,12116,12116,12116,0,0,598,11,609
20200416,VT,768,10739,None,58,None,None,None,None,None,15,35,None,11507,11507,11507,5,0,417,9,426
20200415,VT,759,10322,None,63,None,None,None,None,None,15,30,None,11081,11081,11081,1,0,489,7,496
20200414,VT,752,9833,None,64,None,None,None,None,None,15,29,None,10585,10585,10585,1,0,215,4,219
20200413,VT,748,9618,None,33,None,None,None,None,None,15,28,None,10366,10366,10366,1,0,504,21,525
20200412,VT,727,9114,None,34,None,None,None,None,None,15,27,None,9841,9841,9841,2,0,567,16,583
20200411,VT,711,8547,None,77,None,None,None,None,None,15,25,None,9258,9258,9258,1,0,994,32,1026
20200410,VT,679,7553,None,32,None,None,None,None,None,15,24,None,8232,8232,8232,1,0,0,51,51
20200409,VT,628,7553,None,33,None,None,None,None,None,15,23,None,8181,8181,8181,0,0,409,23,432
20200408,VT,605,7144,None,35,50,None,None,None,None,15,23,50,7749,7749,7749,0,5,590,30,620
20200407,VT,575,6554,None,29,45,None,None,None,None,15,23,45,7129,7129,7129,0,0,464,32,496
20200406,VT,543,6090,None,28,45,None,None,None,None,15,23,45,6633,6633,6633,1,0,20,31,51
20200405,VT,512,6070,None,29,45,None,None,None,None,15,22,45,6582,6582,6582,2,0,687,51,738
20200404,VT,461,5383,None,29,45,None,None,None,None,15,20,45,5844,5844,5844,3,0,544,72,616
20200403,VT,389,4839,None,29,45,None,None,None,None,15,17,45,5228,5228,5228,0,0,128,51,179
20200402,VT,338,4711,None,29,45,None,None,None,None,15,17,45,5049,5049,5049,1,0,537,17,554
20200401,VT,321,4174,None,30,45,None,None,None,None,15,16,45,4495,4495,4495,3,9,217,28,245
20200331,VT,293,3957,None,21,36,None,None,None,None,15,13,36,4250,4250,4250,1,18,283,37,320
20200330,VT,256,3674,None,None,18,None,None,None,None,None,12,18,3930,3930,3930,0,0,208,21,229
20200329,VT,235,3466,None,None,18,None,None,None,None,None,12,18,3701,3701,3701,0,0,1303,24,1327
20200328,VT,211,2163,None,None,18,None,None,None,None,None,12,18,2374,2374,2374,2,0,86,27,113
20200327,VT,184,2077,None,None,18,None,None,None,None,None,10,18,2261,2261,2261,1,18,227,26,253
20200326,VT,158,1850,None,None,None,None,None,None,None,None,9,None,2008,2008,2008,1,0,261,35,296
20200325,VT,123,1589,None,None,None,None,None,None,None,None,8,None,1712,1712,1712,1,0,149,28,177
20200324,VT,95,1440,None,None,None,None,None,None,None,None,7,None,1535,1535,1535,2,0,334,20,354
20200323,VT,75,1106,None,None,None,None,None,None,None,None,5,None,1181,1181,1181,3,0,0,23,23
20200322,VT,52,1106,None,None,None,None,None,None,None,None,2,None,1158,1158,1158,0,0,327,23,350
20200321,VT,29,779,None,None,None,None,None,None,None,None,2,None,808,808,808,0,0,0,0,0
20200320,VT,29,779,None,None,None,None,None,None,None,None,2,None,808,808,808,2,0,134,7,141
20200319,VT,22,645,,,,,,,,,,,667,667,667,0,0,53,3,56
20200318,VT,19,592,,,,,,,,,,,611,611,611,0,0,97,9,106
20200317,VT,10,495,,,,,,,,,,,505,505,505,0,0,74,2,76
20200316,VT,8,421,,,,,,,,,,,429,429,429,0,0,73,4,77
20200315,VT,4,348,,,,,,,,,,,352,352,352,0,0,121,0,121
20200314,VT,4,227,,,,,,,,,,,231,231,231,0,0,85,2,87
20200313,VT,2,142,,,,,,,,,,,144,144,144,0,0,45,0,45
20200312,VT,2,97,,,,,,,,,,,99,99,99,0,0,35,1,36
20200311,VT,1,62,,,,,,,,,,,63,63,63,0,0,22,0,22
20200310,VT,1,40,,,,,,,,,,,41,41,41,0,0,6,0,6
20200309,VT,1,34,,,,,,,,,,,35,35,35,0,0,6,0,6
20200308,VT,1,28,,,,,,,,,,,29,29,29,0,0,12,1,13
20200307,VT,0,16,,,,,,,,,,,16,16,16,0,0,8,0,8
20200306,VT,0,8,,,,,,,,,,,8,8,8,None,None,None,None,None
