date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,WA,11802,123904,None,586,None,193,None,None,None,None,624,None,135706,135706,135706,21,0,3722,357,4079
20200418,WA,11445,120182,None,518,None,155,None,None,None,None,603,None,131627,131627,131627,20,0,2434,293,2727
20200417,WA,11152,117748,None,622,None,195,None,None,None,None,583,None,128900,128900,128900,16,0,4248,369,4617
20200416,WA,10783,113500,None,595,None,196,None,None,None,None,567,None,124283,124283,124283,26,0,1340,89,1429
20200415,WA,10694,112160,None,645,None,194,None,None,None,None,541,None,122854,122854,122854,25,0,28769,156,28925
20200414,WA,10538,83391,None,387,None,98,None,None,None,None,516,None,93929,93929,93929,8,0,0,127,127
20200413,WA,10411,83391,None,527,None,166,None,None,None,None,508,None,93802,93802,93802,17,0,0,187,187
20200412,WA,10224,83391,None,642,None,191,None,None,None,None,491,None,93615,93615,93615,0,0,0,0,0
20200411,WA,10224,83391,None,649,None,191,None,None,None,None,491,None,93615,93615,93615,45,0,0,0,0
20200410,WA,10224,83391,None,642,None,191,None,None,None,None,446,None,93615,93615,93615,0,0,0,455,455
20200409,WA,9769,83391,None,650,None,191,None,None,None,None,446,None,93160,93160,93160,0,0,0,263,263
20200408,WA,9506,83391,None,655,None,186,None,None,None,None,446,None,92897,92897,92897,53,0,0,463,463
20200407,WA,9043,83391,None,641,None,190,None,None,None,None,393,None,92434,92434,92434,15,0,0,364,364
20200406,WA,8679,83391,None,638,None,191,None,None,None,None,378,None,92070,92070,92070,13,0,3064,347,3411
20200405,WA,8332,80327,None,581,None,178,None,None,None,None,365,None,88659,88659,88659,20,0,4694,398,5092
20200404,WA,7934,75633,None,574,None,174,None,None,None,None,345,None,83567,83567,83567,20,0,2800,386,3186
20200403,WA,7548,72833,None,None,None,None,None,None,None,None,325,None,80381,80381,80381,29,0,4019,586,4605
20200402,WA,6962,68814,None,None,None,None,None,None,None,None,296,None,75776,75776,75776,26,0,8248,369,8617
