date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,WI,4199,43962,229,361,1176,135,307,None,None,None,211,1176,48390,48161,48161,6,23,1597,154,1751
20200417,WI,4045,42365,198,361,1153,141,306,348,None,None,205,1153,46608,46410,46410,8,32,1391,170,1561
20200416,WI,3875,40974,218,394,1121,147,299,None,None,None,197,1121,45067,44849,44849,15,30,1648,154,1802
20200415,WI,3721,39326,280,406,1091,163,290,None,None,None,182,1091,43327,43047,43047,12,42,1329,166,1495
20200414,WI,3555,37997,277,432,1049,161,283,None,None,None,170,1049,41829,41552,41552,16,56,1228,127,1355
20200413,WI,3428,36769,273,442,993,175,264,None,None,None,154,993,40470,40197,40197,10,19,853,87,940
20200412,WI,3341,35916,None,442,974,179,261,None,None,None,144,974,39257,39257,39257,7,24,1236,128,1364
20200411,WI,3213,34680,None,444,950,179,257,None,None,None,137,950,37893,37893,37893,9,46,1455,145,1600
20200410,WI,3068,33225,None,None,904,190,247,None,None,None,128,904,36293,36293,36293,17,61,1801,183,1984
20200409,WI,2885,31424,None,None,843,None,230,None,None,None,111,843,34309,34309,34309,12,53,1309,129,1438
20200408,WI,2756,30115,None,None,790,None,218,None,None,None,99,790,32871,32871,32871,7,45,1603,178,1781
20200407,WI,2578,28512,None,None,745,None,200,None,None,None,92,745,31090,31090,31090,15,77,1938,138,2076
20200406,WI,2440,26574,None,None,668,None,186,None,None,None,77,668,29014,29014,29014,9,44,1405,173,1578
20200405,WI,2267,25169,None,None,624,None,175,None,None,None,68,624,27436,27436,27436,12,36,1310,155,1465
20200404,WI,2112,23859,None,None,588,None,None,None,None,None,56,588,25971,25971,25971,19,101,1482,200,1682
20200403,WI,1912,22377,None,None,487,None,None,None,None,None,37,487,24289,24289,24289,6,26,2060,182,2242
20200402,WI,1730,20317,None,None,461,None,None,None,None,None,31,461,22047,22047,22047,7,63,1498,180,1678
20200401,WI,1550,18819,None,None,398,None,None,None,None,None,24,398,20369,20369,20369,8,61,1444,199,1643
20200331,WI,1351,17375,None,None,337,None,None,None,None,None,16,337,18726,18726,18726,2,337,1519,130,1649
20200330,WI,1221,15856,None,None,None,None,None,None,None,None,14,None,17077,17077,17077,1,0,-694,109,-585
20200329,WI,1112,16550,None,None,None,None,None,None,None,None,13,None,17662,17662,17662,0,0,1318,123,1441
20200328,WI,989,15232,None,None,None,None,None,None,None,None,13,None,16221,16221,16221,0,0,2092,147,2239
20200327,WI,842,13140,None,None,None,None,None,None,None,None,13,None,13982,13982,13982,5,0,1557,135,1692
20200326,WI,707,11583,None,None,None,None,None,None,None,None,8,None,12290,12290,12290,1,0,1494,122,1616
20200325,WI,585,10089,None,None,None,None,None,None,None,None,7,None,10674,10674,10674,2,0,1852,128,1980
20200324,WI,457,8237,None,None,None,None,None,None,None,None,5,None,8694,8694,8694,0,0,1187,41,1228
20200323,WI,416,7050,None,None,None,None,None,None,None,None,5,None,7466,7466,7466,1,0,820,31,851
20200322,WI,385,6230,None,None,None,None,None,None,None,None,4,None,6615,6615,6615,0,0,1602,104,1706
20200321,WI,281,4628,None,None,None,None,None,None,None,None,4,None,4909,4909,4909,1,0,1173,75,1248
20200320,WI,206,3455,None,None,None,None,None,None,None,None,3,None,3661,3661,3661,3,0,1263,51,1314
20200319,WI,155,2192,,,,,,,,,,,2347,2347,2347,0,0,615,49,664
20200318,WI,106,1577,,,,,,,,,,,1683,1683,1683,0,0,539,34,573
20200317,WI,72,1038,,,,,,,,,,,1110,1110,1110,0,0,534,25,559
20200316,WI,47,504,,,,,,,,,,,551,551,551,0,0,191,14,205
20200315,WI,33,313,,,,,,,,,,,346,346,346,0,0,144,14,158
20200314,WI,19,169,,,,,,,,,,,188,188,188,0,0,0,0,0
20200313,WI,19,169,,,,,,,,,,,188,188,188,0,0,85,11,96
20200312,WI,8,84,,,,,,,,,,,92,92,92,0,0,41,5,46
20200311,WI,3,43,,,,,,,,,,,46,46,46,0,0,7,1,8
20200310,WI,2,36,,,,,,,,,,,38,38,38,0,0,0,1,1
20200309,WI,1,36,,,,,,,,,,,37,37,37,0,0,5,0,5
20200308,WI,1,31,12,,,,,,,,,,44,32,32,0,0,0,0,0
20200307,WI,1,31,12,,,,,,,,,,44,32,32,0,0,0,0,0
20200306,WI,1,31,12,,,,,,,,,,44,32,32,0,0,12,0,12
20200305,WI,1,19,6,,,,,,,,,,26,20,20,0,0,0,0,0
20200304,WI,1,19,6,,,,,,,,,,26,20,20,None,None,None,None,None
