date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200419,WV,863,19168,None,72,None,37,None,25,None,265,18,None,20031,20031,20031,2,0,513,78,591
20200418,WV,785,18655,None,83,None,40,None,27,None,255,16,None,19440,19440,19440,3,0,728,31,759
20200417,WV,754,17927,None,85,None,34,None,24,None,223,13,None,18681,18681,18681,0,0,360,15,375
20200416,WV,739,17567,None,85,None,34,None,24,None,223,13,None,18306,18306,18306,3,0,613,37,650
20200415,WV,702,16954,None,82,164,36,73,23,50,211,10,164,17656,17656,17656,1,0,556,62,618
20200414,WV,640,16398,None,87,164,38,73,25,50,147,9,164,17038,17038,17038,0,0,369,14,383
20200413,WV,626,16029,None,95,164,43,73,23,50,85,9,164,16655,16655,16655,1,164,383,15,398
20200412,WV,611,15646,None,81,None,36,None,24,None,83,8,None,16257,16257,16257,3,0,771,34,805
20200411,WV,577,14875,None,85,None,40,None,22,None,63,5,None,15452,15452,15452,0,0,874,23,897
20200410,WV,554,14001,None,85,None,20,None,22,None,63,5,None,14555,14555,14555,0,0,661,31,692
20200409,WV,523,13340,None,None,None,None,None,None,None,None,5,None,13863,13863,13863,1,0,1257,61,1318
20200408,WV,462,12083,None,None,None,None,None,None,None,None,4,None,12545,12545,12545,0,0,436,50,486
20200407,WV,412,11647,None,None,None,None,None,None,None,None,4,None,12059,12059,12059,0,0,2052,67,2119
20200406,WV,345,9595,None,None,None,None,None,None,None,None,4,None,9940,9940,9940,1,0,1081,21,1102
20200405,WV,324,8514,None,None,None,None,None,None,None,None,3,None,8838,8838,8838,1,0,1110,42,1152
20200404,WV,282,7404,None,None,None,None,None,None,None,None,2,None,7686,7686,7686,0,0,1274,45,1319
20200403,WV,237,6130,None,None,1,None,None,None,None,None,2,1,6367,6367,6367,0,0,854,20,874
20200402,WV,217,5276,None,None,1,None,None,None,None,None,2,1,5493,5493,5493,1,0,892,26,918
20200401,WV,191,4384,None,None,1,None,None,None,None,None,1,1,4575,4575,4575,0,0,403,29,432
20200331,WV,162,3981,None,None,1,None,None,None,None,None,1,1,4143,4143,4143,0,0,997,36,1033
20200330,WV,126,2984,0,None,1,None,None,None,None,None,1,1,3110,3110,3110,1,0,279,13,292
20200329,WV,113,2705,0,None,1,None,None,None,None,None,0,1,2818,2818,2818,0,0,374,17,391
20200328,WV,96,2331,6,None,1,None,None,None,None,None,0,1,2433,2427,2427,0,0,552,20,572
20200327,WV,76,1779,43,None,1,None,None,None,None,None,0,1,1898,1855,1855,0,0,748,25,773
20200326,WV,51,1031,19,None,1,None,None,None,None,None,0,1,1101,1082,1082,0,0,272,12,284
20200325,WV,39,759,6,None,1,None,None,None,None,None,0,1,804,798,798,0,0,149,19,168
20200324,WV,20,610,0,None,1,None,None,None,None,None,0,1,630,630,630,0,0,166,4,170
20200323,WV,16,444,4,None,1,None,None,None,None,None,0,1,464,460,460,0,0,59,4,63
20200322,WV,12,385,1,None,1,None,None,None,None,None,0,1,398,397,397,0,0,55,1,56
20200321,WV,11,330,2,None,1,None,None,None,None,None,0,1,343,341,341,0,1,111,4,115
20200320,WV,7,219,13,None,None,None,None,None,None,None,0,None,239,226,226,0,0,76,5,81
20200319,WV,2,143,3,None,None,None,None,None,None,None,0,None,148,145,145,0,0,21,1,22
20200318,WV,1,122,14,None,None,None,None,None,None,None,0,None,137,123,123,0,0,42,1,43
20200317,WV,0,80,4,None,None,None,None,None,None,None,0,None,84,80,80,0,0,0,0,0
20200316,WV,0,80,4,None,None,None,None,None,None,None,0,None,84,80,80,0,0,42,0,42
20200315,WV,0,38,1,None,None,None,None,None,None,None,0,None,39,38,38,0,0,12,0,12
20200314,WV,0,26,5,,,,,,,,,,31,26,26,0,0,9,0,9
20200313,WV,0,17,4,,,,,,,,,,21,17,17,0,0,10,0,10
20200312,WV,0,7,1,,,,,,,,,,8,7,7,0,0,4,0,4
20200311,WV,0,3,2,,,,,,,,,,5,3,3,0,0,1,0,1
20200310,WV,0,2,3,,,,,,,,,,5,2,2,0,0,0,0,0
20200309,WV,0,2,3,,,,,,,,,,5,2,2,0,0,0,0,0
20200308,WV,0,2,3,,,,,,,,,,5,2,2,0,0,0,0,0
20200307,WV,0,2,3,,,,,,,,,,5,2,2,0,0,1,0,1
20200306,WV,0,1,4,,,,,,,,,,5,1,1,None,None,None,None,None
