date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200422,WY,322,7301,None,19,52,None,None,None,None,254,6,52,7623,7623,7623,0,0,0,2,2
20200421,WY,320,7301,None,19,52,None,None,None,None,237,6,52,7621,7621,7621,4,1,228,7,235
20200420,WY,313,7073,None,19,51,None,None,None,None,233,2,51,7386,7386,7386,0,1,101,4,105
20200419,WY,309,6972,None,19,50,None,None,None,None,227,2,50,7281,7281,7281,0,0,755,4,759
20200418,WY,305,6217,None,19,50,None,None,None,None,206,2,50,6522,6522,6522,0,7,86,9,95
20200417,WY,296,6131,None,19,43,None,None,None,None,148,2,43,6427,6427,6427,0,0,0,0,0
20200416,WY,296,6131,None,19,43,None,None,None,None,148,2,43,6427,6427,6427,0,0,89,9,98
20200415,WY,287,6042,None,None,43,None,None,None,None,129,2,43,6329,6329,6329,1,0,353,12,365
20200414,WY,275,5689,None,None,43,None,None,None,None,140,1,43,5964,5964,5964,0,2,0,0,0
20200413,WY,275,5689,None,None,41,None,None,None,None,138,1,41,5964,5964,5964,1,1,491,14,505
20200412,WY,261,5198,None,None,40,None,None,None,None,137,0,40,5459,5459,5459,0,3,0,0,0
20200411,WY,261,5198,None,None,37,None,None,None,None,129,0,37,5459,5459,5459,0,0,462,8,470
20200410,WY,253,4736,None,None,37,None,None,None,None,105,0,37,4989,4989,4989,0,3,816,23,839
20200409,WY,230,3920,None,None,34,None,None,None,None,94,0,34,4150,4150,4150,0,1,77,9,86
20200408,WY,221,3843,None,None,33,None,None,None,None,62,0,33,4064,4064,4064,0,0,54,5,59
20200407,WY,216,3789,None,None,33,None,None,None,None,62,0,33,4005,4005,4005,0,10,70,6,76
20200406,WY,210,3719,None,None,23,None,None,None,None,52,0,23,3929,3929,3929,0,0,679,13,692
20200405,WY,197,3040,None,None,23,None,None,None,None,50,0,23,3237,3237,3237,0,0,95,10,105
20200404,WY,187,2945,None,None,23,None,None,None,None,49,0,23,3132,3132,3132,0,2,241,25,266
20200403,WY,162,2704,None,None,21,None,None,None,None,37,0,21,2866,2866,2866,0,2,265,12,277
20200402,WY,150,2439,None,None,19,None,None,None,None,31,0,19,2589,2589,2589,0,1,221,20,241
20200401,WY,130,2218,None,None,18,None,None,None,None,31,0,18,2348,2348,2348,0,1,219,21,240
20200331,WY,109,1999,None,None,17,None,None,None,None,26,0,17,2108,2108,2108,0,0,159,15,174
20200330,WY,94,1840,None,None,17,None,None,None,None,24,0,17,1934,1934,1934,0,2,286,8,294
20200329,WY,86,1554,None,None,15,None,None,None,None,20,0,15,1640,1640,1640,0,1,79,4,83
20200328,WY,82,1475,None,None,14,None,None,None,None,18,0,14,1557,1557,1557,0,3,264,12,276
20200327,WY,70,1211,None,None,11,None,None,None,None,17,0,11,1281,1281,1281,0,11,159,17,176
20200326,WY,53,1052,None,None,None,None,None,None,None,12,,None,1105,1105,1105,0,0,98,9,107
20200325,WY,44,954,None,None,None,None,None,None,None,7,,None,998,998,998,0,0,244,15,259
20200324,WY,29,710,,,,,,,,,,,739,739,739,0,0,118,3,121
20200323,WY,26,592,,,,,,,,,,,618,618,618,0,0,154,2,156
20200322,WY,24,438,,,,,,,,,,,462,462,462,0,0,0,1,1
20200321,WY,23,438,,,,,,,,,,,461,461,461,0,0,107,4,111
20200320,WY,19,331,,,,,,,,,,,350,350,350,0,0,60,1,61
20200319,WY,18,271,,,,,,,,,,,289,289,289,0,0,93,3,96
20200318,WY,15,178,,,,,,,,,,,193,193,193,0,0,83,5,88
20200317,WY,10,95,,,,,,,,,,,105,105,105,0,0,95,7,102
20200316,WY,3,,,,,,,,,,,,3,3,3,0,0,0,0,0
20200315,WY,3,,,,,,,,,,,,3,3,3,0,0,0,1,1
20200314,WY,2,,,,,,,,,,,,2,2,2,0,0,0,1,1
20200313,WY,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200312,WY,1,,,,,,,,,,,,1,1,1,0,0,0,1,1
20200311,WY,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
20200310,WY,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0
20200309,WY,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
20200308,WY,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
20200307,WY,0,,,,,,,,,,,,0,0,0,None,None,None,None,None
